Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,14.41,(0),435.27,9290.84,1.9501,(8),20646.1,(0),none
1,209.47,(5),114.164,547.46,2.777,(5),648.542,(3),none
2,114.93,(3),154.125,499.671,2.118,(7),802.467,(2),none
3,46.0,(1),243.619,497.317,1.346,(10),1215.42,(1),none
4,450.38,(8),77.8576,379.099,5.018,(1),242.992,(7),none
5,736.0,(10),60.9048,372.883,5.053,(0),238.605,(8),none
6,283.49,(6),98.1345,319.61,3.443,(4),299.009,(6),none
7,75.58,(2),190.058,310.219,1.5997,(9),612.968,(4),none
8,173.57,(4),125.416,231.49,2.255,(6),311.71,(5),none
9,557.59,(9),69.9734,221.587,3.894,(2),172.458,(10),none
10,426.84,(7),79.9757,204.881,3.635,(3),173.939,(9),none
