Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,14.41,(3),446.722,2666.62,1.1861,(31),6984.95,(0),['54-Xe-134_n-tot']
1,1484.24,(28),44.0167,1040.65,7.92,(5),368.527,(6),['54-Xe-132_n-tot']
2,3564.31,(34),28.4042,917.613,16.23,(0),172.607,(19),['54-Xe-132_n-tot']
3,640.675,(22),66.9963,590.789,2.437,(19),716.322,(3),['54-Xe-132_n-tot']
4,2980.47,(31),31.0619,528.466,8.69,(2),163.323,(22),['54-Xe-132_n-tot']
5,2431.68,(29),34.3888,492.419,6.23,(7),222.367,(14),['54-Xe-132_n-tot']
6,3003.56,(32),30.9422,466.538,8.01,(4),162.281,(23),['54-Xe-132_n-tot']
7,125.84,(7),151.168,432.912,2.739,(18),565.942,(4),['54-Xe-131_n-tot']
8,92.25,(5),176.558,404.537,1.3043,(30),825.612,(2),['54-Xe-131_n-tot']
9,2645.1,(30),32.9723,381.991,10.1,(1),168.237,(20),['54-Xe-132_n-tot']
10,580.842,(19),70.3624,336.99,3.168,(13),306.723,(10),['54-Xe-131_n-tot']
11,716.154,(24),63.3675,319.64,6.561,(6),149.992,(26),['54-Xe-130_n-tot']
12,3257.52,(33),29.7116,311.632,8.1,(3),108.112,(32),['54-Xe-132_n-tot']
13,450.407,(17),79.9038,292.617,3.39,(12),237.327,(12),['54-Xe-134_n-tot']
14,9.57,(1),548.168,260.006,0.4913,(32),1495.56,(1),['54-Xe-131_n-tot']
15,1186.03,(27),49.2404,249.524,4.72,(9),141.211,(30),['54-Xe-131_n-tot']
16,430.221,(15),81.7568,247.605,1.705,(27),360.214,(7),['54-Xe-132_n-tot']
17,799.884,(25),59.9593,239.531,4.539,(10),165.813,(21),['54-Xe-131_n-tot']
18,185.687,(9),124.445,227.207,2.16,(22),316.678,(9),['54-Xe-131_n-tot']
19,162.816,(8),132.899,221.166,1.82,(25),335.711,(8),['54-Xe-131_n-tot']
20,636.869,(21),67.1962,195.515,2.9,(15),233.106,(13),['54-Xe-131_n-tot']
21,908.672,(26),56.2557,192.852,5.393,(8),107.225,(33),['54-Xe-131_n-tot']
22,462.62,(18),78.842,178.937,2.891,(16),219.348,(15),['54-Xe-131_n-tot']
23,238.012,(12),109.918,164.447,2.162,(21),207.872,(17),['54-Xe-130_n-tot']
24,585.057,(20),70.1085,145.007,3.619,(11),143.677,(29),['54-Xe-131_n-tot']
25,283.511,(13),100.713,144.362,2.866,(17),158.641,(25),['54-Xe-134_n-tot']
26,432.23,(16),81.5666,121.097,2.193,(20),189.985,(18),['54-Xe-131_n-tot']
27,374.747,(14),87.5993,118.193,2.028,(24),148.238,(27),['54-Xe-131_n-tot']
28,228.145,(11),112.27,107.317,1.807,(26),158.66,(24),['54-Xe-131_n-tot']
29,114.935,(6),158.177,101.53,1.331,(29),209.738,(16),['54-Xe-134_n-tot']
30,209.477,(10),117.166,85.7071,2.103,(23),127.222,(31),['54-Xe-134_n-tot']
31,643.207,(23),66.8643,66.4246,3.069,(14),368.996,(5),['54-Xe-136_n-tot']
32,46.0,(4),250.029,55.2928,1.3472,(28),143.911,(28),['54-Xe-134_n-tot']
33,6.5253,(0),663.849,46.8694,0.42892,(33),293.88,(11),['54-Xe-129_n-tot']
34,10.0902,(2),533.851,1.3452,0.3032,(34),104.945,(34),['54-Xe-124_n-tot']
