Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,18.9674,(6),389.373,820.539,4.2604,(123),18.0926,(22),['54-Xe-134_n-tot']
1,10.9668,(5),512.071,652.516,3.4644,(128),21.9579,(14),['54-Xe-134_n-tot']
2,1464.06,(85),44.319,640.369,63.58,(9),8.0608,(133),['54-Xe-132_n-tot']
3,2748.28,(132),32.3474,356.701,100.2,(3),8.78225,(108),['54-Xe-132_n-tot']
4,3624.46,(150),28.1675,345.56,54.09,(12),9.959,(81),['54-Xe-132_n-tot']
5,158.011,(15),134.904,321.968,34.383,(29),20.6451,(15),['54-Xe-131_n-tot']
6,3542.08,(149),28.4932,303.684,44.35,(21),6.82195,(149),['54-Xe-132_n-tot']
7,3788.53,(151),27.5508,292.338,171.54,(0),8.53331,(122),['54-Xe-131_n-tot']
8,1501.77,(86),43.7591,253.911,15.38,(75),15.4309,(36),['54-Xe-132_n-tot']
9,2962.23,(136),31.1573,211.326,38.87,(25),6.80713,(150),['54-Xe-132_n-tot']
10,99.1501,(11),170.303,169.04,6.9544,(106),4.71019,(153),['54-Xe-131_n-tot']
11,442.698,(35),80.5965,168.758,14.937,(79),14.571,(40),['54-Xe-134_n-tot']
12,3249.94,(143),29.7462,159.935,34.6,(28),6.98224,(147),['54-Xe-132_n-tot']
13,99.9999,(12),169.578,155.261,6.9171,(108),17.9128,(24),['54-Xe-131_n-tot']
14,624.202,(45),67.8746,153.62,28.034,(42),10.7167,(68),['54-Xe-131_n-tot']
15,119.413,(14),155.183,151.444,9.191,(97),23.6337,(12),['54-Xe-131_n-tot']
16,2612.94,(129),33.1745,140.152,33.05,(33),8.43673,(123),['54-Xe-132_n-tot']
17,3026.78,(139),30.8233,136.6,20.17,(58),12.0978,(52),['54-Xe-132_n-tot']
18,569.567,(42),71.0554,134.206,19.696,(59),11.5029,(57),['54-Xe-131_n-tot']
19,3204.8,(142),29.955,132.869,103.03,(2),7.73191,(138),['54-Xe-131_n-tot']
20,1175.14,(72),49.4681,118.291,44.92,(18),9.64691,(84),['54-Xe-131_n-tot']
21,3291.63,(144),29.5573,117.417,33.33,(32),9.14788,(98),['54-Xe-132_n-tot']
22,3914.75,(153),27.103,117.362,79.11,(4),8.70559,(113),['54-Xe-134_n-tot']
23,2417.8,(122),34.4873,113.49,14.69,(80),7.06398,(146),['54-Xe-132_n-tot']
24,205.538,(18),118.283,112.386,21.644,(52),17.9113,(25),['54-Xe-131_n-tot']
25,7.5,(3),619.212,110.297,2.53026,(136),9.60239,(86),['54-Xe-131_n-tot']
26,852.324,(56),58.0855,104.422,51.107,(14),11.3249,(59),['54-Xe-131_n-tot']
27,2536.13,(125),33.6732,103.199,67.09,(8),7.96553,(135),['54-Xe-131_n-tot']
28,4075.44,(156),26.5633,102.635,50.85,(16),10.7837,(65),['54-Xe-131_n-tot']
29,493.602,(38),76.3275,96.4859,29.82,(39),12.9898,(44),['54-Xe-131_n-tot']
30,43.2968,(7),257.716,87.0701,25.1223,(47),4.65509,(154),['54-Xe-134_n-tot']
31,602.395,(44),69.0922,83.3928,16.443,(73),11.5607,(55),['54-Xe-131_n-tot']
32,3429.85,(146),28.9556,80.9949,111.49,(1),7.61968,(143),['54-Xe-130_n-tot']
33,456.632,(36),79.3572,79.3494,6.573,(109),17.0941,(28),['54-Xe-134_n-tot']
34,3083.21,(140),30.5399,78.5485,51.0,(15),8.90738,(106),['54-Xe-131_n-tot']
35,2463.81,(124),34.1638,74.6075,24.51,(48),9.22958,(97),['54-Xe-131_n-tot']
36,2126.4,(112),36.7745,74.3249,34.63,(27),8.1894,(128),['54-Xe-131_n-tot']
37,706.093,(50),63.8174,72.8001,7.766,(104),16.5726,(30),['54-Xe-130_n-tot']
38,701.072,(49),64.0455,68.6802,41.911,(22),12.7857,(46),['54-Xe-136_n-tot']
39,276.375,(24),102.005,65.7264,28.75,(40),16.6682,(29),['54-Xe-134_n-tot']
40,1195.85,(73),49.0378,64.6042,9.1,(98),10.2464,(75),['54-Xe-131_n-tot']
41,650.335,(48),66.4969,64.1142,4.604,(120),33.1019,(9),['54-Xe-136_n-tot']
42,171.344,(16),129.549,62.7606,9.085,(99),20.0878,(16),['54-Xe-131_n-tot']
43,233.259,(20),111.033,61.2767,7.845,(103),17.7943,(26),['54-Xe-130_n-tot']
44,2992.97,(137),30.9969,60.6452,9.42,(94),8.25509,(126),['54-Xe-132_n-tot']
45,638.312,(46),67.1202,59.5749,1.493,(144),85.5944,(2),['54-Xe-132_n-tot']
46,3503.04,(148),28.6515,58.3197,30.36,(37),7.68046,(140),['54-Xe-131_n-tot']
47,793.501,(55),60.1999,58.2585,19.043,(61),11.6855,(54),['54-Xe-131_n-tot']
48,767.663,(53),61.2047,57.4589,30.04,(38),12.4618,(49),['54-Xe-134_n-tot']
49,181.13,(17),126.001,57.1244,10.277,(90),19.2501,(18),['54-Xe-131_n-tot']
50,1761.77,(97),40.4013,56.8973,17.16,(67),8.12252,(132),['54-Xe-132_n-tot']
51,3844.38,(152),27.35,55.6272,21.1,(55),9.59895,(87),['54-Xe-131_n-tot']
52,224.482,(19),113.182,54.4623,16.589,(72),17.4637,(27),['54-Xe-134_n-tot']
53,894.473,(58),56.7004,53.5548,19.056,(60),11.0464,(60),['54-Xe-131_n-tot']
54,1840.24,(100),39.5305,52.4704,25.17,(46),8.98287,(104),['54-Xe-131_n-tot']
55,2634.86,(130),33.0363,52.4098,16.7,(71),7.45538,(144),['54-Xe-132_n-tot']
56,3996.57,(154),26.8242,52.1013,54.38,(11),9.0921,(100),['54-Xe-131_n-tot']
57,1583.24,(88),42.6183,51.9166,70.08,(6),9.76908,(83),['54-Xe-132_n-tot']
58,1229.95,(74),48.3533,50.539,30.67,(35),10.0638,(77),['54-Xe-131_n-tot']
59,422.741,(32),82.4769,49.7,44.399,(20),12.7144,(47),['54-Xe-134_n-tot']
60,732.349,(52),62.6629,49.0899,9.419,(95),16.0166,(32),['54-Xe-134_n-tot']
61,1807.33,(99),39.8888,49.0799,22.49,(50),8.6462,(116),['54-Xe-131_n-tot']
62,2203.78,(114),36.1232,47.912,51.14,(13),8.15047,(130),['54-Xe-134_n-tot']
63,301.242,(25),97.7039,47.0262,17.059,(68),16.3146,(31),['54-Xe-134_n-tot']
64,72.4808,(8),199.186,46.1869,28.1367,(41),3.97625,(155),['54-Xe-134_n-tot']
65,3455.1,(147),28.8496,44.931,17.38,(66),8.7077,(112),['54-Xe-131_n-tot']
66,2032.76,(109),37.612,44.5518,18.82,(64),8.19337,(127),['54-Xe-131_n-tot']
67,2078.79,(110),37.1933,44.4462,39.26,(24),7.94121,(136),['54-Xe-131_n-tot']
68,1111.07,(70),50.8744,42.1749,41.07,(23),9.48197,(90),['54-Xe-132_n-tot']
69,1711.23,(94),40.9936,40.8637,44.92,(19),9.02075,(101),['54-Xe-131_n-tot']
70,2301.9,(117),35.3449,40.0891,26.01,(45),7.63932,(141),['54-Xe-131_n-tot']
71,242.637,(21),108.866,38.6277,4.625,(119),18.8508,(19),['54-Xe-130_n-tot']
72,1860.54,(101),39.3143,38.3059,20.88,(56),8.71091,(111),['54-Xe-134_n-tot']
73,1952.33,(105),38.379,37.5124,30.4,(36),8.64412,(117),['54-Xe-131_n-tot']
74,583.155,(43),70.2227,37.0366,1.806,(142),39.197,(6),['54-Xe-131_n-tot']
75,1349.63,(78),46.1596,36.2463,16.88,(70),8.92455,(105),['54-Xe-131_n-tot']
76,4014.42,(155),26.7645,35.537,12.81,(86),10.7201,(67),['54-Xe-131_n-tot']
77,2407.13,(121),34.5637,35.0069,48.54,(17),6.9811,(148),['54-Xe-134_n-tot']
78,112.115,(13),160.154,31.6271,13.365,(84),23.3468,(13),['54-Xe-134_n-tot']
79,1132.39,(71),50.3932,31.0894,18.63,(65),10.0146,(79),['54-Xe-131_n-tot']
80,918.193,(59),55.9632,31.0161,7.848,(102),12.1103,(51),['54-Xe-131_n-tot']
81,2141.98,(113),36.6406,30.6172,12.85,(85),8.59672,(121),['54-Xe-134_n-tot']
82,1782.77,(98),40.1626,30.5858,17.01,(69),9.01412,(102),['54-Xe-132_n-tot']
83,1290.65,(75),47.2026,30.3121,56.95,(10),9.43164,(92),['54-Xe-131_n-tot']
84,83.7417,(9),185.31,29.6194,13.4505,(83),3.94331,(156),['54-Xe-134_n-tot']
85,2926.2,(135),31.3486,29.2778,76.71,(5),7.25327,(145),['54-Xe-131_n-tot']
86,428.405,(33),81.9299,28.5872,1.505,(143),19.6477,(17),['54-Xe-132_n-tot']
87,1063.69,(69),51.9951,28.2564,10.88,(88),10.5676,(70),['54-Xe-131_n-tot']
88,1396.77,(82),45.374,28.2458,15.58,(74),8.6871,(115),['54-Xe-132_n-tot']
89,1917.04,(104),38.7306,28.2315,9.23,(96),8.99891,(103),['54-Xe-131_n-tot']
90,91.055,(10),177.712,28.0926,0.8509,(151),18.4258,(20),['54-Xe-131_n-tot']
91,2845.22,(134),31.7916,26.8786,69.61,(7),8.1849,(129),['54-Xe-130_n-tot']
92,1047.83,(68),52.3871,26.5692,15.3,(76),10.1373,(76),['54-Xe-131_n-tot']
93,1888.13,(102),39.026,26.3695,14.67,(81),9.11588,(99),['54-Xe-134_n-tot']
94,2547.55,(126),33.5976,25.3747,5.21,(113),14.1569,(42),['54-Xe-132_n-tot']
95,2008.52,(108),37.8383,24.9491,14.16,(82),8.33283,(124),['54-Xe-131_n-tot']
96,2270.09,(116),35.5917,24.9241,34.81,(26),7.71169,(139),['54-Xe-131_n-tot']
97,721.429,(51),63.1354,24.8837,3.083,(132),34.579,(8),['54-Xe-130_n-tot']
98,3316.01,(145),29.4484,21.5573,15.3,(77),8.63743,(118),['54-Xe-131_n-tot']
99,1729.87,(95),40.7721,21.4736,14.96,(78),8.77884,(109),['54-Xe-131_n-tot']
100,1644.78,(91),41.8134,20.6959,23.21,(49),9.26274,(96),['54-Xe-131_n-tot']
101,2.88422,(0),998.517,20.081,3.33042,(131),5.93307,(152),['54-Xe-134_n-tot']
102,1978.12,(106),38.1279,20.0603,20.25,(57),8.31738,(125),['54-Xe-134_n-tot']
103,2574.81,(128),33.4193,19.5362,3.52,(127),25.0119,(11),['54-Xe-132_n-tot']
104,10.0293,(4),535.469,18.6857,0.28584,(156),102.39,(1),['54-Xe-131_n-tot']
105,1362.47,(79),45.9416,18.6021,6.11,(112),9.97551,(80),['54-Xe-131_n-tot']
106,964.05,(62),54.616,17.8986,22.32,(51),10.7159,(69),['54-Xe-132_n-tot']
107,2998.23,(138),30.9697,17.8182,2.79,(133),11.4365,(58),['54-Xe-132_n-tot']
108,3097.54,(141),30.4692,17.7843,6.95,(107),10.0591,(78),['54-Xe-131_n-tot']
109,1331.3,(77),46.4763,17.217,27.15,(43),9.28875,(95),['54-Xe-134_n-tot']
110,929.961,(60),55.608,15.9657,9.758,(92),10.9352,(62),['54-Xe-131_n-tot']
111,2435.94,(123),34.3587,15.7787,2.07,(141),42.6284,(4),['54-Xe-132_n-tot']
112,938.71,(61),55.3483,15.2345,4.962,(116),10.9345,(63),['54-Xe-132_n-tot']
113,1606.01,(89),42.3151,14.8071,18.93,(62),9.41482,(93),['54-Xe-130_n-tot']
