Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,234.2,(10),110.809,1110.94,1.146,(37),2762.52,(1),none
1,126.307,(5),150.888,671.223,0.773,(43),2407.51,(2),none
2,5.91,(0),697.551,538.853,0.22043,(50),7317.09,(0),none
3,401.511,(14),84.6294,454.053,1.301,(33),995.575,(5),none
4,3487.23,(47),28.7164,380.677,5.07,(0),229.565,(22),none
5,796.115,(25),60.101,349.173,1.827,(22),540.618,(8),none
6,3194.16,(45),30.0048,281.406,4.26,(2),198.065,(26),none
7,585.711,(21),70.0693,272.547,1.573,(26),481.168,(10),none
8,47.57,(2),245.869,267.514,0.4578,(48),1675.09,(3),none
9,295.407,(12),98.6641,262.003,1.046,(39),717.742,(7),none
10,3904.17,(49),27.1397,242.888,4.24,(3),171.435,(31),none
11,3958.19,(50),26.9539,214.99,4.35,(1),150.453,(36),none
12,2380.13,(43),34.7592,207.367,3.25,(7),185.906,(29),none
13,2728.12,(44),32.4667,207.11,3.33,(6),182.236,(30),none
14,3450.16,(46),28.8702,202.668,3.84,(4),150.413,(37),none
15,1270.06,(32),47.5836,188.158,2.18,(14),246.711,(20),none
16,470.231,(17),78.2013,183.311,1.272,(34),418.987,(11),none
17,94.2547,(4),174.67,173.193,0.6161,(46),798.897,(6),none
18,22.51,(1),357.423,172.371,0.3165,(49),1674.96,(4),none
19,520.13,(19),74.3556,171.263,1.382,(31),347.356,(13),none
20,512.108,(18),74.9357,167.719,1.335,(32),367.215,(12),none
21,1685.06,(39),41.3107,165.058,2.44,(11),199.345,(25),none
22,864.246,(26),57.6834,164.506,1.743,(24),276.431,(16),none
23,2064.09,(40),37.3255,158.14,2.78,(9),168.937,(34),none
24,1597.07,(38),42.4334,155.498,2.43,(12),187.544,(28),none
25,560.307,(20),71.6402,136.253,1.434,(30),266.468,(17),none
26,146.004,(7),140.342,135.839,0.727,(45),534.393,(9),none
27,3673.15,(48),27.9802,127.019,3.76,(5),100.777,(50),none
28,1242.04,(31),48.1174,120.692,2.05,(17),169.192,(33),none
29,1022.04,(28),53.0439,115.625,1.81,(23),189.372,(27),none
30,2265.07,(42),35.6311,113.236,2.9,(8),111.383,(47),none
31,1119.04,(29),50.6929,110.042,1.91,(21),169.809,(32),none
32,1455.04,(37),44.4562,106.269,2.22,(13),139.447,(40),none
33,726.729,(23),62.9048,104.162,1.525,(28),200.551,(24),none
34,2125.09,(41),36.7859,98.7498,2.63,(10),110.867,(49),none
35,431.024,(16),81.6806,98.4059,1.157,(36),255.734,(18),none
36,201.204,(8),119.551,94.9633,0.838,(41),318.692,(15),none
37,413.606,(15),83.3828,92.7461,1.176,(35),232.176,(21),none
38,1425.06,(36),44.9214,91.9281,2.1,(15),130.287,(41),none
39,1282.03,(33),47.361,85.0727,2.04,(18),124.377,(42),none
40,1324.04,(34),46.6036,84.1106,2.07,(16),121.257,(43),none
41,906.934,(27),56.3095,82.6843,1.73,(25),140.28,(39),none
42,359.21,(13),89.4737,82.4035,1.131,(38),203.02,(23),none
43,1135.03,(30),50.3345,75.3987,1.93,(20),114.199,(45),none
44,646.511,(22),66.6932,74.9806,1.471,(29),145.793,(38),none
45,1332.06,(35),46.4631,73.3369,2.01,(19),111.945,(46),none
46,220.702,(9),114.148,70.1152,0.83,(42),247.19,(19),none
47,762.926,(24),61.3944,62.6088,1.556,(27),118.712,(44),none
48,82.74,(3),186.428,59.9525,0.5578,(47),319.681,(14),none
49,238.317,(11),109.848,39.5992,0.892,(40),154.696,(35),none
50,142.2,(6),142.207,29.5671,0.746,(44),111.299,(48),none
