Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,15602.9,(180),13.5759,9757.78,417.0,(10),5.693,(37),['56-Ba-138_n-tot']
1,7530.59,(144),19.5414,7453.75,234.48,(28),26.9033,(2),['56-Ba-138_n-tot']
2,26509.9,(210),10.4152,7193.89,684.0,(0),4.81181,(68),['56-Ba-138_n-tot']
3,4825.35,(127),24.4121,6444.79,130.68,(45),3.15279,(175),['56-Ba-138_n-tot']
4,4669.05,(126),24.8174,6269.65,109.2,(48),3.82905,(130),['56-Ba-138_n-tot']
5,2336.15,(72),35.0848,5125.71,41.25,(91),4.94726,(57),['56-Ba-138_n-tot']
6,34630.2,(231),9.1126,4919.83,368.6,(17),4.58869,(88),['56-Ba-138_n-tot']
7,25113.9,(208),10.7007,4375.64,459.4,(9),4.9025,(62),['56-Ba-138_n-tot']
8,13676.2,(177),14.5006,3955.72,197.0,(33),1.9693,(223),['56-Ba-138_n-tot']
9,20322.7,(194),11.8954,3727.09,401.5,(12),4.71555,(77),['56-Ba-138_n-tot']
10,6052.73,(135),21.7969,3402.92,75.98,(63),2.84365,(200),['56-Ba-138_n-tot']
11,19868.6,(193),12.0306,3241.77,138.8,(44),4.92033,(61),['56-Ba-138_n-tot']
12,3427.44,(97),28.9658,3105.36,26.52,(121),5.51709,(39),['56-Ba-138_n-tot']
13,18658.2,(189),12.4147,3098.43,374.9,(16),5.03836,(51),['56-Ba-138_n-tot']
14,27435.4,(213),10.238,2983.98,285.9,(24),4.63784,(85),['56-Ba-138_n-tot']
15,2283.55,(71),35.4866,2971.26,29.31,(113),1.76764,(231),['56-Ba-138_n-tot']
16,19188.3,(191),12.242,2795.89,303.7,(22),4.89124,(63),['56-Ba-138_n-tot']
17,11739.4,(173),15.6512,2648.42,163.5,(38),2.03924,(220),['56-Ba-138_n-tot']
