Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,20.0,(1),369.467,2106.81,36.4975,(12),0.829683,(29),none
1,75.0911,(2),190.676,1446.95,40.9801,(6),0.226065,(76),none
2,1008.13,(58),52.0394,794.938,25.769,(35),72.7916,(0),none
3,130.896,(6),144.42,379.388,41.909,(4),0.0807901,(123),none
4,1193.41,(66),47.8295,373.58,27.36,(29),29.0303,(4),none
5,2.22624,(0),1107.4,319.652,4.12637,(139),5.00083,(6),none
6,428.397,(24),79.8302,180.297,37.095,(11),0.108931,(112),none
7,289.488,(15),97.1126,174.514,29.093,(23),0.110099,(111),none
8,97.7318,(4),167.137,130.809,4.7596,(131),1.63807,(15),none
9,1032.97,(59),51.4099,126.238,38.14,(9),0.144739,(99),none
10,477.51,(26),75.6135,120.776,18.968,(55),0.387347,(53),none
11,266.739,(14),101.169,118.363,13.868,(78),0.228562,(75),none
12,553.347,(31),70.2412,113.882,22.862,(41),0.283273,(67),none
13,453.788,(25),77.5647,106.082,15.415,(72),0.395635,(52),none
14,990.115,(57),52.5107,98.1702,25.121,(37),0.243253,(73),none
15,211.716,(10),113.557,96.4903,40.471,(7),0.0342306,(151),none
16,90.9475,(3),173.259,83.4254,9.213,(99),0.431007,(51),none
17,729.941,(42),61.1571,76.5631,36.226,(13),0.0629326,(137),none
18,1751.47,(92),39.4811,69.7893,57.41,(1),0.0676405,(135),none
19,492.393,(27),74.462,67.0027,7.571,(110),1.26681,(21),none
20,1079.53,(61),50.289,66.5486,33.69,(15),0.0804685,(124),none
21,526.391,(30),72.0172,64.9294,21.678,(45),0.193453,(85),none
22,332.451,(18),90.6206,59.6675,21.828,(43),0.0953415,(117),none
23,834.91,(47),57.1835,59.4279,14.753,(75),0.726069,(33),none
24,102.902,(5),162.884,59.1896,0.667,(155),51.3676,(1),none
25,360.565,(19),87.016,57.97,30.783,(20),0.0524268,(142),none
26,177.215,(9),124.12,55.7892,17.785,(62),0.0593435,(138),none
27,236.789,(11),107.377,55.3823,11.474,(93),0.130495,(104),none
28,149.595,(7),135.093,54.5156,3.077,(144),1.4153,(18),none
29,308.796,(16),94.0275,54.4213,3.014,(147),3.62639,(7),none
30,163.916,(8),129.057,53.6292,16.68,(66),0.0737436,(130),none
31,586.282,(32),68.2397,51.8257,18.433,(59),0.159958,(94),none
32,399.962,(22),82.6193,51.7443,4.384,(137),1.51287,(17),none
33,957.343,(55),53.4019,51.7322,23.028,(40),0.154624,(97),none
34,501.416,(28),73.789,50.5673,4.877,(127),2.9384,(9),none
35,615.204,(34),66.6164,50.4708,29.789,(21),0.0580004,(140),none
36,1832.51,(96),38.5982,49.7785,28.29,(26),0.216752,(79),none
37,874.488,(48),55.8745,48.0613,25.944,(34),0.197603,(83),none
38,1871.09,(97),38.1982,47.762,28.25,(27),0.192443,(86),none
39,1156.01,(64),48.597,46.0357,17.88,(61),0.190215,(87),none
40,513.58,(29),72.9099,45.8796,8.432,(106),0.600005,(40),none
41,1597.88,(85),41.3351,45.7101,29.15,(22),0.117219,(109),none
42,252.495,(13),103.983,44.5896,8.734,(103),0.256609,(70),none
43,316.698,(17),92.847,44.4444,5.265,(122),0.913272,(27),none
44,2050.67,(106),36.4874,40.4816,37.6,(10),0.0772173,(128),none
45,1125.24,(63),49.257,40.0993,19.2,(54),0.174266,(91),none
46,1218.97,(67),47.3254,39.7125,39.18,(8),0.0308905,(152),none
47,643.973,(35),65.1114,37.3073,6.199,(115),0.727963,(32),none
48,381.418,(20),84.6038,36.7586,12.571,(87),0.135966,(102),none
49,2371.64,(119),33.9286,36.624,44.28,(3),0.0448491,(147),none
50,1417.37,(77),43.8883,35.0836,21.81,(44),0.124206,(106),none
51,2212.21,(113),35.1299,34.2032,26.42,(31),0.096949,(116),none
52,394.497,(21),83.1896,34.1399,4.848,(128),0.67313,(38),none
53,1532.96,(81),42.2012,32.7531,13.78,(79),0.207036,(81),none
54,1718.92,(91),39.8532,32.2143,14.33,(76),0.283865,(66),none
55,1178.53,(65),48.1305,32.1968,24.94,(38),0.06511,(136),none
56,1959.57,(103),37.3259,32.099,32.48,(17),0.0793547,(126),none
57,1629.99,(86),40.9259,32.0978,33.55,(16),0.0692308,(132),none
58,907.68,(51),54.8434,31.7814,8.17,(108),0.701727,(36),none
59,1504.73,(80),42.5953,31.2589,25.28,(36),0.0567039,(141),none
60,891.121,(50),55.3506,30.6016,13.667,(82),0.210786,(80),none
61,1275.57,(69),46.2635,29.4844,16.27,(68),0.112083,(110),none
62,1104.76,(62),49.7115,28.3576,19.96,(49),0.0886744,(119),none
63,1295.92,(70),45.8988,28.3528,10.34,(96),0.44518,(50),none
64,2312.34,(117),34.3609,28.3362,28.84,(24),0.0679954,(134),none
65,2862.17,(139),30.8847,27.7288,32.37,(18),0.184179,(89),none
66,823.451,(46),57.58,25.9473,4.779,(130),0.944226,(26),none
67,1567.77,(84),41.7301,25.4987,8.35,(107),0.815876,(30),none
68,1472.7,(79),43.056,25.3231,41.22,(5),0.0288189,(154),none
69,2556.74,(126),32.6774,25.0967,19.72,(51),0.334198,(56),none
70,781.352,(44),59.1109,23.8239,19.887,(50),0.0856036,(121),none
71,1252.89,(68),46.6804,23.4984,26.34,(32),0.0398464,(149),none
72,2249.5,(114),34.8376,23.3023,35.81,(14),0.0385223,(150),none
73,247.464,(12),105.035,22.8355,2.023,(151),1.32877,(19),none
74,655.154,(36),64.5534,22.4229,8.515,(105),0.185777,(88),none
75,2525.49,(125),32.8789,22.4117,21.54,(46),0.2973,(64),none
76,1939.46,(102),37.5189,22.2584,17.18,(65),0.136184,(101),none
77,2110.33,(108),35.9679,22.1243,26.25,(33),0.0477712,(146),none
78,759.838,(43),59.9419,21.6983,3.451,(143),2.42811,(11),none
79,930.325,(53),54.1718,21.6778,15.562,(71),0.157242,(96),none
80,2006.5,(105),36.8868,21.5866,17.93,(60),0.219899,(77),none
81,2408.6,(120),33.6673,21.5147,19.25,(53),0.121007,(107),none
82,702.672,(40),62.3325,21.3542,10.67,(95),0.108356,(113),none
83,792.787,(45),58.683,21.117,31.45,(19),0.0709312,(131),none
84,1694.51,(90),40.1392,21.0302,13.36,(84),0.182555,(90),none
85,2090.25,(107),36.1403,20.8231,27.55,(28),0.0434143,(148),none
86,2170.47,(111),35.4661,20.4962,21.32,(47),0.0929479,(118),none
87,1670.13,(88),40.4311,20.485,12.56,(88),0.20464,(82),none
88,2432.68,(121),33.5003,20.4668,16.11,(69),0.157507,(95),none
89,3037.26,(148),29.9812,20.1064,17.3,(63),0.306674,(62),none
90,1440.81,(78),43.5299,19.5959,13.51,(83),0.14081,(100),none
91,1548.33,(82),41.9913,19.2291,7.94,(109),0.378041,(54),none
92,1895.46,(98),37.9519,19.1602,8.7,(104),0.446576,(49),none
93,405.39,(23),82.0643,17.8999,0.771,(153),32.4915,(2),none
94,712.167,(41),61.9156,17.6633,4.431,(136),0.32653,(58),none
95,3093.15,(151),29.7091,17.6627,27.34,(30),0.0795994,(125),none
96,2451.11,(122),33.3741,17.2761,15.18,(73),0.269305,(69),none
97,975.126,(56),52.9127,16.6398,2.387,(149),3.55439,(8),none
98,691.942,(39),62.8139,16.5634,4.272,(138),0.327223,(57),none
99,2336.49,(118),34.1829,16.5033,10.93,(94),0.244786,(72),none
100,2586.31,(127),32.4901,16.1011,15.95,(70),0.164935,(93),none
101,1389.2,(75),44.3311,15.7949,13.93,(77),0.13589,(103),none
102,1309.64,(71),45.6578,15.6371,5.62,(119),0.624693,(39),none
103,2651.52,(130),32.088,15.4465,54.45,(2),0.0266815,(155),none
104,2492.84,(124),33.0936,15.3052,18.52,(57),0.173715,(92),none
105,2150.21,(110),35.6328,15.1405,9.18,(100),0.24037,(74),none
106,917.461,(52),54.5503,14.8901,3.072,(145),1.57928,(16),none
107,2762.9,(135),31.4346,14.8013,16.55,(67),0.334472,(55),none
108,2974.46,(145),30.2961,14.2481,28.82,(25),0.106819,(115),none
109,2273.08,(115),34.6564,14.2361,11.49,(92),0.127196,(105),none
110,941.3,(54),53.8551,14.1352,3.956,(141),0.703749,(35),none
111,1811.06,(95),38.8261,14.0394,5.26,(124),1.31491,(20),none
112,1904.59,(99),37.8608,13.9692,6.12,(116),0.535853,(43),none
113,2812.56,(137),31.1559,13.9347,19.68,(52),0.217583,(78),none
114,2138.53,(109),35.73,13.6857,6.44,(114),0.454089,(47),none
115,675.544,(38),63.5717,13.6255,18.71,(56),0.0494602,(144),none
116,1993.72,(104),37.0048,13.6139,7.2,(112),0.557,(41),none
117,1362.02,(74),44.7712,13.5202,17.26,(64),0.0479334,(145),none
118,2480.43,(123),33.1762,13.3129,13.2,(85),0.246343,(71),none
119,1557.85,(83),41.8628,13.2743,5.05,(126),0.708592,(34),none
120,2288.66,(116),34.5382,12.8905,6.48,(113),0.473779,(46),none
121,1652.74,(87),40.6432,12.2969,4.49,(134),0.987789,(25),none
122,3009.56,(147),30.1189,11.8436,11.54,(91),0.301915,(63),none
123,3057.64,(149),29.8812,11.2127,10.09,(97),0.313655,(59),none
124,2616.14,(129),32.3043,11.138,13.72,(81),0.085137,(122),none
125,2716.28,(132),31.7032,11.0875,22.38,(42),0.0591467,(139),none
126,2823.53,(138),31.0953,11.024,12.69,(86),0.294801,(65),none
127,3139.4,(153),29.4895,10.6693,20.35,(48),0.0684049,(133),none
128,1803.08,(94),38.912,10.2565,4.48,(135),2.16608,(13),none
129,3151.19,(154),29.4343,10.0587,14.92,(74),0.0860904,(120),none
130,599.639,(33),67.4754,10.0336,12.256,(89),0.0773617,(127),none
131,1682.62,(89),40.2808,9.96029,9.96,(98),0.120647,(108),none
132,2902.59,(141),30.6689,9.46092,8.75,(102),0.311823,(60),none
133,1324.6,(72),45.3992,9.30807,12.13,(90),0.075485,(129),none
134,2596.77,(128),32.4245,9.1357,7.41,(111),0.195106,(84),none
135,2953.64,(144),30.4027,9.06394,13.75,(80),0.272308,(68),none
136,1921.43,(101),37.6945,8.93836,3.47,(142),1.8421,(14),none
137,2698.69,(131),31.8064,8.86603,18.49,(58),0.0498164,(143),none
138,2186.82,(112),35.3333,8.7245,4.59,(133),0.776312,(31),none
139,1913.68,(100),37.7708,8.14857,3.04,(146),2.21895,(12),none
140,2888.0,(140),30.7462,8.14031,5.47,(121),1.19014,(22),none
141,2911.43,(142),30.6223,7.65488,8.77,(101),0.308794,(61),none
142,3069.15,(150),29.8251,7.55813,5.93,(117),0.446698,(48),none
143,2750.0,(134),31.5083,7.51299,5.26,(123),0.535677,(44),none
144,882.812,(49),55.6105,7.27251,1.883,(152),0.895873,(28),none
145,2740.28,(133),31.5641,7.05281,4.61,(132),0.542518,(42),none
146,1399.23,(76),44.1719,6.74097,2.84,(148),1.11455,(23),none
147,663.804,(37),64.1314,6.43067,5.618,(120),0.107125,(114),none
148,3113.24,(152),29.6131,5.80541,4.82,(129),0.673196,(37),none
149,3001.31,(146),30.1603,5.32071,5.1,(125),0.486211,(45),none
150,1793.88,(93),39.0116,4.06383,2.23,(150),5.36448,(5),none
151,2926.19,(143),30.545,3.55572,5.86,(118),1.0466,(24),none
152,1053.85,(60),50.8981,3.38722,0.75,(154),30.6172,(3),none
153,1345.95,(73),45.0377,3.28893,24.83,(39),0.0299177,(153),none
154,2786.9,(136),31.299,2.66293,4.12,(140),2.48662,(10),none
155,3177.14,(155),29.3138,0.0,660.92,(0),0.147173,(98),none
