Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1168.4,(2),49.6105,31139.7,51.22,(2),2220.74,(0),none
1,2586.02,(6),33.3468,29464.4,87.29,(0),1012.78,(4),none
2,3643.61,(9),28.0934,16265.0,67.23,(1),719.814,(7),none
3,4001.55,(11),26.8075,6573.28,26.57,(5),708.22,(8),none
4,1504.57,(3),43.7183,5962.02,18.12,(9),1470.82,(2),none
5,2032.12,(5),37.6179,5711.17,22.85,(6),1114.01,(3),none
6,6599.36,(16),20.8746,5451.04,42.66,(3),395.369,(13),none
7,809.536,(1),59.6007,4382.21,8.399,(16),2081.9,(1),none
8,6357.92,(15),21.2673,4301.75,36.51,(4),386.228,(14),none
9,2976.32,(7),31.0835,3563.19,18.11,(10),726.528,(6),none
10,3972.92,(10),26.9039,2843.29,12.94,(13),606.516,(9),none
11,5437.61,(14),22.9967,2811.11,18.19,(8),427.031,(12),none
12,1819.13,(4),39.7592,2716.73,11.4,(15),919.248,(5),none
13,3242.25,(8),29.7815,2084.72,16.29,(11),538.557,(10),none
14,5064.4,(12),23.829,1942.95,15.57,(12),382.818,(15),none
15,5164.39,(13),23.5972,1468.49,12.32,(14),338.269,(16),none
16,7010.68,(17),20.253,1300.5,20.0,(7),247.654,(17),none
17,359.513,(0),89.436,427.0,3.634,(17),512.603,(11),none
