Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,14.663,(1),431.498,1591.04,0.2918,(60),15829.0,(0),none
1,11.324,(0),491.01,1071.08,0.233,(61),13787.8,(1),none
2,23.882,(2),338.108,856.686,0.3547,(59),7006.7,(2),none
3,36.978,(3),271.718,838.276,0.7054,(51),3662.71,(3),none
4,90.4272,(9),173.757,696.837,0.7627,(49),2669.25,(5),none
5,40.7187,(4),258.937,444.906,0.4056,(57),3162.69,(4),none
6,69.4705,(8),198.24,417.061,0.5363,(55),2240.28,(6),none
7,63.7916,(7),206.875,279.64,0.467,(56),1903.48,(7),none
8,111.441,(10),156.519,272.539,0.664,(54),1240.11,(9),none
9,61.5246,(6),210.652,264.288,1.0992,(38),995.827,(10),none
10,121.408,(11),149.957,262.67,0.959,(41),857.644,(11),none
11,128.58,(12),145.715,253.663,2.071,(3),386.051,(20),none
12,257.967,(29),102.875,241.385,2.147,(2),345.903,(22),none
13,46.3105,(5),242.801,219.719,0.3937,(58),1593.51,(8),none
14,194.653,(21),118.43,203.668,1.137,(36),574.6,(14),none
15,166.489,(18),128.055,165.167,0.778,(48),590.696,(13),none
16,164.219,(17),128.937,161.515,0.906,(42),591.51,(12),none
17,206.237,(22),115.056,137.014,0.794,(47),528.639,(16),none
18,503.862,(51),73.6097,130.775,2.301,(0),173.087,(42),none
19,221.426,(24),111.039,125.387,1.294,(29),307.318,(25),none
20,141.126,(13),139.087,121.766,0.665,(53),529.538,(15),none
21,244.141,(28),105.748,118.051,1.02,(40),345.544,(23),none
22,224.943,(25),110.168,116.876,1.458,(19),259.17,(28),none
23,161.944,(16),129.84,115.287,1.232,(31),446.656,(18),none
24,294.933,(32),96.2119,112.208,1.782,(7),197.34,(36),none
25,214.039,(23),112.939,111.014,0.818,(46),385.684,(21),none
26,148.264,(14),135.698,109.081,0.672,(52),464.108,(17),none
27,283.453,(31),98.1409,109.013,1.079,(39),316.412,(24),none
28,160.244,(15),130.527,106.294,1.281,(30),399.765,(19),none
29,339.653,(37),89.6547,105.545,1.475,(17),216.465,(34),none
30,328.215,(36),91.2035,101.79,1.662,(10),188.296,(38),none
31,667.296,(58),63.9634,98.5258,1.844,(5),164.544,(46),none
32,314.491,(35),93.1722,96.3717,1.658,(11),180.335,(41),none
33,389.631,(41),83.7074,89.4889,1.166,(35),231.42,(31),none
34,358.102,(38),87.3147,89.2169,1.184,(32),217.37,(33),none
35,683.983,(60),63.1783,88.862,2.258,(1),134.195,(53),none
36,308.834,(33),94.0217,88.7855,1.358,(24),258.293,(29),none
37,403.845,(42),82.2211,86.4457,1.426,(21),185.927,(39),none
38,425.799,(43),80.0734,85.3265,1.351,(25),191.458,(37),none
39,371.568,(40),85.7179,81.0643,1.629,(12),168.674,(44),none
40,186.97,(20),120.838,80.2247,0.82,(45),269.427,(27),none
41,366.99,(39),86.2509,79.2801,1.178,(34),203.643,(35),none
42,458.445,(45),77.1697,76.7215,1.382,(22),158.353,(47),none
43,479.478,(47),75.4582,76.2573,1.361,(23),170.775,(43),none
44,230.744,(26),108.774,75.9071,0.869,(43),238.181,(30),none
45,182.463,(19),122.322,72.3898,0.751,(50),275.969,(26),none
46,466.858,(46),76.4713,68.8341,1.179,(33),180.934,(40),none
47,486.116,(49),74.9412,66.8191,1.742,(8),114.663,(59),none
48,449.112,(44),77.9675,66.7035,1.473,(18),165.997,(45),none
49,537.952,(53),71.2392,66.3561,1.324,(28),148.614,(48),none
50,618.78,(55),66.4236,66.3271,1.503,(15),118.489,(57),none
51,530.395,(52),71.7449,66.0346,1.487,(16),138.035,(52),none
52,493.44,(50),74.383,65.7272,1.828,(6),115.978,(58),none
53,555.106,(54),70.1298,63.0862,1.336,(27),132.507,(54),none
54,482.29,(48),75.2379,62.0463,1.345,(26),143.524,(51),none
55,281.18,(30),98.5368,60.3437,1.985,(4),145.546,(49),none
56,696.244,(61),62.6196,60.1131,1.59,(13),103.445,(61),none
57,642.372,(56),65.1925,57.555,1.543,(14),128.669,(55),none
58,644.978,(57),65.0606,57.347,1.715,(9),123.911,(56),none
59,310.378,(34),93.7876,53.4161,1.131,(37),230.512,(32),none
60,672.409,(59),63.7197,45.7588,1.432,(20),104.523,(60),none
61,241.114,(27),106.409,43.1959,0.854,(44),144.368,(50),none
