Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,909.739,(9),56.2227,2799630.0,553126.0,(0),2467.5,(4),none
1,184.426,(2),124.87,17709.0,68.671,(3),10740.4,(1),none
2,94.9,(0),174.075,16893.7,59.61,(4),17569.4,(0),none
3,288.215,(3),99.8876,6344.53,72.266,(2),4509.02,(2),none
4,513.524,(5),74.8323,6262.41,51.566,(5),3053.72,(3),none
5,883.1,(8),57.0643,4663.04,30.841,(7),1850.72,(6),none
6,622.951,(7),67.9427,4395.56,83.748,(1),2086.11,(5),none
7,422.033,(4),82.5461,2186.41,32.66,(6),1665.4,(7),none
8,140.203,(1),143.216,1017.27,11.58,(9),1583.73,(8),none
9,557.432,(6),71.8247,782.245,21.694,(8),558.68,(9),none
