Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,400000.0,(120),2.68127,88833300.0,1249890.0,(1),6.72037,(120),['63-Eu-153_n-tot']
1,7554760.0,(121),0.616963,5608880.0,8257810.0,(0),4.68893,(121),['63-Eu-151_n-tot']
2,0.20354,(0),3758.76,123544.0,0.327029,(108),1571.66,(1),['63-Eu-153_n-tot']
3,0.727025,(2),1988.82,1832.49,0.423975,(96),609.471,(5),['63-Eu-151_n-tot']
4,8.35637,(19),586.625,1291.22,1.65676,(9),30.569,(118),['63-Eu-151_n-tot']
5,66.5734,(95),207.835,1240.68,4.72,(2),104.705,(57),['63-Eu-151_n-tot']
6,95.1758,(116),173.823,950.626,2.9209,(3),93.9251,(71),['63-Eu-151_n-tot']
7,40.5253,(68),266.383,832.023,1.3597,(17),36.3412,(117),['63-Eu-151_n-tot']
8,2.92871,(8),990.904,777.347,0.651,(68),132.955,(37),['63-Eu-151_n-tot']
9,18.262,(36),396.822,685.249,1.4063,(14),41.0687,(115),['63-Eu-151_n-tot']
10,51.3174,(80),236.721,638.429,1.2944,(18),63.0889,(99),['63-Eu-151_n-tot']
11,2.43901,(7),1085.83,522.379,0.83401,(46),102.583,(60),['63-Eu-153_n-tot']
12,47.9684,(77),244.845,510.352,1.5164,(13),42.7905,(111),['63-Eu-151_n-tot']
13,25.8826,(48),333.323,505.556,1.0963,(25),65.2934,(98),['63-Eu-153_n-tot']
14,92.0854,(115),176.715,492.255,2.23,(4),93.8966,(73),['63-Eu-151_n-tot']
15,13.3405,(27),464.284,482.055,1.0109,(28),41.9658,(112),['63-Eu-151_n-tot']
16,82.4372,(108),186.77,438.032,1.9824,(6),102.304,(61),['63-Eu-151_n-tot']
17,43.9188,(72),255.885,380.22,1.2414,(19),42.8959,(110),['63-Eu-151_n-tot']
18,56.6766,(87),225.252,320.745,1.0971,(24),107.629,(53),['63-Eu-151_n-tot']
19,3.57699,(9),896.625,308.051,0.33143,(106),852.899,(4),['63-Eu-151_n-tot']
20,36.4547,(63),280.862,302.167,0.8763,(41),87.0546,(79),['63-Eu-151_n-tot']
21,41.907,(69),261.955,296.095,0.77,(58),86.2312,(81),['63-Eu-151_n-tot']
22,6.95727,(17),642.91,294.62,0.5509,(82),146.682,(30),['63-Eu-151_n-tot']
23,46.8075,(76),247.863,294.046,0.83,(47),107.576,(54),['63-Eu-151_n-tot']
24,49.9854,(79),239.855,279.823,0.8886,(40),226.166,(16),['63-Eu-151_n-tot']
