Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,36.86,(1),272.153,1174.33,0.3937,(47),8661.19,(0),none
1,39.3,(2),263.569,801.584,0.3718,(48),6160.04,(2),none
2,92.4,(6),171.892,582.431,0.5727,(44),2973.53,(3),none
3,74.34,(4),191.637,508.503,0.495,(45),2944.0,(4),none
4,12.35,(0),470.172,432.726,0.2039,(50),6336.98,(1),none
5,140.0,(7),139.645,384.579,0.711,(42),1524.05,(5),none
6,238.0,(15),107.103,346.585,0.99,(29),1049.37,(6),none
7,223.3,(13),110.572,285.341,0.954,(31),894.63,(9),none
8,203.1,(11),115.941,247.728,0.789,(38),907.35,(8),none
9,185.7,(10),121.251,244.162,0.751,(40),934.944,(7),none
10,293.4,(18),96.463,230.675,1.067,(28),661.879,(13),none
11,173.802,(9),125.332,213.447,0.78,(39),724.005,(11),none
12,252.4,(16),104.003,200.561,0.88,(35),662.966,(12),none
13,282.6,(17),98.2889,174.239,0.932,(32),546.034,(15),none
14,379.2,(23),84.8509,168.838,1.182,(22),420.658,(17),none
15,385.9,(24),84.1111,168.086,1.121,(25),429.582,(16),none
16,425.7,(26),80.0827,161.689,1.322,(17),358.719,(19),none
17,231.4,(14),108.62,160.088,0.802,(37),580.503,(14),none
18,910.395,(44),54.7616,152.416,1.703,(6),258.883,(23),none
19,405.6,(25),82.043,139.603,1.131,(24),349.523,(20),none
20,575.4,(33),68.882,128.92,1.856,(0),205.016,(29),none
21,318.3,(21),92.6131,127.024,0.919,(33),407.563,(18),none
22,553.2,(32),70.2505,120.141,1.411,(15),240.497,(25),none
23,479.4,(29),75.4643,110.634,1.252,(19),242.464,(24),none
24,619.4,(35),66.3904,101.916,1.416,(14),209.717,(28),none
25,838.2,(43),57.0712,100.166,1.818,(1),154.065,(35),none
26,511.702,(30),73.0436,95.9767,1.188,(21),232.801,(26),none
27,333.7,(22),90.4508,92.7191,0.957,(30),273.132,(22),none
28,42.73,(3),252.769,92.376,0.3472,(49),787.19,(10),none
29,683.8,(38),63.1868,88.9499,1.807,(2),146.682,(37),none
30,660.3,(37),64.3013,88.3816,1.475,(12),172.429,(32),none
31,805.5,(41),58.2181,82.933,1.585,(9),149.559,(36),none
32,472.602,(28),76.0051,76.233,1.096,(26),203.896,(30),none
33,608.3,(34),66.9934,75.4954,1.26,(18),175.346,(31),none
34,814.3,(42),57.9027,70.6642,1.537,(11),129.575,(40),none
35,737.8,(39),60.8305,69.1589,1.442,(13),134.084,(38),none
36,1044.1,(49),51.1352,66.8692,1.73,(5),109.42,(45),none
37,1029.0,(48),51.509,65.6879,1.69,(7),110.747,(42),none
38,537.4,(31),71.2758,65.5814,1.151,(23),169.114,(33),none
39,994.1,(47),52.4054,63.6374,1.733,(4),107.159,(46),none
40,440.8,(27),78.6991,62.7681,1.07,(27),168.52,(34),none
41,303.1,(19),94.9069,62.7506,0.874,(36),210.65,(27),none
42,1168.0,(50),48.347,60.154,1.74,(3),102.97,(48),none
43,972.8,(46),52.976,59.844,1.656,(8),102.796,(50),none
44,85.55,(5),178.641,56.6027,0.4859,(46),335.549,(21),none
45,948.9,(45),53.639,55.3854,1.576,(10),102.949,(49),none
46,776.2,(40),59.3067,46.9198,1.356,(16),104.513,(47),none
47,631.2,(36),65.7669,45.9739,1.219,(20),113.63,(41),none
48,309.5,(20),93.9205,34.7993,0.901,(34),109.982,(44),none
49,207.7,(12),114.65,32.9547,0.726,(41),133.262,(39),none
50,160.0,(8),130.626,22.1518,0.613,(43),110.602,(43),none
