Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,36.86,(1),279.314,9131.35,6.5898,(80),22347.5,(0),none
1,2220.0,(93),35.9909,6435.36,59.34,(2),981.444,(26),none
2,575.429,(34),70.6926,6181.95,28.967,(13),2857.68,(9),none
3,223.312,(13),113.479,5381.37,14.764,(41),5098.39,(5),none
4,238.012,(15),109.918,5179.99,16.012,(36),4562.75,(7),none
5,293.413,(18),98.9988,4867.15,13.103,(46),3948.12,(8),none
6,683.866,(39),64.8462,4727.07,32.919,(8),2152.88,(17),none
7,425.74,(26),82.1859,4017.01,15.472,(39),2749.97,(11),none
8,39.3029,(2),270.494,3965.63,3.6622,(98),10566.4,(1),none
9,92.4052,(6),176.409,3945.86,20.8391,(25),6255.66,(4),none
10,140.003,(7),143.318,3689.1,19.789,(29),4963.17,(6),none
11,74.3434,(4),196.675,3358.81,12.7068,(47),6483.1,(3),none
12,379.212,(23),87.0821,3285.1,11.843,(49),2639.5,(12),none
13,2410.86,(97),34.5369,2979.42,67.42,(1),607.316,(38),none
14,1906.34,(87),38.8391,2463.93,21.87,(23),737.522,(33),none
15,838.268,(46),58.5704,2370.94,29.704,(12),1161.31,(23),none
16,1678.49,(79),41.3914,2340.2,19.23,(30),801.731,(30),none
17,1134.28,(61),50.3512,2274.32,36.06,(6),915.219,(27),none
18,252.424,(16),106.734,2181.51,16.884,(34),2261.62,(15),none
19,553.211,(33),72.0982,2103.9,9.465,(59),1524.3,(19),none
20,282.606,(17),100.874,2084.23,9.919,(57),2160.98,(16),none
21,173.802,(9),128.63,2046.07,11.836,(50),2800.34,(10),none
22,385.932,(24),86.3206,2022.86,18.897,(32),1666.52,(18),none
23,1699.11,(81),41.1395,1944.25,16.16,(35),687.16,(34),none
24,203.105,(11),118.99,1919.87,7.831,(71),2399.56,(14),none
25,660.345,(38),65.9909,1889.24,19.024,(31),1180.14,(22),none
26,185.709,(10),124.438,1869.12,11.509,(52),2419.26,(13),none
27,619.444,(36),68.1348,1813.54,9.161,(61),1233.11,(21),none
28,910.461,(49),56.2004,1595.52,19.969,(28),778.672,(31),none
29,405.627,(25),84.1989,1565.33,10.547,(54),1357.51,(20),none
30,12.35,(0),482.543,1449.82,20.6744,(26),6911.32,(2),none
31,1359.47,(66),45.9923,1442.76,14.01,(44),637.829,(36),none
32,2538.69,(98),33.6562,1429.0,112.91,(0),239.237,(60),none
33,479.427,(29),77.4477,1423.24,15.685,(37),1115.08,(24),none
34,1199.09,(63),48.9716,1376.39,33.18,(7),578.647,(39),none
35,805.54,(42),59.7484,1235.82,10.132,(56),766.571,(32),none
36,2042.6,(90),37.5213,1231.47,22.18,(20),418.111,(43),none
37,994.146,(53),53.783,1228.71,12.268,(48),665.737,(35),none
38,318.316,(21),95.0475,922.161,15.548,(38),900.204,(28),none
39,231.403,(14),111.477,793.803,4.339,(92),1010.61,(25),none
40,511.72,(31),74.9641,789.312,14.092,(43),632.438,(37),none
41,1168.06,(62),49.6178,764.454,30.33,(10),326.292,(49),none
42,1412.17,(70),45.1259,729.57,22.0,(22),319.075,(51),none
43,2321.89,(96),35.1924,695.706,29.74,(11),213.788,(64),none
44,814.345,(43),59.4245,678.441,5.749,(86),464.013,(40),none
45,972.847,(52),54.3685,631.766,8.856,(62),381.919,(45),none
46,1371.51,(67),45.79,624.727,14.95,(40),292.573,(53),none
47,608.332,(35),68.7542,591.117,9.503,(58),446.673,(41),none
48,1899.21,(86),38.912,579.309,7.92,(70),269.635,(57),none
49,1456.2,(71),44.4385,577.347,16.94,(33),264.484,(58),none
50,948.942,(51),55.0491,546.198,7.625,(72),341.5,(48),none
51,737.838,(40),62.4294,539.436,13.926,(45),354.605,(47),none
52,1044.15,(57),52.4793,460.979,7.3,(75),278.319,(54),none
53,1029.05,(56),52.863,455.519,7.17,(76),277.589,(55),none
54,1057.68,(58),52.1426,452.494,23.88,(19),220.032,(61),none
55,333.723,(22),92.8275,434.182,11.173,(53),446.454,(42),none
56,1857.9,(85),39.3422,431.645,39.29,(4),146.37,(80),none
57,472.624,(28),78.0031,430.935,6.205,(83),389.393,(44),none
58,1330.77,(65),46.4856,419.447,26.67,(15),186.948,(67),none
59,1521.89,(72),43.4688,391.894,11.61,(51),188.709,(66),none
60,1801.09,(84),39.9578,391.23,38.95,(5),131.13,(87),none
61,537.414,(32),73.1502,381.459,8.564,(64),322.224,(50),none
62,2120.29,(91),36.8275,373.812,43.85,(3),119.774,(92),none
63,1743.71,(83),40.61,362.643,24.56,(18),149.389,(76),none
64,2295.38,(95),35.395,351.056,26.01,(16),108.92,(95),none
65,1641.49,(78),41.8553,350.244,30.99,(9),149.044,(77),none
66,1386.49,(68),45.5419,340.696,8.06,(69),182.897,(68),none
67,892.358,(48),56.7676,333.717,8.255,(65),219.809,(62),none
68,1733.43,(82),40.7302,318.461,10.26,(55),147.859,(78),none
69,2263.96,(94),35.6398,310.646,8.79,(63),138.476,(82),none
70,1578.66,(76),42.6801,300.139,27.47,(14),125.893,(88),none
71,1691.75,(80),41.2289,298.086,6.07,(85),152.63,(74),none
72,2179.76,(92),36.3216,287.758,25.1,(17),112.774,(93),none
73,1559.89,(74),42.9361,284.4,5.07,(88),163.417,(73),none
74,776.252,(41),60.8651,279.799,4.128,(94),216.683,(63),none
75,440.839,(27),80.7662,273.894,4.292,(93),273.021,(56),none
76,1634.07,(77),41.9502,270.529,7.52,(74),136.949,(83),none
