Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,37.395,(2),270.199,1284.82,23.6403,(23),0.230589,(60),none
1,131.599,(9),144.034,1129.97,13.485,(72),2.02121,(15),none
2,14.4987,(1),433.936,796.882,10.0184,(92),0.816038,(22),none
3,111.064,(8),156.785,650.713,16.817,(51),0.711095,(24),none
4,155.689,(11),132.422,581.883,14.407,(67),0.968047,(19),none
5,144.81,(10),137.307,546.745,7.698,(114),3.08774,(8),none
6,55.3976,(4),221.996,422.468,14.4562,(66),0.347817,(45),none
7,7.65625,(0),597.149,388.05,11.2193,(83),0.648417,(27),none
8,82.8682,(6),181.508,364.05,23.1561,(24),0.210521,(65),none
9,72.9888,(5),193.403,290.43,9.9783,(93),0.401532,(38),none
10,423.068,(24),80.3314,247.802,34.337,(5),0.103811,(91),none
11,304.353,(19),94.7113,206.759,59.958,(1),0.0287258,(149),none
12,457.538,(26),77.2462,199.867,18.273,(39),0.32942,(48),none
13,168.744,(12),127.197,178.725,4.519,(138),2.59679,(11),none
14,218.31,(15),111.829,169.643,11.253,(82),0.377738,(39),none
15,103.83,(7),162.155,169.529,3.795,(142),2.86486,(9),none
16,478.893,(27),75.5043,157.171,16.174,(55),0.269682,(57),none
17,238.402,(16),107.013,143.438,26.767,(17),0.0985674,(94),none
18,263.533,(18),101.783,139.168,9.844,(94),0.446541,(36),none
19,375.054,(22),85.3186,132.809,29.198,(12),0.0579974,(120),none
20,205.523,(14),115.255,130.001,7.785,(113),0.618645,(28),none
21,189.379,(13),120.067,125.406,29.317,(11),0.150468,(79),none
22,821.982,(48),57.6314,120.494,21.228,(33),0.298941,(53),none
23,402.399,(23),82.3687,118.996,8.921,(104),0.556433,(31),none
24,537.252,(31),71.2856,110.388,32.668,(6),0.0627154,(116),none
25,853.127,(50),56.5697,97.542,10.412,(88),0.897989,(20),none
26,635.302,(37),65.5542,90.0611,11.941,(77),0.311405,(50),none
27,573.311,(33),69.0074,83.9201,22.134,(28),0.0841816,(99),none
28,946.038,(56),53.72,81.074,34.683,(4),0.0901457,(95),none
29,842.286,(49),56.9326,80.1929,5.935,(125),2.49556,(12),none
30,498.991,(29),73.9681,76.5229,17.421,(43),0.157209,(76),none
31,874.232,(51),55.8827,71.9758,16.882,(50),0.22138,(61),none
32,1017.53,(61),51.7985,68.1548,16.6,(52),0.195099,(68),none
33,610.147,(36),66.8919,67.5691,17.913,(40),0.119179,(87),none
34,254.764,(17),103.519,65.9561,3.179,(146),1.88828,(16),none
35,905.884,(53),54.8977,65.6493,10.171,(89),0.5811,(29),none
36,1061.1,(64),50.7239,64.3248,17.03,(48),0.148992,(80),none
37,351.716,(21),88.1038,62.6919,28.629,(13),0.0410961,(135),none
38,801.03,(46),58.3803,61.8191,10.897,(86),0.313054,(49),none
39,885.787,(52),55.517,59.7697,14.566,(64),0.236275,(59),none
40,759.646,(44),59.9494,59.6475,22.485,(26),0.0645196,(114),none
41,786.187,(45),58.9288,58.7813,17.892,(41),0.11913,(88),none
42,1747.88,(102),39.5216,58.305,20.56,(34),0.158261,(75),none
43,998.29,(59),52.2953,58.2705,17.269,(46),0.145442,(81),none
44,48.395,(3),237.515,57.7469,1.7038,(153),4.24068,(7),none
45,514.531,(30),72.8425,53.3322,2.804,(148),2.64521,(10),none
46,926.043,(55),54.2969,51.1629,8.335,(109),0.520085,(33),none
47,1044.34,(63),51.1293,46.0626,14.31,(69),0.200808,(66),none
48,1164.29,(70),48.4239,45.4976,20.45,(35),0.0734722,(104),none
49,1335.67,(79),45.2107,44.2189,41.2,(3),0.0209971,(156),none
50,560.119,(32),69.8153,43.4983,10.778,(87),0.129641,(82),none
51,979.096,(58),52.8054,42.6399,9.124,(101),0.359856,(44),none
52,1285.6,(77),46.0827,42.5178,17.39,(44),0.0860886,(98),none
53,913.903,(54),54.6564,41.9438,3.609,(143),2.46805,(13),none
54,1079.31,(65),50.2942,41.6262,8.08,(111),0.360446,(43),none
55,1731.29,(101),39.7105,39.0535,12.01,(76),0.197473,(67),none
56,1771.76,(103),39.2544,37.8289,7.96,(112),0.699291,(25),none
57,1883.87,(110),38.0685,36.6355,21.6,(31),0.0628693,(115),none
58,1707.76,(100),39.9832,35.6581,17.34,(45),0.0767545,(102),none
59,666.782,(39),63.988,35.2569,29.788,(10),0.0410562,(136),none
60,733.804,(43),60.9959,33.4315,24.306,(20),0.0359297,(144),none
61,648.05,(38),64.9062,32.3551,9.055,(102),0.15048,(78),none
62,1305.35,(78),45.7327,32.2232,15.34,(60),0.0696549,(108),none
63,1269.85,(76),46.3676,31.9159,5.18,(134),0.569791,(30),none
64,2622.82,(155),32.2631,31.4088,13.79,(71),0.337505,(46),none
65,1190.17,(71),47.8946,31.2997,6.97,(118),0.463507,(35),none
66,1969.16,(115),37.2349,31.1598,11.29,(81),0.18175,(71),none
67,1538.06,(91),42.1312,30.7212,51.5,(2),0.00990725,(161),none
68,971.539,(57),53.0103,30.2373,3.492,(144),1.4473,(17),none
69,445.926,(25),78.2455,30.1239,0.867,(159),30.6701,(0),none
70,1413.89,(84),43.9423,29.8274,17.03,(49),0.0620228,(117),none
71,1992.05,(116),37.0204,29.5118,18.81,(37),0.0667895,(110),none
72,2155.73,(128),35.5872,29.4327,17.12,(47),0.103211,(92),none
73,490.108,(28),74.6354,28.942,3.197,(145),0.85578,(21),none
74,1382.53,(82),44.4379,28.9078,15.7,(57),0.0651872,(112),none
75,2063.21,(121),36.3763,28.8907,17.59,(42),0.0674384,(109),none
76,1432.26,(85),43.6596,28.4929,15.06,(63),0.0666326,(111),none
77,2223.74,(132),35.0388,28.3877,22.2,(27),0.0569032,(122),none
78,1207.75,(72),47.5447,26.8039,21.92,(30),0.0552716,(124),none
79,1665.93,(97),40.482,26.5597,9.4,(97),0.171468,(72),none
80,1261.49,(75),46.521,26.2034,4.64,(137),0.544001,(32),none
81,1233.05,(73),47.0544,25.9797,24.21,(22),0.0378918,(142),none
82,1397.81,(83),44.1943,25.8033,5.63,(131),0.336112,(47),none
83,693.327,(41),62.7511,25.3341,6.332,(120),0.219458,(62),none
84,1863.51,(109),38.2758,24.8629,8.43,(106),0.216999,(63),none
85,1098.22,(66),49.8593,24.8275,18.66,(38),0.0551595,(125),none
86,2041.0,(120),36.5737,24.4426,15.33,(61),0.0777347,(100),none
87,1446.85,(86),43.4389,24.3849,6.31,(121),0.261031,(58),none
88,1911.99,(111),37.7875,24.3381,21.26,(32),0.0396689,(138),none
89,1456.85,(87),43.2896,24.1898,6.02,(123),0.286981,(55),none
90,1614.41,(94),41.1229,23.613,14.08,(70),0.0648612,(113),none
91,2688.64,(158),31.8658,22.8136,32.06,(7),0.0223712,(155),none
92,710.074,(42),62.0067,22.7036,22.019,(29),0.0365792,(143),none
93,2315.66,(137),34.3363,22.1788,25.98,(18),0.0284617,(150),none
