Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,7500000.0,(85),0.619212,9640590.0,12134800.0,(0),4.80545,(46),none
1,327.342,(10),93.7279,123271.0,52.928,(4),0.669109,(84),none
2,373.837,(11),87.7059,105743.0,35.683,(14),4.30105,(53),none
3,108.711,(4),162.642,104154.0,30.3759,(21),5.85754,(40),none
4,56.0184,(1),226.571,55953.1,23.5607,(29),4.49493,(52),none
5,190.307,(6),122.926,49052.9,21.849,(32),1.3281,(78),none
6,26.6661,(0),328.39,31759.5,13.5343,(55),4.26501,(55),none
7,815.182,(26),59.394,28126.3,27.586,(24),1.37585,(77),none
8,73.6397,(3),197.612,25529.2,7.9,(71),2.8301,(69),none
9,726.922,(24),62.8964,22622.4,16.384,(50),4.63729,(50),none
10,474.221,(14),77.8716,21610.8,25.58,(28),3.39271,(63),none
11,1550.44,(59),43.0668,17431.5,38.56,(12),4.64455,(48),none
12,839.989,(27),58.5104,17293.2,20.254,(35),8.17317,(22),none
13,972.085,(31),54.3898,16845.1,73.805,(1),6.68389,(33),none
14,547.354,(18),72.4829,14540.7,33.263,(17),7.95546,(23),none
15,1179.82,(41),49.3699,14188.8,29.06,(23),2.99551,(67),none
16,1986.71,(74),38.0454,13395.4,32.13,(19),2.15986,(71),none
17,897.536,(30),56.6036,11809.6,43.278,(7),3.78654,(59),none
18,1767.01,(67),40.3413,11015.3,36.43,(13),0.770472,(83),none
19,1852.31,(70),39.4015,10806.0,32.16,(18),7.22245,(28),none
20,2120.16,(81),36.8286,10252.9,35.0,(16),0.94672,(82),none
21,1910.24,(71),38.7995,10221.7,58.17,(2),3.81607,(58),none
22,512.665,(17),74.895,9315.29,21.409,(33),3.02,(66),none
23,1093.49,(37),51.2817,8724.57,41.89,(10),3.58818,(61),none
24,1696.53,(65),41.1708,8671.65,27.18,(25),11.8986,(8),none
25,200.738,(7),119.689,7923.51,3.301,(82),52.5307,(0),none
26,707.527,(23),63.7526,7290.62,7.8,(73),5.14693,(45),none
27,698.711,(22),64.1536,7230.4,42.75,(8),0.497217,(85),none
28,146.744,(5),139.988,6722.41,8.71,(70),3.10638,(64),none
29,448.436,(13),80.0792,6462.65,15.218,(53),2.97986,(68),none
30,1508.52,(58),43.6611,6147.41,18.08,(42),1.00536,(81),none
31,1389.03,(50),45.5003,6129.67,49.25,(5),3.51369,(62),none
32,1150.91,(40),49.9861,5924.67,11.7,(61),4.06762,(56),none
33,790.865,(25),60.3002,5721.86,18.728,(39),1.98901,(72),none
34,1476.4,(55),44.1334,4759.32,46.77,(6),4.79077,(47),none
35,1137.21,(39),50.2863,4741.41,15.78,(52),1.13203,(79),none
36,1199.1,(42),48.9713,4125.29,18.16,(41),12.0019,(7),none
37,1954.01,(73),38.3625,4041.76,19.48,(37),1.44579,(76),none
38,2142.23,(82),36.6384,4038.7,16.94,(46),21.011,(1),none
39,1657.48,(63),41.6529,3916.98,35.25,(15),1.041,(80),none
40,1666.13,(64),41.5447,3715.63,10.04,(67),1.89609,(73),none
41,1781.54,(68),40.1765,3626.05,10.44,(65),8.96073,(17),none
42,1002.51,(33),53.5581,3594.26,23.365,(30),8.44242,(19),none
43,1818.01,(69),39.7715,3507.79,14.09,(54),1.49261,(75),none
44,1124.63,(38),50.5667,3121.8,30.28,(22),4.60091,(51),none
45,2005.36,(75),37.8681,3050.32,16.66,(49),16.7015,(3),none
46,1051.71,(36),52.2904,2837.37,19.66,(36),4.28542,(54),none
47,1936.73,(72),38.5332,2411.68,25.71,(26),7.49818,(27),none
48,1318.0,(48),46.7102,2224.94,42.55,(9),5.2879,(44),none
49,852.724,(28),58.0718,2018.6,11.921,(60),13.483,(6),none
