Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,431723.0,(215),2.58088,15130500.0,973625.0,(1),6.89017,(152),none
1,6.93165,(2),644.097,20872.0,6.0862,(68),8.41328,(104),none
2,13.8081,(3),456.355,10917.5,3.3254,(146),13.3664,(41),none
3,105.992,(28),164.715,4415.98,9.67,(16),5.24168,(200),none
4,1.40625,(0),1430.01,4373.44,3.33655,(145),10.7699,(67),none
5,70.932,(19),201.349,3961.65,7.1707,(44),6.02052,(185),none
6,1165.0,(211),49.6829,3402.36,15.79,(3),7.21225,(136),none
7,991.072,(192),53.8663,3216.12,14.982,(4),6.49503,(173),none
8,166.127,(40),131.568,3177.24,11.991,(5),7.06036,(145),none
9,48.8944,(12),242.516,3084.12,4.0627,(121),9.48523,(79),none
10,486.555,(111),76.8783,2968.64,6.7,(57),7.61331,(126),none
11,22.6403,(5),356.393,2801.46,3.3709,(143),9.35214,(83),none
12,62.3624,(17),214.738,2754.8,6.4404,(63),5.92436,(188),none
13,224.84,(51),113.092,2751.41,6.879,(52),7.65194,(122),none
14,932.972,(184),55.5182,2647.57,11.082,(10),4.59723,(209),none
15,1182.4,(212),49.316,2357.88,11.56,(7),14.3348,(29),none
16,288.897,(66),99.7696,2229.11,5.992,(71),10.7873,(65),none
17,31.332,(7),302.953,2165.75,6.2912,(64),7.00485,(148),none
18,44.7414,(11),253.522,2111.82,2.3511,(183),14.4296,(27),none
19,26.5579,(6),329.058,2097.63,2.9536,(155),10.7287,(68),none
20,1247.74,(214),48.0073,2064.02,57.73,(2),10.1253,(71),none
21,298.597,(67),98.1357,1862.81,10.586,(12),5.81574,(192),none
22,18.8833,(4),390.239,1763.09,6.7608,(56),7.66094,(121),none
23,612.315,(136),68.5302,1649.34,6.896,(50),6.04879,(184),none
24,126.969,(33),150.495,1589.98,9.035,(19),7.25999,(133),none
25,75.2735,(20),195.456,1492.37,2.6304,(170),13.8232,(32),none
26,472.492,(107),78.014,1402.16,6.075,(69),6.70429,(164),none
27,86.4057,(23),182.431,1398.37,9.6259,(17),6.05584,(183),none
28,1047.61,(199),52.3926,1342.08,9.76,(15),6.17681,(180),none
29,492.618,(112),76.4037,1319.04,5.283,(84),13.1244,(42),none
30,38.0135,(8),275.043,1308.06,5.2812,(85),6.39866,(174),none
31,112.109,(30),160.158,1275.21,2.397,(180),14.4155,(28),none
32,154.193,(39),136.564,1240.04,2.905,(159),13.5607,(35),none
33,942.749,(185),55.2296,1203.68,8.357,(26),10.5146,(69),none
34,330.367,(75),93.2978,1199.09,3.899,(128),12.6639,(44),none
35,135.451,(34),145.706,1198.37,9.766,(14),5.65877,(193),none
36,4.472,(1),801.897,1187.72,1.63797,(203),12.6138,(45),none
37,376.219,(88),87.4278,1147.37,3.993,(123),11.1441,(59),none
38,1073.09,(202),51.7668,1133.83,8.87,(22),7.66519,(120),none
39,184.039,(44),125.001,1123.55,8.083,(31),6.71927,(163),none
40,413.36,(93),83.4076,1085.59,6.783,(55),6.74888,(161),none
41,139.468,(35),143.593,1077.45,3.266,(148),9.25412,(85),none
42,1121.94,(206),50.6273,1071.76,11.26,(8),8.58406,(97),none
43,236.948,(55),110.165,1068.62,3.492,(138),11.3231,(57),none
44,618.207,(137),68.2029,1068.54,4.959,(101),21.4854,(11),none
45,716.919,(155),63.3337,1016.71,5.786,(74),4.82357,(206),none
46,110.386,(29),161.403,988.274,2.296,(184),16.8634,(20),none
47,960.606,(188),54.7138,979.612,7.893,(34),4.43889,(215),none
48,41.7854,(10),262.336,955.618,2.9004,(160),7.10558,(144),none
49,526.018,(118),73.9383,954.757,6.983,(45),6.8975,(151),none
50,149.494,(37),138.694,938.001,7.59,(38),6.53786,(172),none
51,117.656,(32),156.337,932.263,3.631,(133),12.0769,(50),none
52,303.885,(68),97.2781,882.739,4.692,(106),7.20361,(137),none
53,1054.82,(200),52.2132,871.297,6.96,(48),8.10879,(111),none
54,114.732,(31),158.317,844.598,1.785,(199),38.2841,(4),none
55,98.7023,(27),170.689,838.883,2.2136,(188),14.0976,(31),none
56,260.666,(60),105.033,831.486,8.783,(23),5.18916,(203),none
57,768.241,(164),61.1816,822.753,4.578,(108),16.1669,(22),none
58,530.751,(119),73.6079,821.049,4.991,(99),9.52194,(76),none
59,761.966,(163),61.433,820.356,5.159,(92),4.58633,(211),none
60,653.149,(144),66.3535,817.951,6.003,(70),12.0395,(52),none
61,278.653,(63),101.587,811.173,6.497,(62),4.97314,(205),none
62,808.081,(169),59.6544,797.427,8.184,(29),7.83353,(119),none
63,335.752,(76),92.5466,793.203,4.866,(102),9.41178,(81),none
64,465.292,(106),78.6153,766.113,4.406,(113),4.57362,(213),none
65,848.528,(174),58.2152,753.736,5.145,(94),12.9926,(43),none
66,998.954,(193),53.6534,736.873,5.45,(82),18.8606,(14),none
67,271.353,(62),102.944,731.609,4.99,(100),5.19201,(202),none
68,977.586,(191),54.2366,728.224,7.583,(39),8.55315,(99),none
69,93.9283,(25),174.973,696.761,4.51,(110),6.3605,(176),none
70,508.274,(115),75.2178,675.988,6.963,(47),8.33772,(108),none
71,1110.45,(205),50.8886,674.212,7.24,(43),7.22207,(135),none
72,175.076,(43),128.161,671.839,4.73,(104),6.80654,(158),none
73,419.946,(94),82.751,633.911,5.187,(91),9.48709,(78),none
74,142.436,(36),142.089,625.74,2.159,(193),18.28,(16),none
75,407.747,(92),83.9797,624.981,4.577,(109),9.15489,(88),none
76,910.597,(182),56.1962,623.696,10.945,(11),7.15233,(140),none
77,596.155,(131),69.4529,622.807,4.009,(122),12.1401,(49),none
78,799.559,(168),59.9714,610.588,8.979,(20),7.85574,(118),none
79,217.574,(50),114.965,604.391,2.084,(194),12.2829,(48),none
80,646.33,(143),66.7026,595.173,4.186,(118),6.59683,(171),none
81,736.986,(159),62.4655,590.866,6.973,(46),9.26185,(84),none
82,240.485,(56),109.352,590.377,2.894,(161),13.5593,(36),none
83,95.8261,(26),173.232,586.33,1.6732,(201),13.5519,(37),none
