Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,431723.0,(215),2.58088,6997120.0,972875.0,(1),6.89017,(152),['65-Tb-159_n-tot']
1,6.93165,(2),644.097,15504.5,6.0862,(65),8.41328,(104),['65-Tb-159_n-tot']
2,13.8081,(3),456.355,10917.4,3.3254,(143),13.3664,(41),['65-Tb-159_n-tot']
3,1247.74,(214),48.0073,4744.79,182.73,(2),10.1253,(71),['65-Tb-159_n-tot']
4,105.992,(28),164.715,3971.54,9.67,(13),5.24168,(200),['65-Tb-159_n-tot']
5,1.40625,(0),1430.01,3896.53,3.33655,(142),10.7699,(67),['65-Tb-159_n-tot']
6,70.932,(19),201.349,3619.62,7.1707,(41),6.02052,(185),['65-Tb-159_n-tot']
7,1165.0,(211),49.6829,3402.36,15.79,(3),7.21225,(136),['65-Tb-159_n-tot']
8,991.072,(192),53.8663,3133.73,14.982,(4),6.49503,(173),['65-Tb-159_n-tot']
9,166.127,(40),131.568,3123.86,11.991,(5),7.06036,(145),['65-Tb-159_n-tot']
10,48.8944,(12),242.516,3034.51,4.0627,(118),9.48523,(79),['65-Tb-159_n-tot']
11,486.555,(111),76.8783,2932.53,6.7,(54),7.61331,(126),['65-Tb-159_n-tot']
12,224.84,(51),113.092,2718.21,6.879,(49),7.65194,(122),['65-Tb-159_n-tot']
13,22.6403,(5),356.393,2657.08,3.3709,(140),9.35214,(83),['65-Tb-159_n-tot']
14,932.972,(184),55.5182,2600.06,11.082,(8),4.59723,(209),['65-Tb-159_n-tot']
15,62.3624,(17),214.738,2536.02,6.4404,(60),5.92436,(188),['65-Tb-159_n-tot']
16,1182.4,(212),49.316,2322.9,11.56,(6),14.3348,(29),['65-Tb-159_n-tot']
17,288.897,(66),99.7696,2201.06,5.992,(68),10.7873,(65),['65-Tb-159_n-tot']
18,44.7414,(11),253.522,2076.93,2.3511,(183),14.4296,(27),['65-Tb-159_n-tot']
19,26.5579,(6),329.058,2064.98,2.9536,(153),10.7287,(68),['65-Tb-159_n-tot']
20,31.332,(7),302.953,1938.82,6.2912,(61),7.00485,(148),['65-Tb-159_n-tot']
21,298.597,(67),98.1357,1785.2,10.586,(10),5.81574,(192),['65-Tb-159_n-tot']
22,18.8833,(4),390.239,1763.11,6.7608,(53),7.66094,(121),['65-Tb-159_n-tot']
23,612.315,(136),68.5302,1638.12,6.896,(47),6.04879,(184),['65-Tb-159_n-tot']
24,126.969,(33),150.495,1563.16,9.035,(16),7.25999,(133),['65-Tb-159_n-tot']
25,75.2735,(20),195.456,1473.68,2.6304,(168),13.8232,(32),['65-Tb-159_n-tot']
26,472.492,(107),78.014,1385.55,6.075,(66),6.70429,(164),['65-Tb-159_n-tot']
27,1047.61,(199),52.3926,1323.02,9.76,(12),6.17681,(180),['65-Tb-159_n-tot']
28,492.618,(112),76.4037,1303.34,5.283,(81),13.1244,(42),['65-Tb-159_n-tot']
29,38.0135,(8),275.043,1288.2,5.2812,(82),6.39866,(174),['65-Tb-159_n-tot']
30,112.109,(30),160.158,1274.05,2.397,(180),14.4155,(28),['65-Tb-159_n-tot']
31,86.4057,(23),182.431,1257.41,9.6259,(14),6.05584,(183),['65-Tb-159_n-tot']
32,154.193,(39),136.564,1230.48,2.905,(157),13.5607,(35),['65-Tb-159_n-tot']
33,330.367,(75),93.2978,1191.63,3.899,(125),12.6639,(44),['65-Tb-159_n-tot']
34,942.749,(185),55.2296,1188.35,8.357,(23),10.5146,(69),['65-Tb-159_n-tot']
35,4.472,(1),801.897,1171.95,1.63797,(203),12.6138,(45),['65-Tb-159_n-tot']
36,376.219,(88),87.4278,1145.75,3.993,(120),11.1441,(59),['65-Tb-159_n-tot']
37,1073.09,(202),51.7668,1120.73,8.87,(19),7.66519,(120),['65-Tb-159_n-tot']
38,135.451,(34),145.706,1117.89,9.766,(11),5.65877,(193),['65-Tb-159_n-tot']
39,184.039,(44),125.001,1105.82,8.083,(27),6.71927,(163),['65-Tb-159_n-tot']
40,139.468,(35),143.593,1071.03,3.266,(145),9.25412,(85),['65-Tb-159_n-tot']
41,413.36,(93),83.4076,1069.81,6.783,(52),6.74888,(161),['65-Tb-159_n-tot']
42,236.948,(55),110.165,1061.87,3.492,(135),11.3231,(57),['65-Tb-159_n-tot']
43,1121.94,(206),50.6273,1056.47,11.26,(7),8.58406,(97),['65-Tb-159_n-tot']
44,618.207,(137),68.2029,1055.37,4.959,(98),21.4854,(11),['65-Tb-159_n-tot']
45,716.919,(155),63.3337,1014.79,5.786,(71),4.82357,(206),['65-Tb-159_n-tot']
46,110.386,(29),161.403,978.146,2.296,(184),16.8634,(20),['65-Tb-159_n-tot']
47,960.606,(188),54.7138,970.642,7.893,(30),4.43889,(215),['65-Tb-159_n-tot']
48,526.018,(118),73.9383,941.929,6.983,(42),6.8975,(151),['65-Tb-159_n-tot']
49,41.7854,(10),262.336,928.366,2.9004,(158),7.10558,(144),['65-Tb-159_n-tot']
50,149.494,(37),138.694,925.072,7.59,(35),6.53786,(172),['65-Tb-159_n-tot']
51,117.656,(32),156.337,913.959,3.631,(130),12.0769,(50),['65-Tb-159_n-tot']
52,303.885,(68),97.2781,873.731,4.692,(103),7.20361,(137),['65-Tb-159_n-tot']
53,1054.82,(200),52.2132,862.604,6.96,(45),8.10879,(111),['65-Tb-159_n-tot']
54,114.732,(31),158.317,834.15,1.785,(199),38.2841,(4),['65-Tb-159_n-tot']
55,98.7023,(27),170.689,827.716,2.2136,(188),14.0976,(31),['65-Tb-159_n-tot']
56,761.966,(163),61.433,820.961,5.159,(89),4.58633,(211),['65-Tb-159_n-tot']
57,530.751,(119),73.6079,816.813,4.991,(96),9.52194,(76),['65-Tb-159_n-tot']
58,768.241,(164),61.1816,813.065,4.578,(105),16.1669,(22),['65-Tb-159_n-tot']
59,653.149,(144),66.3535,807.473,6.003,(67),12.0395,(52),['65-Tb-159_n-tot']
60,278.653,(63),101.587,801.551,6.497,(59),4.97314,(205),['65-Tb-159_n-tot']
61,260.666,(60),105.033,799.183,8.783,(20),5.18916,(203),['65-Tb-159_n-tot']
62,808.081,(169),59.6544,787.824,8.184,(25),7.83353,(119),['65-Tb-159_n-tot']
63,335.752,(76),92.5466,783.161,4.866,(99),9.41178,(81),['65-Tb-159_n-tot']
64,465.292,(106),78.6153,767.118,4.406,(110),4.57362,(213),['65-Tb-159_n-tot']
65,848.528,(174),58.2152,747.16,5.145,(91),12.9926,(43),['65-Tb-159_n-tot']
66,998.954,(193),53.6534,728.373,5.45,(79),18.8606,(14),['65-Tb-159_n-tot']
67,271.353,(62),102.944,724.439,4.99,(97),5.19201,(202),['65-Tb-159_n-tot']
68,977.586,(191),54.2366,721.964,7.583,(36),8.55315,(99),['65-Tb-159_n-tot']
69,93.9283,(25),174.973,687.849,4.51,(107),6.3605,(176),['65-Tb-159_n-tot']
70,1110.45,(205),50.8886,668.021,7.24,(40),7.22207,(135),['65-Tb-159_n-tot']
71,508.274,(115),75.2178,667.479,6.963,(44),8.33772,(108),['65-Tb-159_n-tot']
72,175.076,(43),128.161,663.195,4.73,(101),6.80654,(158),['65-Tb-159_n-tot']
73,419.946,(94),82.751,625.86,5.187,(88),9.48709,(78),['65-Tb-159_n-tot']
