Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,59.18,(16),214.785,50037.6,16.5957,(1),1.03636,(17),none
1,78.6331,(17),186.332,40340.2,16.8938,(0),0.849293,(18),none
2,6.68509,(2),639.053,19693.2,5.97737,(5),2.482,(15),none
3,32.7532,(11),288.711,18112.8,6.6971,(3),3.23557,(13),none
4,22.6464,(7),347.209,15823.9,4.8946,(8),5.22487,(11),none
5,11.289,(3),491.771,15690.3,6.0024,(4),2.94773,(14),none
6,49.4279,(15),235.02,11661.8,5.0922,(7),5.49014,(9),none
7,41.4639,(14),256.599,10454.3,8.2909,(2),1.5748,(16),none
8,87.7801,(18),176.357,7773.45,5.3647,(6),4.68933,(12),none
9,18.1294,(6),388.06,4666.83,1.9125,(12),18.4042,(4),none
10,16.6974,(4),404.358,4426.81,2.1974,(10),13.4102,(6),none
11,0.5625,(0),2203.08,4020.81,2.14672,(11),10.3066,(8),none
12,2.58836,(1),1027.02,3526.78,1.0567,(15),65.1168,(1),none
13,37.2967,(12),270.555,1868.31,1.7895,(13),12.0857,(7),none
14,26.1704,(8),322.987,1833.32,2.8941,(9),5.40307,(10),none
15,28.4678,(10),309.68,1474.21,1.1914,(14),34.4715,(2),none
16,27.744,(9),313.694,70.1844,0.6948,(17),26.1722,(3),none
17,38.2,(13),267.337,51.8267,0.7882,(16),13.8731,(5),none
18,17.6084,(5),393.759,8.63295,0.2752,(18),101.757,(0),none
