Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,83.0252,(17),186.108,25102.4,16.4049,(0),7.35421,(14),none
1,7.07395,(2),637.586,9766.16,5.8259,(4),6.89654,(15),none
2,64.2177,(16),211.613,9077.88,14.373,(1),5.36734,(18),none
3,33.5501,(11),292.767,8213.71,6.3663,(3),8.83403,(13),none
4,22.9597,(7),353.905,7415.46,4.6276,(7),11.3431,(9),none
5,43.6365,(14),256.711,4841.44,7.9271,(2),6.50665,(17),none
6,88.5186,(18),180.241,3855.32,4.8503,(6),9.99535,(12),none
7,49.9285,(15),239.991,2527.24,4.1406,(8),11.0132,(10),none
8,0.625,(0),2145.01,2352.64,2.09077,(10),14.1701,(8),none
9,16.7676,(4),414.128,1912.44,1.9565,(11),17.9669,(7),none
10,11.7321,(3),495.087,1341.71,5.24988,(5),6.51936,(16),none
11,26.4123,(8),329.964,787.764,2.6017,(9),10.3799,(11),none
12,37.3301,(12),277.549,739.966,1.44,(12),22.6341,(5),none
13,28.4678,(10),317.828,520.099,0.885,(14),35.8688,(2),none
14,2.58836,(1),1054.04,486.251,0.81032,(15),68.3735,(1),none
15,18.1489,(6),398.056,25.6876,0.9921,(13),20.6034,(6),none
16,27.7506,(9),321.909,18.9283,0.4024,(17),29.2023,(3),none
17,38.2112,(13),274.331,12.4205,0.4426,(16),22.6342,(4),none
18,17.6084,(5),404.119,2.7833,0.1462,(18),105.657,(0),none
