Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,736.511,(23),62.4856,7127.28,52.986,(1),2504.87,(5),none
1,10.45,(1),524.58,6441.69,11.3592,(37),23413.0,(0),none
2,20.47,(2),374.81,6211.65,16.5956,(23),17509.3,(1),none
3,703.631,(21),63.9289,5054.83,30.229,(7),2219.01,(8),none
4,341.216,(13),91.8026,4787.62,41.134,(4),3413.1,(3),none
5,85.6064,(5),183.281,4442.19,29.5833,(8),6877.83,(2),none
6,679.5,(20),65.0542,4276.83,31.228,(5),2089.65,(9),none
7,379.313,(14),87.0705,3159.95,19.01,(19),2428.23,(6),none
8,1861.72,(41),39.3018,2655.9,20.47,(18),815.436,(17),none
9,1085.97,(28),51.4589,2615.41,22.17,(14),1116.84,(12),none
10,155.706,(8),135.899,2276.59,18.389,(20),2951.52,(4),none
11,398.842,(16),84.912,2192.11,14.718,(27),1770.34,(10),none
12,430.13,(17),81.7655,1229.6,43.373,(3),944.774,(13),none
13,1937.92,(44),38.5214,1153.94,8.92,(40),483.259,(20),none
14,522.232,(18),74.2058,1124.51,31.057,(6),825.371,(15),none
15,1313.15,(30),46.7964,1098.42,55.32,(0),438.576,(23),none
16,1592.17,(36),42.4986,1063.28,24.74,(11),431.189,(24),none
17,1648.37,(37),41.7679,843.797,21.98,(15),348.174,(27),none
18,868.643,(26),57.5372,835.539,21.051,(17),473.915,(21),none
19,136.404,(7),145.197,803.43,17.507,(21),1208.09,(11),none
20,1710.36,(38),41.004,747.278,11.53,(35),328.866,(29),none
21,178.309,(9),126.994,717.097,12.416,(30),942.15,(14),none
22,1721.09,(39),40.876,682.912,17.29,(22),287.47,(30),none
23,202.209,(10),119.253,665.52,24.292,(12),821.362,(16),none
24,1899.7,(43),38.907,640.189,11.95,(34),268.474,(32),none
25,1495.38,(34),43.8525,615.267,21.81,(16),274.726,(31),none
26,394.305,(15),85.3992,589.991,4.511,(45),591.286,(19),none
27,1133.67,(29),50.3647,583.486,6.69,(43),343.704,(28),none
28,729.593,(22),62.7812,582.153,6.47,(44),445.221,(22),none
29,1437.28,(33),44.73,581.135,23.14,(13),262.891,(33),none
30,1994.47,(46),37.9713,573.717,14.79,(26),229.721,(36),none
31,845.257,(25),58.3278,570.49,12.144,(33),360.078,(26),none
32,1944.46,(45),38.4565,519.142,49.16,(2),245.927,(34),none
33,989.352,(27),53.9131,429.303,27.328,(9),234.998,(35),none
34,1401.46,(31),45.298,412.048,10.49,(38),210.731,(38),none
35,1.88,(0),1236.78,411.548,4.0,(46),2277.51,(7),none
36,1875.03,(42),39.1621,396.672,13.65,(28),179.237,(42),none
37,1411.76,(32),45.1325,392.089,25.15,(10),174.476,(43),none
38,1541.76,(35),43.1878,377.004,14.96,(25),179.539,(41),none
39,73.14,(4),198.286,363.875,9.0237,(39),732.211,(18),none
40,1829.77,(40),39.6435,345.488,11.44,(36),157.707,(44),none
41,577.436,(19),70.5696,267.687,12.871,(29),214.91,(37),none
42,320.708,(12),94.6923,168.837,12.301,(31),183.071,(40),none
43,817.243,(24),59.319,166.89,6.946,(42),124.347,(46),none
44,246.318,(11),108.049,150.432,12.163,(32),183.982,(39),none
45,34.9,(3),287.05,132.64,16.0366,(24),376.622,(25),none
46,115.6,(6),157.721,72.5053,7.252,(41),128.976,(45),none
