Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,5.44,(0),708.421,3763.34,0.25211,(17),44797.9,(0),none
1,71.1,(1),195.955,1467.3,0.8122,(14),5450.12,(1),none
2,269.36,(5),100.676,425.408,1.333,(10),944.105,(2),none
3,529.83,(8),71.7831,219.365,1.388,(9),447.947,(7),none
4,412.75,(7),81.3293,205.562,1.14,(11),511.185,(4),none
5,716.47,(11),61.7293,191.187,1.794,(5),307.261,(8),none
6,223.29,(4),110.575,181.404,0.818,(13),624.764,(3),none
7,632.8,(9),65.6837,178.046,2.412,(2),227.494,(12),none
8,766.42,(12),59.6839,169.612,2.07,(4),235.55,(11),none
9,685.96,(10),63.0872,152.901,1.549,(8),298.692,(9),none
10,207.97,(3),114.575,142.541,0.793,(15),496.946,(6),none
11,866.0,(13),56.1477,124.811,3.438,(0),114.751,(16),none
12,952.08,(14),53.5493,100.5,1.632,(7),179.063,(13),none
13,1261.4,(16),46.5226,95.9116,2.28,(3),126.091,(15),none
14,1110.6,(15),49.5806,92.5293,1.79,(6),150.919,(14),none
15,117.22,(2),152.612,92.0368,0.562,(16),498.995,(5),none
16,357.02,(6),87.4469,88.5561,0.999,(12),247.597,(10),none
17,1567.3,(17),41.7364,86.9526,2.44,(1),100.581,(17),none
