Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,71.1,(27),201.111,5333.57,5.5233,(41),6480.08,(1),['66-Dy-164_n-tot']
1,5.44,(5),727.06,4053.13,2.83035,(65),14534.8,(0),['66-Dy-164_n-tot']
2,866.082,(80),57.6223,2678.95,15.002,(21),740.233,(15),['66-Dy-164_n-tot']
3,632.841,(71),67.4097,2392.89,13.669,(23),910.542,(8),['66-Dy-164_n-tot']
4,269.36,(54),103.324,2369.57,8.017,(29),1697.13,(5),['66-Dy-164_n-tot']
5,736.442,(77),62.4886,1632.58,11.227,(26),673.332,(17),['66-Dy-162_n-tot']
6,10.45,(7),524.58,1627.42,3.488,(61),6058.01,(2),['66-Dy-162_n-tot']
7,20.47,(11),374.81,1521.27,4.1201,(52),4524.54,(3),['66-Dy-162_n-tot']
8,703.631,(74),63.9289,1162.76,11.247,(25),579.73,(19),['66-Dy-162_n-tot']
9,85.6064,(30),183.281,1146.15,3.9513,(56),1819.89,(4),['66-Dy-162_n-tot']
10,2796.89,(98),32.0651,1132.17,66.21,(2),212.641,(53),['66-Dy-164_n-tot']
11,766.451,(78),61.253,1078.95,9.071,(27),578.908,(20),['66-Dy-164_n-tot']
12,679.543,(72),65.0521,1018.77,7.61,(31),548.769,(21),['66-Dy-162_n-tot']
13,341.216,(58),91.8026,982.149,3.857,(57),890.345,(9),['66-Dy-162_n-tot']
14,3799.09,(102),27.5125,916.345,74.31,(1),156.158,(72),['66-Dy-164_n-tot']
15,716.493,(75),63.3525,836.9,6.192,(36),497.004,(23),['66-Dy-164_n-tot']
16,4115.21,(105),26.4347,815.164,59.83,(6),140.146,(79),['66-Dy-164_n-tot']
17,1431.65,(88),44.8179,803.219,15.57,(20),357.422,(35),['66-Dy-164_n-tot']
18,3554.61,(101),28.4429,802.344,65.71,(3),156.174,(71),['66-Dy-164_n-tot']
19,1936.25,(93),38.538,766.006,13.27,(24),212.501,(54),['66-Dy-164_n-tot']
20,1261.48,(86),47.7452,763.191,25.18,(10),311.75,(37),['66-Dy-164_n-tot']
21,379.313,(61),87.0705,721.292,8.211,(28),637.264,(18),['66-Dy-162_n-tot']
22,4452.55,(106),25.4136,697.977,109.05,(0),115.924,(91),['66-Dy-164_n-tot']
23,685.977,(73),64.7463,679.805,7.201,(33),442.153,(28),['66-Dy-164_n-tot']
24,1861.72,(92),39.3018,676.854,20.04,(16),222.108,(52),['66-Dy-162_n-tot']
25,1085.97,(83),51.4589,667.371,21.92,(14),302.202,(38),['66-Dy-162_n-tot']
26,529.83,(69),73.6718,554.26,5.655,(40),445.556,(27),['66-Dy-164_n-tot']
27,398.842,(64),84.912,512.329,4.846,(44),468.244,(25),['66-Dy-162_n-tot']
28,2240.99,(94),35.822,499.658,38.6,(8),167.501,(65),['66-Dy-164_n-tot']
