Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,51.5544,(8),236.177,636.511,0.4403,(108),4203.89,(2),['67-Ho-165_n-tot']
1,93.6348,(15),175.247,596.48,0.5624,(100),3090.75,(3),['67-Ho-165_n-tot']
2,12.69,(2),476.035,517.025,0.2232,(115),7185.23,(0),['67-Ho-165_n-tot']
3,119.98,(19),154.816,460.158,0.651,(94),2048.59,(6),['67-Ho-165_n-tot']
4,339.47,(50),92.0384,415.932,1.069,(53),1109.17,(15),['67-Ho-165_n-tot']
5,254.648,(36),106.267,371.932,0.934,(67),1142.33,(13),['67-Ho-165_n-tot']
6,47.8,(7),245.276,351.857,0.415,(110),2449.28,(5),['67-Ho-165_n-tot']
7,39.67,(6),269.239,334.708,0.3794,(111),2512.52,(4),['67-Ho-165_n-tot']
8,405.27,(59),84.236,331.672,1.174,(46),819.151,(20),['67-Ho-165_n-tot']
9,202.243,(29),119.243,324.288,0.802,(85),1133.94,(14),['67-Ho-165_n-tot']
10,205.103,(30),118.409,315.954,0.777,(87),1209.02,(11),['67-Ho-165_n-tot']
11,430.495,(63),81.7308,315.087,1.272,(34),731.809,(24),['67-Ho-165_n-tot']
12,230.226,(33),111.762,314.907,0.88,(73),1011.71,(17),['67-Ho-165_n-tot']
13,3.914,(0),857.155,313.528,0.14972,(117),6654.47,(1),['67-Ho-165_n-tot']
14,351.93,(53),90.3944,286.316,1.019,(59),833.841,(19),['67-Ho-165_n-tot']
15,300.026,(44),97.9017,264.85,0.949,(64),807.542,(22),['67-Ho-165_n-tot']
16,644.245,(86),66.8104,263.883,1.371,(26),594.487,(26),['67-Ho-165_n-tot']
17,126.905,(21),150.533,250.951,0.632,(96),1172.15,(12),['67-Ho-165_n-tot']
18,85.8038,(14),183.07,249.835,0.5084,(103),1466.0,(7),['67-Ho-165_n-tot']
19,1206.08,(116),48.8294,246.226,1.99,(0),380.195,(39),['67-Ho-165_n-tot']
20,590.337,(83),69.7943,245.936,1.31,(32),565.414,(30),['67-Ho-165_n-tot']
21,124.923,(20),151.722,229.571,0.614,(97),1065.98,(16),['67-Ho-165_n-tot']
22,65.153,(10),210.089,229.288,0.4526,(107),1454.19,(8),['67-Ho-165_n-tot']
23,71.933,(11),199.943,229.094,0.4714,(106),1392.56,(9),['67-Ho-165_n-tot']
24,511.144,(70),75.0064,201.247,1.241,(38),496.623,(31),['67-Ho-165_n-tot']
25,1072.06,(107),51.7917,195.038,1.84,(3),315.283,(49),['67-Ho-165_n-tot']
26,384.606,(57),86.4693,193.823,1.006,(60),589.783,(28),['67-Ho-165_n-tot']
27,214.815,(31),115.701,193.517,0.795,(86),702.761,(25),['67-Ho-165_n-tot']
28,151.224,(23),137.898,189.224,0.651,(95),860.279,(18),['67-Ho-165_n-tot']
29,450.935,(67),79.857,165.99,1.183,(44),403.189,(36),['67-Ho-165_n-tot']
30,374.823,(56),87.5904,158.114,1.057,(57),429.247,(35),['67-Ho-165_n-tot']
31,515.124,(71),74.716,157.739,1.227,(43),375.066,(40),['67-Ho-165_n-tot']
32,35.33,(5),285.297,155.091,0.3466,(112),1268.09,(10),['67-Ho-165_n-tot']
33,341.835,(51),91.7195,149.291,0.944,(65),484.738,(32),['67-Ho-165_n-tot']
34,584.632,(82),70.134,142.124,1.26,(37),342.8,(46),['67-Ho-165_n-tot']
35,102.033,(16),167.88,141.318,0.523,(102),811.022,(21),['67-Ho-165_n-tot']
36,323.927,(47),94.2207,136.538,0.927,(70),434.762,(34),['67-Ho-165_n-tot']
37,710.13,(90),63.6357,134.984,1.344,(29),330.763,(48),['67-Ho-165_n-tot']
38,181.035,(26),126.034,133.27,0.709,(91),574.394,(29),['67-Ho-165_n-tot']
39,723.03,(91),63.0655,128.999,1.472,(20),253.249,(57),['67-Ho-165_n-tot']
40,83.8025,(12),185.243,127.48,0.4847,(105),770.515,(23),['67-Ho-165_n-tot']
41,1162.06,(113),49.7457,126.762,1.83,(4),202.61,(66),['67-Ho-165_n-tot']
42,1168.08,(114),49.6173,123.301,1.85,(1),199.422,(67),['67-Ho-165_n-tot']
43,331.704,(48),93.1096,120.556,1.754,(6),193.631,(71),['67-Ho-165_n-tot']
44,332.53,(49),92.9939,120.556,1.754,(7),186.901,(77),['67-Ho-165_n-tot']
45,128.466,(22),149.615,117.896,0.598,(98),592.77,(27),['67-Ho-165_n-tot']
46,868.156,(98),57.5534,114.439,1.508,(17),230.653,(61),['67-Ho-165_n-tot']
47,239.617,(35),109.55,110.051,0.84,(81),371.021,(41),['67-Ho-165_n-tot']
48,528.517,(73),73.7633,109.683,1.236,(39),271.997,(54),['67-Ho-165_n-tot']
49,679.948,(88),65.0327,107.641,1.321,(30),250.704,(58),['67-Ho-165_n-tot']
50,1218.11,(117),48.5877,107.501,1.85,(2),176.749,(80),['67-Ho-165_n-tot']
51,776.625,(93),60.8505,106.668,1.424,(22),229.273,(62),['67-Ho-165_n-tot']
52,495.123,(69),76.2102,105.703,1.146,(49),278.209,(53),['67-Ho-165_n-tot']
53,350.186,(52),90.6192,105.292,0.932,(68),369.423,(42),['67-Ho-165_n-tot']
54,979.165,(103),54.1928,102.565,1.639,(12),189.026,(75),['67-Ho-165_n-tot']
55,416.531,(61),83.0895,99.8539,1.034,(58),303.404,(51),['67-Ho-165_n-tot']
56,117.996,(18),156.112,99.6914,0.594,(99),478.064,(33),['67-Ho-165_n-tot']
57,261.114,(37),104.943,95.9347,0.815,(83),356.045,(44),['67-Ho-165_n-tot']
58,220.637,(32),114.164,94.7892,0.752,(88),382.716,(38),['67-Ho-165_n-tot']
59,555.114,(77),71.9745,94.5422,1.26,(36),224.225,(63),['67-Ho-165_n-tot']
