Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,594.865,(11),69.5281,1505.73,1.746,(55),2503.94,(2),none
1,73.7944,(1),197.405,1306.88,0.5238,(71),6848.42,(0),none
2,849.033,(16),58.1979,1303.08,2.082,(47),1875.89,(5),none
3,315.984,(6),95.3975,1251.33,1.111,(65),3322.5,(1),none
4,301.15,(5),97.7188,930.239,1.044,(67),2479.15,(3),none
5,1367.39,(25),45.8589,838.681,2.41,(37),1054.0,(8),none
6,905.049,(17),56.3681,693.301,1.769,(53),1164.71,(7),none
7,2829.79,(49),31.8781,658.213,3.59,(4),555.611,(15),none
8,388.469,(8),86.0382,625.143,1.083,(66),1695.24,(6),none
9,1183.79,(22),49.287,611.322,2.03,(49),875.176,(11),none
10,1502.4,(27),43.7499,555.739,2.3,(40),707.015,(12),none
11,2656.55,(46),32.9011,517.302,3.15,(20),506.379,(18),none
12,1846.52,(34),39.4632,475.91,2.56,(33),530.448,(16),none
13,2736.17,(47),32.4189,472.027,3.26,(16),407.26,(23),none
14,2569.12,(45),33.4563,469.326,3.02,(23),468.14,(20),none
15,2129.04,(37),36.7517,449.137,2.67,(31),498.877,(19),none
16,3851.65,(63),27.3241,434.97,3.76,(3),358.675,(30),none
17,2785.66,(48),32.1296,427.645,3.17,(18),386.084,(24),none
18,2401.51,(42),34.6041,399.045,2.81,(28),422.294,(21),none
19,3519.58,(58),28.5841,381.091,3.55,(6),311.029,(35),none
20,4985.79,(73),24.0161,371.218,4.29,(0),264.682,(39),none
21,1171.05,(21),49.5544,371.131,1.88,(50),556.697,(14),none
22,4902.46,(71),24.2194,366.872,4.23,(1),261.435,(41),none
23,2476.33,(43),34.0773,358.903,2.79,(29),382.31,(25),none
24,3378.86,(56),29.1732,342.246,3.34,(14),304.251,(36),none
25,4936.7,(72),24.1352,333.508,4.16,(2),242.408,(44),none
26,1025.15,(18),52.9634,331.514,1.69,(58),572.787,(13),none
27,352.253,(7),90.353,325.371,0.974,(68),979.888,(10),none
28,3841.62,(62),27.3598,297.345,3.57,(5),231.444,(47),none
29,3755.24,(61),27.6727,286.48,3.45,(10),244.81,(43),none
30,2121.64,(36),36.8158,283.949,2.46,(34),335.32,(33),none
31,1785.81,(31),40.1284,279.612,2.27,(41),359.264,(29),none
32,3541.22,(59),28.4966,273.888,3.26,(17),257.174,(42),none
33,1556.3,(28),42.9856,266.473,2.11,(45),366.746,(28),none
34,3351.59,(55),29.2917,246.84,3.14,(21),233.252,(46),none
35,2890.27,(50),31.5428,244.395,2.83,(27),264.179,(40),none
36,3415.59,(57),29.016,240.149,3.16,(19),228.595,(48),none
37,3982.32,(65),26.8721,236.12,3.38,(13),215.34,(51),none
38,2245.53,(40),35.7858,221.579,2.43,(36),277.951,(38),none
39,1056.86,(19),52.1628,221.275,1.72,(56),366.978,(27),none
40,2514.12,(44),33.8202,208.873,2.66,(32),227.971,(49),none
41,794.527,(15),60.1611,201.256,1.426,(59),413.05,(22),none
42,1259.57,(23),47.7814,196.034,1.82,(52),315.827,(34),none
43,3215.04,(52),29.9073,194.77,3.01,(24),189.858,(52),none
44,3340.92,(54),29.3384,174.913,3.07,(22),160.915,(60),none
45,1757.88,(30),40.446,169.261,2.2,(43),218.811,(50),none
46,747.323,(13),62.032,168.044,1.405,(60),342.285,(32),none
47,4349.27,(69),25.7135,165.024,3.52,(7),140.744,(67),none
48,4169.59,(67),26.2617,164.313,3.39,(12),147.706,(63),none
49,3280.82,(53),29.6059,163.689,3.01,(25),159.398,(61),none
50,4306.31,(68),25.8415,159.765,3.44,(11),141.108,(66),none
51,4152.94,(66),26.3143,157.746,3.47,(9),131.341,(69),none
52,535.329,(10),73.2925,155.981,1.218,(63),357.63,(31),none
53,2269.65,(41),35.5951,154.165,2.46,(35),186.106,(53),none
54,243.598,(4),108.651,147.931,0.814,(69),520.658,(17),none
55,15.55,(0),430.036,147.524,0.2274,(73),2092.74,(4),none
56,509.049,(9),75.1605,145.3,1.125,(64),379.913,(26),none
57,3895.29,(64),27.1706,145.13,3.27,(15),136.097,(68),none
58,2197.58,(39),36.1741,140.363,2.33,(38),183.168,(54),none
59,81.7486,(2),187.555,140.182,0.4478,(72),980.744,(9),none
60,2174.58,(38),36.3649,138.358,2.32,(39),181.63,(55),none
61,4652.85,(70),24.8605,133.717,3.52,(8),115.869,(71),none
62,1640.56,(29),41.8672,128.903,2.08,(48),180.556,(57),none
63,1809.67,(32),39.863,127.641,2.14,(44),176.509,(58),none
64,1940.32,(35),38.4975,126.667,2.24,(42),165.411,(59),none
65,2931.98,(51),31.3177,121.512,2.68,(30),143.497,(64),none
66,1137.24,(20),50.2856,106.294,1.7,(57),180.714,(56),none
67,3601.07,(60),28.2588,100.809,2.97,(26),106.581,(73),none
68,642.235,(12),66.9149,96.5197,1.248,(62),233.421,(45),none
69,1468.68,(26),44.2493,88.0491,1.88,(51),141.407,(65),none
70,1831.95,(33),39.6199,79.7958,2.09,(46),114.817,(72),none
71,772.834,(14),60.9995,71.5737,1.358,(61),157.521,(62),none
72,1339.74,(24),46.3297,68.9428,1.76,(54),117.675,(70),none
73,154.162,(3),136.578,61.3688,0.624,(70),295.572,(37),none
