Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,0.531508,(1),2326.03,15564.0,5.06982,(86),5164.4,(0),none
1,2.46875,(2),1079.27,3597.33,4.91029,(91),23.7502,(27),none
2,22.8497,(7),354.756,1358.84,3.5057,(130),17.261,(36),none
3,17.1875,(5),409.038,1234.26,10.0878,(23),6.90051,(207),none
4,7.61321,(3),614.59,1107.34,1.5338,(206),64.5921,(5),none
5,58.2537,(15),222.182,656.835,5.3947,(79),13.3536,(57),none
6,31.5055,(9),302.118,534.102,4.7294,(97),22.5297,(29),none
7,27.0479,(8),326.064,531.255,0.659,(257),462.914,(1),none
8,140.509,(32),143.06,479.954,9.267,(28),7.10241,(198),none
9,51.4215,(14),236.482,391.315,2.6064,(155),14.4808,(49),none
10,0.103125,(0),5280.65,384.954,0.350752,(265),452.389,(2),none
11,610.331,(124),68.6415,338.148,19.861,(1),7.41557,(185),none
12,911.479,(161),56.169,321.12,14.637,(6),5.62523,(251),none
13,494.654,(105),76.2463,305.945,9.563,(24),4.72475,(264),none
14,8.32793,(4),587.626,262.56,1.0792,(240),51.6731,(6),none
15,104.12,(27),166.189,258.316,8.3012,(36),5.74501,(247),none
16,35.908,(10),282.992,248.218,3.9598,(115),13.3926,(55),none
17,341.142,(72),91.8126,209.83,6.346,(65),6.00653,(237),none
18,1673.29,(264),41.4557,198.388,12.9,(9),8.57477,(128),none
19,770.116,(142),61.1071,193.095,12.9,(10),2.43992,(267),none
20,97.9702,(26),171.326,192.023,9.0527,(30),16.259,(42),none
21,47.6559,(13),245.647,180.849,7.0473,(53),8.07303,(155),none
22,255.14,(56),106.165,178.255,7.295,(49),5.86345,(243),none
23,175.36,(41),128.057,161.41,6.889,(56),8.41027,(135),none
24,193.671,(45),121.853,150.093,3.307,(136),10.0274,(90),none
25,478.099,(103),77.5552,149.777,4.717,(98),5.63856,(250),none
26,1033.59,(181),52.7467,144.071,10.24,(21),11.5982,(72),none
27,981.461,(174),54.1294,142.38,8.727,(33),5.30521,(257),none
28,1011.34,(178),53.3238,139.508,12.04,(13),7.73911,(172),none
29,287.628,(61),99.9894,137.305,4.705,(99),12.3288,(64),none
30,203.129,(46),118.983,137.063,6.588,(61),8.54674,(130),none
31,111.986,(28),160.246,130.179,4.214,(108),8.95267,(116),none
32,1396.96,(230),45.3709,129.928,7.89,(37),7.90558,(162),none
33,128.918,(31),149.353,123.217,2.248,(165),7.53727,(179),none
34,664.058,(129),65.8062,123.075,10.961,(20),7.79297,(169),none
35,587.742,(123),69.9482,120.246,6.824,(58),6.76722,(211),none
36,569.03,(120),71.089,117.172,6.422,(64),7.30841,(190),none
37,483.427,(104),77.1266,115.539,2.995,(142),14.4803,(50),none
38,261.901,(57),104.785,113.755,3.601,(123),9.0698,(110),none
39,454.087,(99),79.5793,112.454,7.166,(52),6.42011,(224),none
40,783.185,(144),60.5951,111.802,5.712,(75),14.1125,(51),none
41,272.6,(58),102.709,110.727,9.476,(26),5.10473,(258),none
42,38.5792,(11),273.019,108.891,1.2229,(229),24.7658,(23),none
43,504.251,(107),75.5173,108.306,5.023,(87),9.42275,(101),none
44,277.516,(59),101.795,106.428,3.814,(120),4.6755,(265),none
45,1550.19,(251),43.0702,104.658,5.01,(88),9.15775,(106),none
46,281.213,(60),101.123,102.714,1.246,(228),38.7271,(11),none
47,183.182,(43),125.293,102.634,4.847,(93),8.00985,(156),none
48,706.785,(132),63.7861,102.481,13.264,(8),5.83341,(244),none
49,470.692,(102),78.163,102.043,4.925,(90),6.12918,(232),none
50,41.2294,(12),264.099,101.886,2.1079,(168),15.1191,(44),none
51,892.801,(160),56.7535,100.628,4.93,(89),5.45238,(255),none
52,215.762,(48),115.447,98.6828,5.829,(73),7.80084,(168),none
53,189.37,(44),123.229,97.6642,5.202,(83),6.46547,(221),none
54,881.402,(157),57.1193,97.142,15.495,(3),5.75974,(246),none
55,21.3385,(6),367.103,96.4773,1.2812,(225),19.6215,(32),none
56,333.645,(71),92.8384,96.4393,1.985,(175),11.4992,(74),none
57,836.018,(153),58.6492,96.1012,11.532,(16),6.6463,(216),none
58,1348.09,(225),46.186,95.7815,11.44,(18),7.1865,(195),none
59,628.169,(125),67.6599,94.944,14.699,(5),7.20409,(194),none
60,366.992,(78),88.52,94.7882,2.953,(144),11.8622,(70),none
61,361.238,(77),89.2222,91.2855,3.846,(119),5.77774,(245),none
62,1535.84,(249),43.271,88.7003,7.37,(43),4.8323,(262),none
63,675.921,(130),65.2262,87.9507,9.49,(25),7.01472,(201),none
64,1217.08,(201),48.6083,87.7576,9.47,(27),5.49197,(252),none
65,540.382,(115),72.949,85.9241,7.001,(55),8.40375,(136),none
66,524.863,(112),74.0196,85.0803,3.994,(112),6.0204,(235),none
67,67.9705,(18),205.688,83.4248,5.6903,(76),9.48646,(99),none
68,862.884,(156),57.7289,80.8603,7.343,(45),6.90979,(206),none
69,61.2303,(16),216.714,78.1539,1.3695,(218),20.2022,(30),none
70,1384.76,(229),45.5704,76.4584,5.84,(72),5.96612,(238),none
71,325.258,(68),94.0277,76.3991,6.061,(69),5.06463,(259),none
72,1088.92,(186),51.3892,74.122,14.04,(7),8.24307,(143),none
73,207.479,(47),117.729,74.1157,4.438,(103),6.68827,(214),none
74,154.748,(35),136.319,73.784,3.392,(133),4.79132,(263),none
75,245.776,(54),108.168,71.9635,7.197,(50),6.32821,(228),none
76,406.462,(88),84.1123,71.7411,6.502,(62),7.74975,(171),none
77,226.332,(50),112.719,69.5021,3.937,(116),5.68002,(249),none
78,92.9198,(24),175.92,69.0575,2.6342,(153),6.91382,(204),none
79,850.513,(154),58.1473,67.6129,11.441,(17),6.3464,(227),none
80,1561.69,(252),42.9114,67.3293,7.52,(42),10.8476,(81),none
81,163.951,(38),132.438,66.0082,1.791,(186),10.4544,(85),none
82,167.676,(40),130.959,65.6363,0.737,(250),44.2918,(8),none
83,797.998,(146),60.0301,65.2698,6.694,(59),7.81496,(167),none
84,1514.53,(246),43.5743,62.2088,6.2,(67),6.06555,(234),none
85,691.219,(131),64.5003,62.0184,12.664,(11),7.25645,(191),none
86,646.932,(127),66.6715,61.9535,9.241,(29),7.3825,(186),none
87,345.234,(73),91.2668,61.5052,1.693,(194),16.8463,(41),none
88,561.152,(119),71.5862,61.1872,3.974,(114),8.96464,(115),none
89,548.558,(116),72.4033,60.8155,5.819,(74),7.86193,(163),none
90,928.077,(163),55.6644,60.8012,8.752,(32),6.81389,(209),none
91,774.464,(143),60.9353,60.7012,1.459,(212),33.7837,(15),none
92,634.444,(126),67.3245,58.889,4.73,(96),6.68013,(215),none
93,84.1965,(22),184.809,58.165,5.1301,(84),7.55917,(178),none
94,348.297,(74),90.8646,58.1504,1.718,(192),13.0076,(58),none
95,1121.42,(190),50.6391,57.0589,5.9,(71),7.24493,(192),none
96,1281.95,(215),47.3625,56.6482,1.95,(176),17.4455,(35),none
97,1453.94,(238),44.473,56.5803,10.18,(22),7.46064,(183),none
98,72.5646,(19),199.071,56.3052,3.9924,(113),8.24636,(142),none
99,573.996,(121),70.7808,56.2171,2.125,(167),13.3881,(56),none
100,1468.54,(240),44.2514,55.4008,5.24,(81),7.17021,(196),none
101,1542.09,(250),43.1832,55.3364,2.76,(150),14.7525,(47),none
102,233.916,(52),110.877,52.9701,3.924,(117),6.69872,(212),none
103,1156.73,(194),49.8602,52.8953,11.78,(14),6.91262,(205),none
104,735.304,(137),62.5369,51.965,5.219,(82),8.33043,(139),none
105,1479.67,(241),44.0846,51.3491,7.31,(48),8.35464,(138),none
106,1604.66,(257),42.3329,51.2106,12.2,(12),9.06343,(111),none
107,354.277,(75),90.0945,50.8944,4.127,(110),9.89833,(93),none
108,427.234,(93),82.0421,50.05,4.43,(104),6.37875,(226),none
109,989.865,(175),53.8991,47.5165,4.609,(101),9.92745,(92),none
110,149.333,(33),138.769,47.3238,6.611,(60),5.88644,(242),none
111,1650.47,(262),41.7413,46.6162,7.33,(46),8.7216,(123),none
112,720.973,(134),63.1554,46.4476,8.547,(35),5.49175,(253),none
113,392.397,(85),85.6065,46.1552,4.165,(109),9.59856,(97),none
114,1505.53,(245),43.7044,46.0094,8.64,(34),6.83542,(208),none
115,77.5241,(21),192.598,45.2842,2.617,(154),8.64043,(127),none
116,1312.71,(220),46.8043,44.2491,7.78,(39),8.92594,(117),none
117,1655.32,(263),41.6801,44.0059,2.85,(147),7.32886,(189),none
118,165.893,(39),131.661,43.7702,0.725,(253),38.4319,(12),none
119,160.832,(37),133.716,43.4618,1.693,(195),9.29549,(104),none
120,1619.58,(259),42.1375,41.9596,7.35,(44),9.06198,(112),none
