Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,10.6667,(1),505.913,3398.0,9.69014,(58),2.85363,(22),none
1,0.875,(0),1766.39,2069.07,3.6045,(133),26.2733,(6),none
2,76.9385,(11),188.373,419.057,16.0492,(25),0.416473,(85),none
3,87.4508,(12),176.689,294.874,9.7269,(57),0.666844,(63),none
4,143.187,(20),138.083,278.113,15.67,(27),0.36752,(93),none
5,16.0624,(2),412.274,238.042,2.5462,(162),6.39955,(14),none
6,54.2976,(8),224.233,232.444,7.5384,(75),0.963213,(44),none
7,295.751,(37),96.0788,197.192,6.908,(79),56.5977,(2),none
8,257.483,(32),102.971,181.655,6.822,(80),2.07111,(27),none
9,120.242,(17),150.682,156.793,8.359,(66),0.664513,(64),none
10,25.5328,(3),326.995,155.31,10.6816,(47),0.551645,(72),none
11,305.381,(38),94.5518,137.998,19.936,(8),0.215659,(120),none
12,47.5804,(7),239.539,137.563,4.9441,(110),1.21634,(38),none
13,30.4873,(4),299.248,126.689,5.1469,(107),0.857773,(49),none
14,184.183,(23),121.749,125.383,41.27,(1),0.076522,(165),none
15,244.551,(30),105.659,121.122,5.549,(100),2.5343,(24),none
16,431.773,(51),79.5175,115.367,21.975,(5),0.211784,(121),none
17,410.669,(49),81.5351,111.22,3.98,(126),6.29853,(15),none
18,63.6443,(10),207.115,92.6289,1.9484,(174),7.46276,(12),none
19,277.096,(34),99.2603,91.5202,7.939,(71),0.621444,(68),none
20,339.83,(41),89.6313,91.4128,11.351,(41),0.318296,(104),none
21,61.5228,(9),210.655,88.4616,3.0715,(154),2.96089,(21),none
22,401.016,(48),82.5106,85.0789,6.216,(87),1.17336,(39),none
23,40.5859,(6),259.36,79.9043,6.4313,(82),0.713471,(57),none
24,36.6858,(5),272.798,77.4506,2.0715,(173),3.07571,(19),none
25,158.51,(21),131.239,74.4513,5.777,(96),0.790961,(53),none
26,568.227,(63),69.3154,69.4628,5.711,(98),1.14289,(40),none
27,285.274,(35),97.8272,68.6418,3.554,(135),2.46345,(26),none
28,219.05,(26),111.64,67.5708,8.077,(68),0.413571,(86),none
29,559.397,(62),69.8603,65.266,6.283,(85),0.88781,(47),none
30,267.29,(33),101.065,62.9307,11.699,(39),0.457873,(82),none
31,1370.86,(145),44.6266,59.0975,16.84,(23),0.266022,(113),none
32,351.069,(42),88.1849,54.2,9.06,(63),0.329899,(101),none
33,533.851,(59),71.5123,53.4262,20.576,(7),0.112386,(152),none
34,327.288,(40),91.3326,53.4083,6.471,(81),0.644529,(65),none
35,1722.38,(174),39.8131,52.4171,21.92,(6),0.127277,(146),none
36,292.6,(36),96.5948,51.9753,5.835,(95),0.802745,(52),none
37,614.074,(69),66.6777,47.4825,14.914,(29),0.151786,(142),none
38,322.376,(39),92.0257,46.9848,3.302,(145),1.75701,(30),none
39,382.564,(46),84.477,46.5556,9.851,(53),0.335602,(98),none
40,132.79,(19),143.386,46.031,2.729,(158),1.38913,(34),none
41,514.184,(58),72.8671,45.8382,4.692,(116),1.24624,(37),none
42,673.945,(75),63.6471,45.784,2.184,(170),7.26872,(13),none
43,682.656,(76),63.2397,44.7397,6.335,(83),0.703798,(59),none
44,1486.91,(156),42.8498,43.5276,29.43,(2),0.0458316,(185),none
45,129.498,(18),145.198,42.3882,5.754,(97),0.582409,(71),none
46,231.092,(28),108.692,42.2718,9.368,(59),0.380684,(90),none
47,497.548,(57),74.0753,40.716,16.932,(22),0.0904422,(156),none
48,1334.19,(143),45.2358,39.7483,25.97,(3),0.0731257,(168),none
49,594.129,(67),67.7876,38.7121,4.698,(115),0.888352,(46),none
50,602.765,(68),67.3002,38.4738,5.916,(94),0.502643,(77),none
51,1918.21,(187),37.7262,37.8512,11.93,(38),9.86643,(10),none
52,106.076,(15),160.429,37.6586,11.213,(43),0.31399,(105),none
53,94.9548,(13),169.563,37.5998,0.59,(186),29.272,(5),none
54,449.569,(52),77.9278,36.1696,12.67,(35),0.122926,(147),none
55,210.535,(25),113.875,36.0601,2.959,(157),1.35449,(35),none
56,551.358,(61),70.3678,35.989,4.925,(111),0.672809,(62),none
57,835.014,(93),57.18,35.7337,5.485,(101),0.600525,(70),none
58,998.391,(109),52.2926,35.002,5.187,(105),0.894889,(45),none
59,919.188,(101),54.499,34.9459,19.562,(9),0.0568066,(176),none
60,1296.32,(140),45.8917,33.5345,11.48,(40),0.16364,(140),none
61,1754.66,(175),39.4452,33.0696,16.96,(21),0.112748,(151),none
62,720.702,(81),61.5478,32.94,6.246,(86),0.499407,(78),none
63,1208.54,(132),47.5292,30.9934,10.57,(48),0.197627,(127),none
64,1613.38,(165),41.136,30.8178,16.62,(24),0.088543,(159),none
65,395.625,(47),83.0709,30.7164,7.536,(76),0.546624,(73),none
66,1008.9,(111),52.0196,30.5447,3.36,(143),1.99064,(29),none
67,1019.57,(112),51.7466,30.4923,8.05,(69),0.313549,(106),none
68,971.804,(106),53.0031,30.3812,17.635,(18),0.116466,(150),none
69,1192.26,(130),47.8526,29.8125,5.05,(108),0.722502,(56),none
70,627.189,(70),65.9768,29.6816,4.008,(125),0.69935,(60),none
71,648.065,(72),64.9055,29.3507,13.615,(32),0.131156,(145),none
72,240.579,(29),106.528,28.9064,3.56,(134),1.34079,(36),none
73,588.704,(66),68.0992,28.8182,3.779,(130),1.67,(32),none
74,1440.47,(152),43.535,28.333,15.24,(28),0.143206,(143),none
75,845.377,(94),56.8284,28.1979,5.583,(99),0.498771,(79),none
76,636.078,(71),65.5142,27.5033,8.853,(65),0.178293,(136),none
77,1355.29,(144),44.8822,27.0304,4.76,(114),1.06649,(42),none
78,815.681,(91),57.8536,26.7006,17.019,(20),0.0672245,(172),none
79,1384.32,(146),44.4091,26.3705,3.83,(129),2.00555,(28),none
80,1686.23,(171),40.2376,25.4957,14.04,(31),0.0872583,(160),none
81,1398.8,(147),44.1787,25.3553,11.25,(42),0.236722,(117),none
82,1547.84,(161),41.9979,23.7463,12.36,(36),0.0830791,(161),none
83,989.988,(108),52.5141,23.5989,6.18,(88),0.382599,(89),none
84,1407.73,(148),44.0383,22.2733,10.48,(50),0.209335,(122),none
85,1036.91,(114),51.3121,22.0259,3.44,(141),0.738903,(55),none
86,1642.68,(167),40.7675,21.728,19.45,(11),0.0401531,(188),none
87,462.304,(54),76.847,21.1989,5.989,(92),0.191526,(130),none
88,575.66,(64),68.8664,21.1852,3.203,(151),1.00989,(43),none
89,1424.38,(150),43.7802,20.1435,3.86,(128),1.08952,(41),none
90,1178.38,(129),48.1336,19.0864,9.8,(55),0.121693,(148),none
91,1566.72,(162),41.7441,18.8308,12.05,(37),0.0684649,(171),none
92,934.407,(102),54.0534,18.8169,3.522,(138),0.52618,(75),none
93,99.7861,(14),165.408,18.7907,5.0359,(109),0.713324,(58),none
94,1807.74,(179),38.8618,18.7116,10.14,(52),0.0964665,(154),none
95,734.233,(83),60.9781,18.5783,4.611,(118),0.387172,(88),none
96,1027.64,(113),51.5431,18.4971,8.03,(70),0.19496,(129),none
97,1770.58,(176),39.2675,18.4384,19.3,(12),0.0493271,(181),none
98,361.322,(43),86.9248,18.1081,4.633,(117),0.369205,(92),none
99,368.055,(44),86.126,17.956,10.957,(45),0.16415,(139),none
100,1089.52,(121),50.058,17.8949,6.09,(89),0.196925,(128),none
101,579.21,(65),68.6551,17.6173,5.16,(106),0.780457,(54),none
102,669.15,(74),63.8747,17.548,2.097,(172),2.48669,(25),none
103,1900.0,(186),37.9065,17.4359,18.02,(16),0.0562931,(177),none
104,1108.65,(122),49.6242,17.2683,15.72,(26),0.0434694,(186),none
105,884.045,(98),55.5717,16.9803,7.045,(78),0.230258,(118),none
106,1312.71,(141),45.6044,16.9088,7.8,(73),0.182933,(133),none
107,225.188,(27),110.108,16.7165,2.654,(159),0.812332,(50),none
108,1927.91,(188),37.6311,16.6769,9.75,(56),0.179771,(135),none
109,544.135,(60),70.8333,16.4821,4.824,(113),0.294732,(110),none
110,942.056,(103),53.8335,16.1567,5.973,(93),0.198492,(126),none
111,773.218,(87),59.421,15.8411,18.555,(14),0.0430075,(187),none
112,1530.31,(160),42.2378,15.7118,17.05,(19),0.0479961,(182),none
113,1580.04,(163),41.5678,15.5538,17.71,(17),0.054746,(178),none
114,868.998,(97),56.0507,15.4097,10.532,(49),0.0981761,(153),none
115,482.519,(56),75.22,15.2006,18.769,(13),0.057158,(175),none
116,662.418,(73),64.1985,15.1999,7.813,(72),0.358246,(94),none
117,828.871,(92),57.3915,14.9575,3.264,(148),0.504335,(76),none
118,161.653,(22),129.957,14.6928,2.444,(165),0.804951,(51),none
119,900.131,(100),55.0729,14.6273,11.169,(44),0.0700846,(170),none
120,1075.99,(119),50.3717,14.4449,12.78,(34),0.0616602,(173),none
121,725.898,(82),61.3272,14.0534,4.918,(112),0.336778,(97),none
122,208.135,(24),114.53,14.0311,0.932,(183),4.41414,(17),none
123,114.452,(16),154.447,13.9954,0.383,(190),44.9654,(3),none
124,468.898,(55),76.3047,13.9549,2.114,(171),0.680687,(61),none
125,1823.49,(180),38.6936,13.8153,13.2,(33),0.0493558,(180),none
126,803.021,(90),58.3079,13.6965,3.642,(132),0.326083,(102),none
127,1453.45,(153),43.3402,13.4983,3.17,(152),0.630735,(67),none
128,1197.93,(131),47.7392,13.4145,1.61,(177),4.30305,(18),none
129,1226.37,(133),47.1824,13.3361,14.6,(30),0.046601,(183),none
130,1626.82,(166),40.9658,13.2284,8.34,(67),0.089141,(158),none
131,1137.89,(126),48.9825,13.0189,9.82,(54),0.0766016,(164),none
132,1937.19,(189),37.5409,12.9858,4.56,(119),0.428586,(84),none
133,689.753,(77),62.9135,12.7029,6.289,(84),0.26423,(114),none
134,707.383,(79),62.1246,12.6094,4.259,(123),0.644203,(66),none
135,1273.44,(137),46.3022,12.3648,3.33,(144),0.405266,(87),none
136,1596.57,(164),41.352,12.2793,2.54,(163),1.57628,(33),none
137,1043.88,(115),51.1406,12.1566,3.49,(139),0.458774,(81),none
138,1703.29,(172),40.0356,12.0489,6.05,(90),0.24497,(115),none
139,1243.38,(134),46.8585,12.0007,24.36,(4),0.0271253,(189),none
140,1464.93,(155),43.17,11.9725,3.95,(127),0.444005,(83),none
141,859.691,(96),56.3533,11.6254,10.782,(46),0.0826753,(162),none
142,1166.0,(128),48.3884,11.4049,18.42,(15),0.0462792,(184),none
143,1795.29,(178),38.9963,11.093,5.3,(103),0.187178,(131),none
144,699.237,(78),62.4854,10.9981,9.229,(62),0.183719,(132),none
145,793.291,(89),58.6644,10.8671,10.429,(51),0.0744293,(166),none
146,1838.2,(181),38.5385,10.7123,9.3,(60),0.0599439,(174),none
147,1788.14,(177),39.0742,10.657,4.37,(120),0.240423,(116),none
148,1671.92,(170),40.4094,10.6406,9.25,(61),0.0713434,(169),none
