Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,11.4585,(1),500.963,55446.4,10.2003,(57),12.5525,(23),['69-Tm-169_n-tot']
1,1944.91,(189),38.4521,39850.0,1556.82,(0),26.1352,(10),['69-Tm-169_n-tot']
2,1.0,(0),1695.78,17629.2,3.81402,(152),31.9987,(9),['69-Tm-169_n-tot']
3,80.7367,(11),188.727,12542.3,16.9623,(22),6.63332,(115),['69-Tm-169_n-tot']
4,258.455,(31),105.482,6256.66,7.826,(77),20.9044,(13),['69-Tm-169_n-tot']
5,244.299,(30),108.495,5540.09,6.762,(94),4.45188,(171),['69-Tm-169_n-tot']
6,147.355,(20),139.697,4691.97,16.698,(23),5.67943,(146),['69-Tm-169_n-tot']
7,27.4865,(3),323.452,3112.78,11.1948,(49),7.6783,(82),['69-Tm-169_n-tot']
8,90.7248,(12),178.036,3087.82,10.4187,(54),5.65607,(148),['69-Tm-169_n-tot']
9,1377.34,(144),45.6929,2410.78,18.97,(17),3.31201,(185),['69-Tm-169_n-tot']
10,56.3157,(8),225.972,2406.58,8.1003,(76),6.09008,(136),['69-Tm-169_n-tot']
11,1733.32,(173),40.7315,2260.12,24.48,(4),2.93773,(188),['69-Tm-169_n-tot']
12,1757.99,(174),40.4447,2106.29,19.3,(15),12.0174,(25),['69-Tm-169_n-tot']
13,121.971,(17),153.547,1940.41,9.106,(67),6.82309,(109),['69-Tm-169_n-tot']
14,437.944,(50),81.0327,1861.95,23.353,(5),7.05652,(104),['69-Tm-169_n-tot']
15,159.21,(21),134.395,1846.61,6.482,(99),9.79311,(40),['69-Tm-169_n-tot']
16,16.168,(2),421.737,1839.46,2.8531,(168),15.4015,(17),['69-Tm-169_n-tot']
17,1500.16,(155),43.7825,1441.4,31.83,(1),6.24958,(125),['69-Tm-169_n-tot']
18,539.814,(58),72.9874,1429.93,22.11,(6),5.43544,(152),['69-Tm-169_n-tot']
19,410.802,(48),83.6669,1333.11,4.894,(127),22.2796,(11),['69-Tm-169_n-tot']
20,343.679,(40),91.4731,1259.86,12.434,(39),7.35558,(95),['69-Tm-169_n-tot']
21,48.4676,(7),243.581,1251.38,5.4242,(118),6.81635,(110),['69-Tm-169_n-tot']
22,979.496,(105),54.1837,1223.68,19.852,(14),4.04025,(179),['69-Tm-169_n-tot']
23,1618.12,(164),42.1565,1221.57,18.71,(18),8.55405,(64),['69-Tm-169_n-tot']
24,63.616,(10),212.611,1173.42,2.3147,(175),16.5751,(16),['69-Tm-169_n-tot']
25,1400.86,(146),45.3077,1164.88,12.96,(37),10.6586,(35),['69-Tm-169_n-tot']
