Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,0.477015,(0),2392.35,55688.3,0.759349,(14),442.031,(1),none
1,18.5959,(10),383.162,13108.1,7.0326,(0),2.59217,(21),none
2,30.6594,(15),298.407,10315.8,5.0933,(1),4.4171,(19),none
3,39.0482,(18),264.417,4012.33,4.1038,(3),3.0751,(20),none
4,26.4548,(14),321.247,3951.46,3.1004,(5),5.99803,(16),none
5,10.7091,(6),504.91,3639.02,2.9694,(6),8.89194,(15),none
6,36.185,(17),274.68,3459.82,3.403,(4),4.90274,(18),none
7,5.45654,(3),707.346,3016.1,4.56147,(2),5.58352,(17),none
8,44.0991,(20),248.815,2941.1,2.0983,(7),12.5797,(13),none
9,42.4958,(19),253.465,1664.88,1.5037,(8),17.5792,(12),none
10,22.6392,(11),347.264,1567.2,1.4069,(10),18.8777,(11),none
11,13.8806,(9),443.493,1321.08,1.0967,(11),40.8162,(7),none
12,13.0482,(8),457.42,599.616,0.8464,(13),41.2036,(6),none
13,1.17367,(1),1525.17,588.193,0.404208,(18),200.556,(3),none
14,24.5277,(13),333.628,431.854,0.9089,(12),19.5346,(10),none
15,1.72,(2),1259.87,420.168,0.7505,(15),72.1437,(5),none
16,33.7166,(16),284.557,346.906,0.2955,(19),438.588,(2),none
17,23.768,(12),338.918,346.376,0.7095,(16),29.0911,(9),none
18,7.60047,(4),599.336,332.684,1.49073,(9),10.2684,(14),none
19,8.81424,(5),556.542,218.886,0.43881,(17),86.9461,(4),none
20,12.4286,(7),468.683,67.3254,0.1337,(20),613.878,(0),none
