Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,39.93,(1),261.482,1573.28,0.5054,(16),8877.93,(0),none
1,72.91,(3),193.507,569.896,0.4799,(17),3389.25,(2),none
2,66.57,(2),202.512,525.515,0.4524,(18),3297.19,(3),none
3,212.8,(6),113.267,335.631,0.895,(11),1044.9,(5),none
4,95.31,(4),169.247,237.644,0.5085,(15),1333.33,(4),none
5,8.13,(0),579.489,222.731,0.1685,(19),4066.69,(1),none
6,286.4,(8),97.6347,202.057,0.886,(12),679.429,(6),none
7,270.0,(7),100.556,192.479,0.865,(13),625.139,(7),none
8,447.9,(12),78.0729,159.373,1.176,(6),374.861,(10),none
9,167.7,(5),127.592,142.189,0.666,(14),597.817,(8),none
10,358.0,(9),87.3271,135.43,0.946,(10),416.99,(9),none
11,384.0,(10),84.3189,124.373,0.993,(8),355.773,(11),none
12,394.0,(11),83.242,118.818,0.982,(9),353.91,(12),none
13,612.1,(14),66.7851,116.824,1.337,(5),247.982,(14),none
14,451.8,(13),77.7352,102.895,1.045,(7),288.457,(13),none
15,761.8,(15),59.8646,94.3539,1.466,(4),181.929,(15),none
16,808.8,(16),58.0992,89.4581,1.509,(2),167.26,(16),none
17,978.4,(18),52.8241,77.3274,1.902,(0),119.042,(18),none
18,1037.1,(19),51.3074,73.1133,1.72,(1),119.008,(19),none
19,868.9,(17),56.0539,67.3189,1.498,(3),124.715,(17),none
