Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,5.37046,(0),731.752,27986.5,7.90548,(64),14.5116,(16),none
1,10.8713,(1),514.315,18019.4,5.1243,(115),12.3595,(28),none
2,155.884,(21),135.822,17197.7,14.495,(11),3.86281,(160),none
3,103.728,(15),166.503,15187.7,11.6456,(25),4.07696,(159),none
4,20.6405,(2),373.258,13437.6,8.6752,(55),8.82141,(68),none
5,74.4212,(11),196.572,12877.9,12.2345,(20),6.06922,(130),none
6,38.7878,(5),272.284,10417.1,6.82,(83),6.54343,(112),none
7,58.55,(9),221.619,9543.49,5.9046,(99),9.3732,(52),none
8,350.387,(45),90.5932,9395.62,9.984,(41),3.3536,(164),none
9,174.021,(23),128.549,9141.77,10.996,(28),7.26697,(96),none
10,300.765,(38),97.7814,8206.46,11.694,(24),6.58845,(111),none
11,137.437,(19),144.65,8203.07,12.297,(19),5.31221,(149),none
12,215.977,(29),115.389,7292.93,6.391,(93),15.6056,(13),none
13,31.9898,(4),299.822,6313.52,6.3998,(92),7.11334,(99),none
14,163.172,(22),132.754,6191.7,4.195,(129),13.0341,(25),none
15,893.293,(102),56.7378,6162.72,20.853,(4),3.03433,(167),none
16,110.353,(16),161.428,6133.94,4.196,(128),17.2049,(10),none
17,45.2238,(6),252.166,4944.66,5.0098,(117),8.67662,(71),none
18,1155.47,(129),49.8873,4796.68,21.65,(3),5.84453,(135),none
19,1129.39,(128),50.4601,4684.36,25.78,(2),6.25705,(125),none
20,1431.81,(150),44.8154,4157.38,39.65,(1),6.75404,(105),none
21,522.93,(63),74.1563,4018.99,8.883,(52),5.41129,(146),none
22,268.418,(34),103.506,3873.38,14.381,(12),6.45667,(114),none
23,62.8122,(10),213.967,3633.38,4.61,(122),8.6323,(72),none
24,1003.33,(114),53.5362,3591.03,14.161,(14),6.26658,(124),none
25,119.455,(17),155.156,3536.0,8.28,(59),7.41301,(93),none
26,49.8881,(7),240.088,3525.74,6.4813,(90),6.53985,(113),none
27,80.7635,(12),188.696,3383.08,5.2874,(110),7.67015,(87),none
28,702.253,(85),63.9916,3381.71,14.286,(13),7.72496,(85),none
29,545.539,(66),72.6034,3378.37,8.207,(61),13.8977,(19),none
30,358.535,(46),89.5579,3338.63,5.09,(116),22.4635,(6),none
31,1494.31,(156),43.8682,3125.66,18.04,(6),10.1183,(40),none
32,125.218,(18),151.543,3033.43,7.4,(74),5.60682,(139),none
33,489.906,(60),76.6149,2944.92,10.675,(32),5.37375,(147),none
34,191.954,(26),122.397,2885.49,11.294,(27),5.73056,(138),none
35,1257.69,(139),47.8171,2828.14,10.98,(29),10.5279,(38),none
36,25.6166,(3),335.05,2748.92,6.4037,(91),7.67241,(86),none
37,797.93,(94),60.0326,2730.65,9.492,(46),6.39583,(116),none
38,94.3231,(14),174.607,2718.95,11.74,(23),5.25481,(150),none
39,247.906,(32),107.703,2686.05,10.185,(38),4.93813,(155),none
40,453.77,(56),79.6071,2556.71,10.378,(35),7.25922,(97),none
41,306.965,(39),96.7888,2532.05,7.794,(66),8.61182,(73),none
42,1331.51,(145),46.4727,2523.96,11.85,(21),8.88595,(64),none
43,1512.9,(157),43.5978,2412.62,17.73,(7),8.84348,(67),none
44,532.985,(65),73.4535,2350.86,7.377,(75),14.2757,(17),none
45,144.159,(20),141.237,2350.11,5.996,(98),6.39435,(117),none
46,253.477,(33),106.512,2296.28,5.196,(112),7.41546,(92),none
47,442.57,(55),80.6081,2283.68,8.096,(62),5.46795,(142),none
48,225.081,(30),113.032,2216.96,10.0,(40),7.0781,(101),none
49,285.262,(36),100.403,2191.41,10.896,(30),3.39111,(163),none
50,610.755,(73),68.6177,2184.38,8.57,(57),6.36966,(120),none
51,987.362,(113),53.9674,2162.77,9.687,(44),3.66478,(162),none
52,903.478,(103),56.4171,2021.11,9.199,(47),6.80693,(104),none
53,208.973,(28),117.307,1837.19,2.1,(165),34.7274,(3),none
54,497.299,(61),76.0433,1810.23,4.795,(120),11.0738,(35),none
55,1247.54,(138),48.0112,1753.52,9.56,(45),2.46113,(169),none
56,809.263,(95),59.6108,1738.73,10.47,(34),9.46956,(50),none
57,383.308,(49),86.6155,1736.11,4.975,(118),13.1526,(24),none
58,53.4265,(8),232.002,1715.86,1.31,(169),49.5668,(0),none
59,1296.51,(143),47.0958,1704.64,8.71,(54),11.4324,(32),none
60,288.802,(37),99.786,1704.29,3.097,(148),9.22225,(57),none
61,1547.28,(160),43.1107,1672.59,14.83,(10),10.9799,(36),none
62,1287.04,(142),47.2687,1623.87,7.54,(71),20.3298,(9),none
