Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,31.39,(2),302.673,1394.54,0.3612,(100),11455.1,(1),none
1,17.63,(1),403.872,1040.94,0.2681,(102),11600.6,(0),none
2,35.7237,(3),283.721,836.206,0.3537,(101),6873.62,(2),none
3,307.108,(30),96.7663,466.614,1.014,(67),1293.51,(7),none
4,45.1634,(4),252.334,456.332,0.3868,(98),3372.92,(3),none
5,105.804,(12),164.861,407.234,0.586,(87),1941.3,(5),none
6,925.865,(61),55.7309,354.433,1.738,(29),585.953,(17),none
7,128.804,(15),149.419,333.748,0.57,(89),1804.0,(6),none
8,76.1435,(10),194.336,317.781,0.4684,(93),1981.24,(4),none
9,998.06,(67),53.6774,301.624,1.753,(27),500.172,(24),none
10,438.909,(39),80.9436,290.54,1.17,(62),706.793,(11),none
11,488.234,(41),76.746,277.013,1.194,(61),663.557,(14),none
12,1617.68,(98),42.1622,257.766,2.36,(0),345.368,(38),none
13,1185.32,(78),49.2552,254.247,2.02,(8),361.587,(34),none
14,728.938,(53),62.8094,237.492,1.42,(48),487.822,(25),none
15,168.816,(18),130.516,232.996,0.671,(85),1003.61,(8),none
16,547.608,(44),72.4661,230.462,1.202,(60),562.189,(20),none
17,250.618,(25),107.118,228.091,0.823,(77),790.896,(10),none
18,864.95,(59),57.6599,203.09,1.614,(40),364.69,(33),none
19,283.521,(28),100.711,200.573,0.873,(74),664.664,(13),none
20,618.831,(47),68.1685,199.345,1.258,(56),472.826,(27),none
21,605.529,(46),68.9132,196.684,1.264,(55),453.291,(28),none
22,1518.38,(95),43.5191,196.556,2.17,(3),275.018,(48),none
23,420.123,(37),82.7335,195.373,1.065,(65),522.585,(22),none
24,1008.86,(68),53.3893,190.129,1.73,(30),326.353,(39),none
25,361.526,(35),89.1867,189.48,0.982,(68),572.849,(18),none
26,851.035,(58),58.1294,183.609,1.512,(44),354.435,(36),none
27,1498.41,(94),43.8081,182.689,1.99,(10),280.065,(46),none
28,1195.56,(79),49.0438,175.092,1.86,(17),277.997,(47),none
29,1069.15,(71),51.8621,174.44,1.78,(24),282.044,(44),none
30,1263.58,(85),47.7055,169.453,1.86,(18),271.693,(49),none
