Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,20.8671,(16),361.709,195.991,3.5868,(137),2.40555,(166),['70-Yb-174_n-g']
1,15.3954,(15),421.11,149.327,2.4923,(186),5.03333,(68),['70-Yb-174_n-g']
2,29.0771,(23),306.419,120.983,2.5307,(184),5.56201,(62),['70-Yb-174_n-g']
3,33.0079,(24),287.595,96.4968,1.6193,(245),11.1949,(33),['70-Yb-174_n-g']
4,37.7305,(29),268.995,79.6897,1.9394,(227),10.4423,(36),['70-Yb-171_n-g']
5,40.9124,(30),258.323,59.7584,0.7982,(307),43.7241,(10),['70-Yb-171_n-g']
6,0.372852,(0),2705.97,57.183,0.512033,(336),26.9079,(18),['70-Yb-170_n-g']
7,37.1254,(28),271.178,57.0559,1.2517,(274),11.1459,(35),['70-Yb-174_n-g']
8,100.283,(51),164.997,56.6314,8.1824,(58),2.80465,(133),['70-Yb-174_n-g']
9,57.024,(38),218.807,54.2384,3.8541,(128),4.55811,(73),['70-Yb-172_n-g']
10,143.433,(62),137.964,53.0595,4.228,(121),3.14045,(112),['70-Yb-173_n-g']
11,34.9572,(27),279.462,44.7263,0.6506,(318),31.2557,(14),['70-Yb-174_n-g']
12,70.4294,(43),196.885,44.6226,3.097,(157),4.71394,(70),['70-Yb-171_n-g']
13,136.234,(61),141.562,42.047,3.81,(129),3.19363,(111),['70-Yb-173_n-g']
14,132.734,(60),143.417,36.6838,4.787,(106),2.80369,(134),['70-Yb-174_n-g']
15,162.7,(67),129.538,36.3138,2.952,(170),3.57284,(92),['70-Yb-172_n-g']
16,176.986,(71),124.2,34.3137,3.362,(148),3.23233,(108),['70-Yb-173_n-g']
17,43.6708,(33),250.032,32.9104,1.4852,(255),5.86696,(59),['70-Yb-174_n-g']
18,68.0163,(42),200.348,32.7243,1.5658,(250),6.82596,(51),['70-Yb-171_n-g']
19,109.732,(53),157.734,32.3642,2.389,(194),4.51227,(74),['70-Yb-172_n-g']
20,106.746,(52),159.924,28.9453,1.015,(286),12.764,(28),['70-Yb-174_n-g']
21,172.815,(70),125.69,28.3952,5.445,(87),2.35838,(169),['70-Yb-174_n-g']
22,297.529,(95),95.7913,27.8215,9.786,(45),1.64768,(217),['70-Yb-172_n-g']
23,62.1093,(40),209.658,26.4408,3.7466,(132),4.177,(77),['70-Yb-172_n-g']
24,263.612,(89),101.767,24.9721,11.536,(38),1.62256,(222),['70-Yb-174_n-g']
25,89.7673,(49),174.394,24.6452,9.8418,(44),2.78096,(136),['70-Yb-171_n-g']
26,48.6915,(35),236.79,23.692,5.6352,(83),4.41195,(75),['70-Yb-172_n-g']
27,73.8777,(44),192.236,23.6259,0.8659,(300),12.005,(30),['70-Yb-171_n-g']
28,253.108,(87),103.857,22.9098,3.23,(153),2.49053,(160),['70-Yb-174_n-g']
29,80.5906,(47),184.055,22.3764,4.3332,(116),3.34756,(101),['70-Yb-172_n-g']
30,65.4009,(41),204.314,21.8933,0.8648,(302),11.1563,(34),['70-Yb-174_n-g']
31,211.617,(80),113.584,21.8331,1.186,(278),11.9538,(31),['70-Yb-172_n-g']
32,75.1567,(45),190.593,20.1041,0.9234,(296),10.2935,(38),['70-Yb-174_n-g']
33,156.964,(66),131.884,20.0292,3.489,(144),2.57784,(151),['70-Yb-172_n-g']
