Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,39.93,(18),268.361,2395.26,3.3417,(75),4903.61,(0),['70-Yb-171_n-tot']
1,1826.75,(121),39.6762,1543.34,64.02,(0),229.319,(41),['70-Yb-173_n-tot']
2,31.39,(13),302.673,1445.17,4.0886,(66),3652.7,(2),['70-Yb-174_n-tot']
3,2401.68,(125),34.6029,1188.11,58.08,(1),175.406,(65),['70-Yb-173_n-tot']
4,17.63,(9),403.872,1123.41,5.0299,(46),3700.66,(1),['70-Yb-174_n-tot']
5,35.7237,(17),283.721,784.832,2.2009,(101),2198.21,(3),['70-Yb-174_n-tot']
6,1668.84,(119),41.5109,764.024,11.54,(12),204.32,(51),['70-Yb-176_n-tot']
7,139.828,(42),143.408,688.894,7.434,(25),971.736,(6),['70-Yb-173_n-tot']
8,180.309,(48),126.288,683.307,4.551,(55),900.615,(7),['70-Yb-173_n-tot']
9,2620.62,(127),33.1259,658.357,50.16,(2),124.333,(96),['70-Yb-176_n-tot']
10,753.828,(96),61.7637,644.392,11.554,(10),332.901,(25),['70-Yb-173_n-tot']
11,1959.74,(124),38.3063,580.647,28.09,(5),153.432,(74),['70-Yb-176_n-tot']
12,2575.05,(126),33.4177,557.153,36.56,(3),132.75,(90),['70-Yb-173_n-tot']
13,212.809,(52),116.245,513.764,4.573,(54),631.463,(14),['70-Yb-171_n-tot']
14,342.718,(66),91.6012,508.109,2.96,(85),528.41,(19),['70-Yb-176_n-tot']
15,210.4,(51),116.909,491.68,2.63,(91),646.671,(12),['70-Yb-172_n-tot']
16,1301.3,(113),47.009,430.481,9.86,(14),165.776,(71),['70-Yb-176_n-tot']
17,45.1634,(20),252.334,424.356,2.0405,(104),1094.41,(4),['70-Yb-174_n-tot']
18,66.57,(27),207.841,420.329,2.7341,(89),787.161,(9),['70-Yb-171_n-tot']
19,1914.99,(123),38.7513,415.168,25.69,(6),141.74,(82),['70-Yb-173_n-tot']
20,72.9138,(29),198.593,407.86,2.8697,(86),898.357,(8),['70-Yb-171_n-tot']
21,2726.89,(128),32.474,398.942,33.07,(4),112.294,(110),['70-Yb-173_n-tot']
22,307.108,(62),96.7663,385.64,4.263,(60),419.226,(22),['70-Yb-174_n-tot']
23,354.41,(68),90.0776,382.268,4.39,(56),376.886,(23),['70-Yb-172_n-tot']
24,925.963,(104),55.7279,366.758,6.091,(34),211.641,(48),['70-Yb-174_n-tot']
25,1892.84,(122),38.9774,360.146,22.94,(7),134.529,(88),['70-Yb-173_n-tot']
26,447.805,(77),80.1356,356.64,4.313,(59),319.654,(27),['70-Yb-171_n-tot']
27,1617.72,(118),42.1617,347.984,16.68,(8),142.153,(81),['70-Yb-174_n-tot']
28,618.998,(91),68.1593,341.062,7.659,(23),181.65,(63),['70-Yb-174_n-tot']
29,538.932,(86),73.0471,331.736,9.454,(16),189.212,(59),['70-Yb-172_n-tot']
30,105.804,(35),164.861,324.498,3.967,(67),626.704,(16),['70-Yb-174_n-tot']
31,128.804,(41),149.419,321.169,2.99,(84),583.868,(17),['70-Yb-174_n-tot']
32,160.405,(44),133.894,320.072,4.939,(47),476.494,(21),['70-Yb-172_n-tot']
33,1739.23,(120),40.6622,301.553,10.41,(13),127.203,(93),['70-Yb-176_n-tot']
34,107.704,(36),163.401,299.96,3.273,(79),559.888,(18),['70-Yb-172_n-tot']
35,978.457,(105),54.2124,296.504,5.094,(45),185.861,(61),['70-Yb-171_n-tot']
36,250.561,(55),107.13,287.514,5.71,(38),292.433,(30),['70-Yb-174_n-tot']
37,1498.55,(116),43.8061,278.831,13.26,(9),124.014,(97),['70-Yb-174_n-tot']
38,508.742,(82),75.1832,274.31,5.099,(44),246.79,(36),['70-Yb-173_n-tot']
39,387.219,(72),86.177,265.781,5.816,(37),213.319,(47),['70-Yb-172_n-tot']
40,880.249,(102),57.1567,262.38,4.862,(48),175.878,(64),['70-Yb-176_n-tot']
41,286.425,(60),100.199,262.289,2.213,(100),363.449,(24),['70-Yb-171_n-tot']
42,998.06,(107),53.6774,256.24,5.296,(43),165.985,(70),['70-Yb-174_n-tot']
43,612.221,(90),68.5355,252.294,5.633,(39),193.986,(56),['70-Yb-171_n-tot']
44,547.555,(87),72.4696,250.982,3.288,(77),223.535,(43),['70-Yb-174_n-tot']
45,290.606,(61),99.4758,249.036,8.688,(17),279.912,(31),['70-Yb-172_n-tot']
46,488.234,(79),76.746,245.312,6.136,(33),217.247,(45),['70-Yb-174_n-tot']
47,1263.47,(112),47.7076,245.225,7.31,(26),106.553,(117),['70-Yb-174_n-tot']
48,438.909,(75),80.9436,244.096,5.59,(40),231.452,(38),['70-Yb-174_n-tot']
49,76.1435,(31),194.336,241.939,1.3966,(110),644.718,(13),['70-Yb-174_n-tot']
