Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,13.9869,(4),453.429,1839.88,0.6555,(53),5528.67,(0),none
1,14.1444,(5),450.897,1830.61,0.6548,(54),5332.58,(1),none
2,96.6941,(20),172.453,1035.82,1.1137,(34),2319.0,(5),none
3,330.208,(56),93.3203,973.889,2.052,(0),1179.24,(10),none
4,40.59,(13),266.171,877.491,1.2175,(29),2321.71,(4),none
5,393.351,(63),85.5027,647.288,1.998,(1),767.55,(22),none
6,129.614,(29),148.951,621.584,1.205,(30),1315.4,(8),none
7,192.886,(39),122.101,572.658,1.426,(16),956.346,(17),none
8,107.453,(24),163.591,569.74,1.127,(33),1248.16,(9),none
9,185.254,(38),124.591,524.624,1.436,(14),891.774,(18),none
10,115.243,(26),157.966,502.177,1.045,(40),1125.45,(11),none
11,127.373,(28),150.256,440.646,1.036,(41),990.785,(14),none
12,273.719,(47),102.498,438.948,1.584,(6),644.549,(24),none
13,11.2,(3),506.711,434.192,0.5071,(60),2419.28,(3),none
14,23.42,(8),350.41,400.873,0.6529,(55),1654.14,(6),none
15,137.884,(30),144.415,392.464,1.229,(27),777.453,(21),none
16,288.705,(49),99.8028,391.204,1.513,(10),596.42,(25),none
17,255.697,(46),106.049,382.262,1.568,(8),577.996,(27),none
18,5.22,(2),742.223,336.9,0.37925,(62),2916.22,(2),none
19,223.137,(41),113.523,332.04,1.436,(15),541.179,(29),none
20,291.541,(50),99.3162,330.219,1.406,(18),546.349,(28),none
21,30.1,(10),309.091,320.232,0.5493,(59),1425.69,(7),none
22,36.5,(12),280.688,278.174,0.6907,(52),1005.77,(13),none
23,405.36,(64),84.2266,276.721,1.872,(2),350.491,(40),none
24,49.4,(14),241.272,267.012,0.7636,(49),984.62,(15),none
25,229.387,(43),111.966,259.842,1.365,(22),500.611,(30),none
26,314.027,(53),95.6943,249.254,1.53,(9),371.15,(38),none
27,347.927,(59),90.9129,230.395,1.763,(3),322.633,(42),none
28,343.632,(58),91.4793,220.298,1.579,(7),322.518,(43),none
29,318.329,(55),95.0455,219.453,1.444,(13),394.177,(36),none
30,175.653,(36),127.95,215.814,1.255,(24),421.438,(33),none
31,217.106,(40),115.089,195.861,1.414,(17),327.361,(41),none
32,118.698,(27),155.65,192.504,1.052,(39),456.23,(32),none
33,50.27,(15),239.175,184.808,0.7255,(51),742.546,(23),none
34,20.45,(7),374.993,170.202,0.555,(58),786.351,(20),none
35,294.907,(51),98.7477,166.44,1.454,(11),273.132,(46),none
36,15.31,(6),433.393,160.671,0.4904,(61),980.973,(16),none
37,99.7458,(21),169.794,157.528,0.7618,(50),485.2,(31),none
38,103.008,(23),167.084,153.798,0.95,(43),383.373,(37),none
39,180.756,(37),126.131,152.708,1.222,(28),289.634,(45),none
40,242.985,(44),108.788,140.779,1.166,(32),309.809,(44),none
41,85.5,(18),183.395,138.742,0.9337,(44),355.677,(39),none
42,379.456,(61),87.0541,133.945,1.611,(5),190.975,(52),none
43,57.01,(16),224.592,132.604,0.8529,(45),394.964,(35),none
44,31.01,(11),304.522,125.179,0.6193,(56),585.361,(26),none
45,227.933,(42),112.322,121.084,1.112,(35),260.951,(47),none
46,2.59,(0),1053.71,121.046,0.33263,(63),1116.49,(12),none
47,158.496,(32),134.698,114.368,1.192,(31),232.567,(49),none
48,163.805,(33),132.497,113.905,1.231,(26),223.57,(51),none
49,304.489,(52),97.1816,101.039,1.448,(12),162.424,(55),none
50,27.92,(9),320.931,93.205,0.5675,(57),404.08,(34),none
51,88.56,(19),180.198,90.1803,0.9718,(42),230.454,(50),none
52,169.288,(34),130.334,84.185,1.058,(38),184.709,(53),none
53,338.349,(57),92.1907,77.3957,1.391,(20),133.189,(58),none
54,100.84,(22),168.87,74.562,0.768,(48),242.521,(48),none
55,4.753,(1),777.832,72.9615,0.27993,(64),818.021,(19),none
56,69.99,(17),202.699,72.0065,1.3293,(23),141.807,(56),none
57,358.761,(60),89.5297,71.3656,1.621,(4),111.391,(63),none
58,383.079,(62),86.6414,70.7053,1.381,(21),122.316,(60),none
59,277.709,(48),101.759,66.5061,1.399,(19),118.511,(62),none
60,244.149,(45),108.528,61.9179,1.247,(25),179.469,(54),none
61,155.573,(31),135.957,55.1594,1.071,(37),122.182,(61),none
62,171.11,(35),129.638,46.9361,1.083,(36),108.121,(64),none
63,112.94,(25),159.568,45.0239,0.83,(46),129.069,(59),none
64,317.107,(54),95.2285,12.6964,0.782,(47),136.587,(57),none
