Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,0.84375,(1),1846.13,6904.26,1.35489,(27),33.6831,(9),none
1,3.17653,(2),951.466,3962.25,2.68044,(8),10.3267,(38),none
2,0.0297383,(0),9833.58,3147.5,0.118002,(50),2081.38,(0),none
3,53.8963,(30),230.988,1834.89,3.4322,(4),9.96116,(41),none
4,88.1898,(46),180.576,1679.75,3.5177,(2),14.0552,(26),none
5,25.6313,(14),334.953,1579.41,2.3709,(14),13.6232,(27),none
6,5.15265,(3),747.058,1426.44,1.63101,(23),14.193,(25),none
7,28.4691,(15),317.821,1185.77,1.9135,(20),22.2049,(13),none
8,7.61169,(4),614.652,1036.39,1.78882,(22),10.3095,(39),none
9,74.0598,(40),197.051,913.181,3.5527,(1),10.4806,(36),none
10,58.0246,(31),222.62,910.273,2.1234,(18),16.1487,(22),none
11,35.306,(19),285.394,891.844,3.3972,(5),8.66442,(45),none
12,69.2509,(38),203.778,798.989,2.3293,(15),13.5877,(28),none
13,40.4898,(21),266.5,752.708,3.4334,(3),7.51433,(48),none
14,22.988,(13),353.687,721.659,2.4657,(13),8.07125,(46),none
15,91.0885,(47),177.68,664.879,2.506,(11),15.1427,(24),none
16,77.2609,(41),192.926,543.199,2.2524,(16),12.9023,(30),none
17,94.6249,(48),174.328,484.202,2.6732,(10),13.52,(29),none
18,30.906,(16),305.034,484.136,2.0123,(19),16.3569,(20),none
19,62.801,(34),213.987,456.188,2.9358,(6),9.04227,(43),none
20,10.275,(6),529.028,413.535,0.86508,(33),36.0026,(7),none
21,8.57826,(5),578.989,393.911,1.37269,(26),11.2966,(32),none
22,81.0091,(43),188.41,385.591,2.4952,(12),10.9283,(33),none
23,15.7482,(9),427.321,348.604,4.6928,(0),6.56272,(49),none
24,97.5113,(49),171.728,316.008,2.7915,(7),10.7895,(34),none
25,66.456,(37),208.019,218.732,1.5442,(25),10.2207,(40),none
26,101.469,(50),168.346,214.536,2.6775,(9),9.74582,(42),none
27,20.7645,(12),372.142,182.032,1.5599,(24),7.96052,(47),none
28,37.7736,(20),275.915,179.241,0.9966,(30),20.1737,(14),none
29,84.5142,(45),184.461,169.985,0.7569,(35),34.319,(8),none
30,48.0778,(26),244.567,157.695,0.8735,(32),15.1846,(23),none
31,49.6804,(27),240.59,157.163,0.7317,(36),39.3971,(6),none
32,11.1434,(7),507.997,148.475,0.4494,(46),67.9747,(4),none
33,44.0321,(23),255.555,144.698,2.2004,(17),8.86084,(44),none
34,83.7225,(44),185.331,125.399,1.0097,(29),19.4687,(15),none
35,71.1531,(39),201.036,119.374,0.5635,(41),86.4393,(3),none
36,47.3592,(25),246.415,89.917,1.2041,(28),10.7437,(35),none
37,79.152,(42),190.607,82.8465,0.9303,(31),19.2582,(16),none
38,45.6411,(24),251.01,62.9443,0.7189,(37),19.2141,(17),none
39,59.9814,(33),218.958,47.5887,0.6397,(39),17.9642,(19),none
40,50.9523,(28),237.568,44.7502,0.8497,(34),16.2639,(21),none
41,64.4813,(35),211.18,38.1217,0.5237,(44),33.4897,(10),none
42,32.372,(17),298.047,31.5316,0.5022,(45),29.1846,(11),none
43,11.6874,(8),496.033,28.7011,0.2303,(48),88.5624,(2),none
44,51.5511,(29),236.184,26.2441,0.5299,(43),28.1624,(12),none
45,65.6058,(36),209.362,23.9437,0.5536,(42),18.801,(18),none
46,42.3782,(22),260.494,17.7664,0.2237,(49),149.613,(1),none
47,32.8838,(18),295.719,17.4086,0.2937,(47),43.4841,(5),none
48,18.0056,(10),399.637,16.8143,1.7951,(21),6.38967,(50),none
49,19.4634,(11),384.38,15.6308,0.5917,(40),10.4218,(37),none
50,59.1437,(32),220.504,5.65369,0.6672,(38),12.755,(31),none
