Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,63.8712,(3),212.186,140913.0,40.2759,(0),1.04571,(8),none
1,141.706,(7),142.454,122944.0,22.315,(2),6.78982,(3),none
2,93.2662,(5),175.593,99797.2,28.5089,(1),0.981905,(9),none
3,113.124,(6),159.438,86823.2,16.565,(3),4.06286,(5),none
4,3.58906,(0),895.116,40735.2,3.99277,(9),11.547,(2),none
5,167.379,(9),131.075,22497.7,13.974,(4),40.8784,(0),none
6,23.7448,(2),348.005,20970.4,13.1567,(5),3.23642,(7),none
7,151.719,(8),137.673,16079.7,5.001,(8),40.5367,(1),none
8,73.6666,(4),197.576,13550.6,6.7026,(7),3.99521,(6),none
9,9.53125,(1),549.281,273.815,8.42621,(6),5.76644,(4),none
