Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,50000.0,(147),7.38934,342196.0,49360.0,(0),1.06647,(107),none
1,4.3556,(2),791.711,96347.0,3.50008,(55),33.9275,(19),none
2,1.64746,(1),1287.31,42387.9,1.28678,(125),273.386,(3),none
3,0.267969,(0),3191.89,22856.8,1.09585,(133),169.538,(5),none
4,7.8785,(4),588.666,21032.9,2.27445,(97),40.2651,(16),none
5,18.6883,(8),382.213,9122.37,8.0048,(9),1.27893,(102),none
6,10.3726,(5),513.035,6931.29,2.0654,(106),13.765,(29),none
7,40.0931,(17),260.949,6625.54,6.089,(20),1.73311,(91),none
8,6.21202,(3),662.94,6374.83,0.70715,(141),392.756,(2),none
9,65.1549,(28),204.7,5494.1,3.2557,(59),13.6097,(30),none
10,52.1881,(22),228.72,4571.65,5.1395,(26),3.81608,(60),none
11,108.861,(43),158.363,4455.41,8.867,(6),0.594748,(134),none
12,47.2156,(20),240.463,3109.05,2.531,(89),13.0611,(31),none
13,79.9473,(34),184.794,2681.59,6.3298,(16),1.14064,(106),none
14,277.667,(96),99.1582,2538.19,11.51,(2),0.643367,(131),none
15,385.383,(118),84.1675,2527.18,14.194,(1),0.350992,(144),none
16,69.182,(29),198.653,2302.38,3.2639,(58),4.47914,(55),none
17,100.0,(42),165.231,1748.52,4.161,(40),1.91519,(87),none
18,127.367,(49),146.407,1711.75,5.387,(22),0.921511,(112),none
19,29.885,(13),302.248,1560.86,4.5659,(35),1.05375,(109),none
20,94.592,(40),169.888,1467.92,3.8775,(47),1.62563,(95),none
21,494.647,(144),74.2922,1393.22,9.88,(4),0.539837,(136),none
22,244.944,(90),105.574,1344.4,7.984,(10),0.480248,(138),none
23,55.538,(23),221.715,1305.49,1.5721,(116),22.9069,(24),none
24,12.1026,(6),474.954,1273.03,2.7241,(82),6.09176,(41),none
25,338.248,(110),89.8407,1242.32,8.397,(8),0.651201,(129),none
26,34.1003,(15),282.951,1205.13,3.2514,(60),2.31719,(76),none
27,344.709,(111),88.9947,1186.54,6.877,(15),0.815092,(119),none
28,139.119,(53),140.087,1169.64,3.687,(51),2.07125,(81),none
29,254.889,(91),103.494,1031.9,10.985,(3),0.258357,(147),none
30,165.684,(62),128.366,1017.18,4.291,(38),1.32226,(100),none
31,44.1116,(18),248.779,1014.0,2.0541,(107),6.87462,(39),none
32,269.828,(94),100.588,1013.4,4.6,(33),1.91656,(86),none
33,62.5361,(27),208.942,1003.85,1.2625,(127),37.1296,(17),none
34,439.999,(132),78.7707,985.03,7.517,(11),0.828542,(118),none
35,502.676,(145),73.6965,983.974,8.676,(7),0.439662,(139),none
36,82.9144,(35),181.458,914.06,2.2207,(98),4.29177,(58),none
37,196.075,(73),117.999,831.438,5.086,(27),0.780154,(122),none
38,421.912,(126),80.4414,824.814,7.268,(13),0.744774,(124),none
39,352.476,(112),88.0088,811.911,5.993,(21),0.855852,(114),none
40,372.432,(117),85.6184,788.489,4.869,(29),2.74906,(72),none
41,90.8911,(39),173.313,748.468,4.6113,(32),0.937119,(111),none
42,325.262,(107),91.6166,738.615,3.872,(48),3.38931,(65),none
43,316.392,(105),92.8919,727.824,6.29,(17),0.715248,(125),none
44,463.739,(137),76.728,727.74,9.193,(5),0.437066,(140),none
45,483.922,(143),75.1109,722.141,6.976,(14),0.844939,(116),none
