Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,329.4,(48),91.0393,55805.0,799675.0,(0),189.658,(30),['73-Ta-181_n-g']
1,4.28,(0),798.673,1978.45,6.51563,(11),13010.9,(0),['73-Ta-181_n-g']
2,39.13,(7),264.141,1224.91,4.4565,(22),3305.97,(2),['73-Ta-181_n-g']
3,99.32,(17),165.795,742.221,4.8693,(17),1339.73,(6),['73-Ta-181_n-g']
4,10.34,(1),513.843,733.093,4.07395,(28),3730.06,(1),['73-Ta-181_n-g']
5,35.9,(6),275.768,617.799,1.8026,(46),2337.46,(3),['73-Ta-181_n-g']
6,23.9,(4),337.981,466.147,4.6756,(18),1813.82,(4),['73-Ta-181_n-g']
7,115.08,(19),154.025,392.431,7.137,(6),715.622,(9),['73-Ta-181_n-g']
8,105.54,(18),160.836,369.19,4.922,(16),742.662,(8),['73-Ta-181_n-g']
9,126.46,(20),146.931,366.289,9.119,(1),634.302,(11),['73-Ta-181_n-g']
10,194.8,(28),118.385,347.042,7.465,(3),458.63,(15),['73-Ta-181_n-g']
11,82.94,(12),181.43,271.541,3.6066,(32),620.541,(12),['73-Ta-181_n-g']
12,200.0,(29),116.836,254.621,5.409,(14),374.564,(19),['73-Ta-181_n-g']
13,232.3,(36),108.409,251.659,4.462,(21),372.138,(20),['73-Ta-181_n-g']
14,273.9,(40),99.8377,222.87,3.087,(37),281.732,(24),['73-Ta-181_n-g']
15,263.3,(37),101.828,215.71,3.566,(34),356.236,(21),['73-Ta-181_n-g']
16,136.48,(21),141.435,215.409,5.46,(12),416.969,(18),['73-Ta-181_n-g']
17,215.0,(31),112.686,212.303,3.356,(36),335.302,(22),['73-Ta-181_n-g']
18,63.12,(9),207.973,173.404,7.4434,(4),428.875,(17),['73-Ta-181_n-g']
19,13.95,(2),442.388,160.75,4.3032,(25),769.852,(7),['73-Ta-181_n-g']
20,290.437,(44),96.9538,155.427,5.439,(13),132.994,(41),['73-Ta-181_n-g']
21,138.33,(22),140.486,142.96,4.63,(19),272.457,(25),['73-Ta-181_n-g']
22,176.0,(27),124.547,140.033,2.331,(44),566.434,(14),['73-Ta-181_n-g']
23,225.3,(34),110.08,137.243,4.303,(26),196.186,(27),['73-Ta-181_n-g']
24,306.2,(45),94.4252,133.704,3.952,(29),169.192,(35),['73-Ta-181_n-g']
25,280.3,(42),98.6914,131.606,3.92,(30),170.96,(32),['73-Ta-181_n-g']
26,287.7,(43),97.4139,129.107,4.949,(15),169.396,(34),['73-Ta-181_n-g']
27,277.2,(41),99.2417,126.776,2.782,(40),170.283,(33),['73-Ta-181_n-g']
28,216.6,(32),112.269,115.842,1.928,(45),193.239,(28),['73-Ta-181_n-g']
29,219.7,(33),111.475,112.479,3.024,(39),166.221,(36),['73-Ta-181_n-g']
30,20.3,(3),366.727,108.466,3.8978,(31),449.59,(16),['73-Ta-181_n-g']
31,230.5,(35),108.832,104.305,3.571,(33),176.372,(31),['73-Ta-181_n-g']
32,77.64,(11),187.52,98.0397,1.0895,(48),318.256,(23),['73-Ta-181_n-g']
33,313.3,(47),93.3492,93.9636,6.933,(8),191.354,(29),['73-Ta-181_n-g']
34,85.1,(13),179.113,92.0465,2.4907,(43),202.599,(26),['73-Ta-181_n-g']
35,166.4,(25),128.09,91.089,7.317,(5),151.855,(38),['73-Ta-181_n-g']
36,208.4,(30),114.457,90.5872,4.074,(27),136.667,(40),['73-Ta-181_n-g']
37,311.7,(46),93.5885,74.7677,3.529,(35),132.219,(42),['73-Ta-181_n-g']
38,271.8,(39),100.223,70.6118,4.321,(24),114.822,(46),['73-Ta-181_n-g']
39,89.6,(14),174.557,66.937,2.6838,(41),156.916,(37),['73-Ta-181_n-g']
40,35.16,(5),278.655,66.4294,4.5952,(20),1593.67,(5),['73-Ta-181_n-g']
41,149.7,(24),135.045,53.1923,7.008,(7),120.28,(44),['73-Ta-181_n-g']
42,148.31,(23),135.677,50.6519,3.024,(38),101.426,(48),['73-Ta-181_n-g']
43,97.0,(16),167.766,48.9638,4.4558,(23),137.083,(39),['73-Ta-181_n-g']
44,91.44,(15),172.792,46.6003,1.4742,(47),108.227,(47),['73-Ta-181_n-g']
45,49.15,(8),235.683,42.4088,6.8923,(9),122.903,(43),['73-Ta-181_n-g']
46,264.698,(38),101.558,41.8759,2.55,(42),115.134,(45),['73-Ta-181_n-g']
47,76.85,(10),188.482,0.0,8.3414,(2),577.456,(13),['73-Ta-180_n-g']
48,175.0,(26),124.903,0.0,6.673,(10),646.864,(10),['73-Ta-180_n-g']
