Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,0.75,(0),1907.92,5758.61,1.99889,(13),9.04238,(47),none
1,12.6431,(14),464.691,2694.6,1.5638,(24),7.31599,(52),none
2,36.1098,(36),274.965,1725.76,1.8146,(18),3.32052,(83),none
3,5.3212,(6),716.285,1646.94,0.97188,(63),20.8325,(24),none
4,22.5474,(23),347.971,1276.29,2.9353,(3),1.03521,(135),none
5,140.473,(148),139.41,1260.52,2.015,(12),1.85815,(104),none
6,2.46377,(1),1052.67,1240.21,0.78624,(80),33.2066,(11),none
7,71.8905,(74),194.874,1200.59,2.0662,(11),1.52541,(113),none
8,25.8136,(26),325.212,1138.36,1.0782,(54),8.24762,(49),none
9,8.59914,(9),563.46,1106.22,1.96791,(14),3.98821,(75),none
10,116.584,(126),153.028,980.948,3.884,(1),0.307137,(159),none
11,6.89779,(8),629.123,658.018,1.01654,(60),23.0706,(20),none
12,63.8491,(65),206.782,619.824,1.0632,(56),2.78883,(89),none
13,32.8769,(33),288.168,612.893,0.763,(84),12.9905,(40),none
14,60.744,(62),212.002,598.053,0.9703,(64),6.93876,(55),none
15,38.8846,(39),264.973,595.22,1.2128,(41),3.27586,(84),none
16,61.7763,(63),210.223,584.859,1.0327,(57),6.20055,(60),none
17,147.038,(154),136.262,577.773,2.179,(9),0.764686,(143),none
18,34.237,(34),282.386,556.77,1.6944,(21),1.99134,(100),none
19,88.3685,(91),175.769,550.323,0.6583,(93),20.9656,(23),none
20,62.5659,(64),208.892,531.165,0.6921,(91),15.3797,(30),none
21,52.7601,(53),227.477,517.703,0.643,(95),13.3257,(38),none
22,25.0047,(25),330.43,514.949,0.8899,(65),8.14348,(51),none
23,13.7532,(15),445.542,496.048,0.4282,(125),62.0716,(6),none
24,129.537,(139),145.176,483.345,3.052,(2),0.329861,(157),none
25,17.6654,(20),393.123,439.89,2.7154,(4),0.865438,(137),none
26,3.5315,(3),879.247,437.119,0.46964,(119),59.9791,(7),none
27,26.8227,(27),319.036,430.341,0.5026,(112),26.0257,(17),none
28,135.112,(143),142.149,425.923,1.774,(19),1.09206,(131),none
29,138.586,(147),140.356,420.281,1.097,(52),2.66354,(91),none
30,49.5858,(49),234.645,405.901,1.4543,(28),1.72706,(109),none
31,105.838,(115),160.609,370.18,1.503,(26),1.44726,(115),none
32,100.957,(111),164.446,366.592,1.824,(17),0.770882,(141),none
33,144.892,(153),137.268,360.663,1.139,(50),2.627,(93),none
34,122.637,(132),149.204,353.166,2.263,(7),0.715717,(146),none
35,65.0535,(66),204.859,345.962,2.2332,(8),0.852776,(139),none
36,4.13673,(4),812.385,331.972,0.39756,(131),70.3597,(5),none
37,103.876,(113),162.119,308.371,1.362,(33),1.46546,(114),none
38,136.635,(145),141.355,298.533,1.189,(43),2.3428,(96),none
39,110.668,(122),157.065,290.742,0.718,(89),6.85929,(56),none
40,89.0588,(92),175.086,290.687,0.4753,(117),25.135,(18),none
41,102.751,(112),163.004,282.205,1.28,(38),1.44381,(116),none
42,47.7208,(47),239.187,281.715,2.1403,(10),0.642286,(147),none
43,75.2695,(77),190.45,277.588,1.1807,(44),1.7925,(106),none
44,55.3205,(56),222.151,272.741,1.5061,(25),1.59739,(112),none
45,6.26373,(7),660.198,272.447,0.27458,(144),395.996,(0),none
46,14.65,(16),431.69,267.4,0.7579,(85),4.41177,(70),none
47,93.3567,(100),171.009,260.142,0.7862,(81),5.98307,(61),none
48,24.066,(24),336.813,252.715,0.6194,(98),8.18784,(50),none
49,109.503,(120),157.898,247.623,0.842,(72),6.21774,(59),none
50,37.7097,(38),269.069,244.761,0.4907,(113),32.1243,(12),none
51,147.921,(155),135.855,231.26,0.799,(77),2.45311,(95),none
52,3.12671,(2),934.43,229.095,0.58996,(105),27.448,(16),none
53,141.723,(149),138.794,225.02,0.618,(99),10.0941,(46),none
54,142.906,(150),138.218,222.258,1.28,(37),1.32045,(121),none
55,54.3288,(55),224.169,221.994,1.1805,(45),3.59911,(79),none
56,149.21,(156),135.267,219.018,0.769,(83),2.25408,(97),none
57,87.1442,(89),176.999,212.95,1.1566,(47),2.91173,(87),none
58,113.99,(125),154.759,212.919,1.25,(40),1.1705,(127),none
59,11.6657,(13),483.766,210.802,0.3556,(136),30.782,(14),none
60,119.968,(128),150.854,199.169,1.327,(34),1.21458,(126),none
61,92.6449,(99),171.664,194.711,0.4785,(116),19.1143,(27),none
62,32.1014,(32),291.628,193.114,0.3909,(132),14.3093,(34),none
63,66.9374,(67),201.956,191.584,1.0724,(55),1.62662,(111),none
64,57.984,(58),216.988,188.913,1.6409,(23),0.844012,(140),none
65,137.916,(146),140.697,181.483,1.032,(58),1.9858,(101),none
66,108.555,(119),158.586,178.621,0.777,(82),3.93787,(76),none
67,73.3857,(75),192.879,178.122,0.4655,(120),11.9587,(42),none
68,69.3433,(71),198.421,176.924,1.1781,(46),1.26476,(124),none
69,76.4443,(78),188.981,173.408,0.736,(87),4.05292,(74),none
70,91.2031,(97),173.016,161.974,1.1523,(48),2.07503,(98),none
71,125.198,(135),147.67,155.144,1.108,(51),1.34076,(120),none
72,85.8973,(88),178.279,142.136,0.8369,(73),2.62291,(94),none
73,94.4045,(102),170.057,142.041,0.4701,(118),11.885,(43),none
74,118.931,(127),151.511,137.115,0.682,(92),4.37578,(71),none
75,56.4767,(57),219.865,135.098,0.6033,(102),6.69359,(58),none
76,92.1557,(98),172.119,131.507,0.4591,(121),14.8399,(32),none
77,53.4081,(54),226.093,131.465,0.2166,(148),148.118,(4),none
78,43.2529,(42),251.237,125.877,1.1963,(42),0.516053,(151),none
79,35.1359,(35),278.75,123.649,0.5697,(106),6.77646,(57),none
80,154.534,(161),132.916,121.245,1.301,(35),0.525479,(150),none
81,95.0427,(103),169.485,118.467,0.4029,(128),13.2599,(39),none
82,127.002,(137),146.617,116.325,1.443,(29),0.747599,(144),none
83,112.088,(123),156.067,115.251,1.658,(22),0.733932,(145),none
84,133.547,(142),142.979,112.744,0.866,(68),1.07905,(132),none
85,44.988,(43),246.344,112.027,0.9862,(62),1.15919,(128),none
86,87.7591,(90),176.378,110.366,0.4272,(126),11.8549,(44),none
87,107.098,(116),159.661,105.354,0.607,(100),3.6678,(78),none
88,83.1789,(84),181.169,103.05,0.6937,(90),2.85917,(88),none
89,74.2638,(76),191.735,99.8066,1.2984,(36),1.43627,(117),none
90,104.965,(114),161.276,97.1884,0.486,(114),8.69028,(48),none
91,124.517,(134),148.073,96.0494,0.733,(88),2.94833,(86),none
92,110.013,(121),157.532,94.5441,0.275,(143),48.0457,(10),none
93,77.76,(79),187.375,93.8683,1.4085,(32),0.549141,(149),none
94,15.9088,(19),414.259,93.544,0.4019,(129),15.0333,(31),none
95,51.9379,(52),229.271,92.4703,1.1434,(49),2.67977,(90),none
96,10.6033,(12),507.423,87.8524,1.4267,(31),2.64823,(92),none
97,50.685,(50),232.087,85.3987,0.3454,(137),20.3569,(25),none
98,19.7692,(22),371.617,82.4396,0.8716,(66),1.42495,(118),none
99,84.1312,(85),180.141,79.6923,0.6551,(94),1.91261,(103),none
100,70.7666,(73),196.416,78.2953,0.3984,(130),14.2524,(35),none
101,37.4449,(37),270.019,78.1132,0.2013,(151),164.377,(3),none
102,4.74308,(5),758.683,77.6805,0.84429,(70),12.9069,(41),none
103,60.0037,(61),213.305,77.0316,0.3283,(139),13.8151,(36),none
104,121.184,(130),150.096,76.491,0.606,(101),3.72171,(77),none
105,40.2138,(40),260.557,69.6053,1.484,(27),0.863185,(138),none
106,51.181,(51),230.96,69.1507,0.6402,(96),4.46655,(68),none
107,27.5017,(29),315.073,67.0303,0.3242,(140),23.9325,(19),none
108,46.4061,(46),242.551,64.7279,0.7448,(86),1.93924,(102),none
109,94.017,(101),170.407,63.2741,0.5905,(104),5.16107,(64),none
110,9.87421,(10),525.823,62.1424,0.63972,(97),4.45327,(69),none
111,143.678,(151),137.846,61.9665,1.032,(59),1.27296,(123),none
112,126.215,(136),147.074,60.5979,0.519,(108),3.46868,(81),none
113,68.0616,(69),200.281,60.0722,0.7982,(78),1.30887,(122),none
114,27.1603,(28),317.047,59.3647,0.3594,(135),19.3136,(26),none
115,28.0501,(30),311.978,58.7331,0.4418,(123),4.6932,(67),none
116,70.4383,(72),196.873,55.5947,0.3063,(142),22.393,(22),none
117,112.892,(124),155.51,54.4168,0.87,(67),0.988411,(136),none
118,131.45,(140),144.115,53.6715,0.505,(110),3.59613,(80),none
119,84.5976,(86),179.644,50.606,0.9988,(61),1.07128,(133),none
120,82.5014,(83),181.911,45.7918,0.8144,(76),1.23848,(125),none
121,99.413,(108),165.718,44.8911,0.8233,(75),1.41274,(119),none
122,90.5907,(96),173.6,41.9086,0.5048,(111),4.15302,(72),none
123,29.9032,(31),302.156,40.7549,3.9332,(0),0.766796,(142),none
124,80.0699,(81),184.653,37.3726,2.6863,(5),0.24124,(160),none
125,132.651,(141),143.462,36.354,1.736,(20),0.422613,(155),none
126,42.3464,(41),253.912,34.071,2.4156,(6),0.371296,(156),none
127,90.0064,(95),174.162,31.3271,0.4347,(124),4.93789,(66),none
128,69.0188,(70),198.887,29.6957,0.4572,(122),2.06318,(99),none
129,107.65,(117),159.252,29.6807,0.83,(74),1.64844,(110),none
130,152.287,(158),133.893,29.1413,1.926,(15),0.176852,(161),none
131,95.6935,(104),168.908,28.7123,0.8423,(71),1.80052,(105),none
132,98.5119,(107),166.474,28.4164,0.5984,(103),1.1474,(129),none
133,150.629,(157),134.628,25.2161,1.899,(16),0.316674,(158),none
134,120.785,(129),150.343,24.5914,0.345,(138),7.04158,(54),none
135,58.8797,(60),215.332,23.9587,1.4333,(30),1.03664,(134),none
136,81.4165,(82),183.119,23.9073,0.8531,(69),0.460274,(153),none
137,15.5439,(18),419.093,23.472,0.2059,(150),23.0268,(21),none
138,97.0038,(105),167.763,20.1987,1.2661,(39),0.497465,(152),none
139,100.05,(110),165.189,19.7927,0.3211,(141),7.23313,(53),none
140,89.4103,(93),174.742,19.6035,0.2635,(145),13.6687,(37),none
141,85.5109,(87),178.682,19.0292,0.3804,(133),4.13171,(73),none
142,67.6759,(68),200.851,18.2166,0.4845,(115),1.78209,(107),none
143,127.957,(138),146.069,17.2153,0.23,(146),17.3592,(29),none
144,18.8914,(21),380.153,14.6984,0.1828,(152),28.8601,(15),none
145,45.5232,(44),244.892,13.0925,0.5134,(109),1.72762,(108),none
146,14.9988,(17),426.641,12.297,0.7969,(79),3.16552,(85),none
147,45.9091,(45),243.86,8.15822,0.2074,(149),11.076,(45),none
148,89.6975,(94),174.462,6.42588,0.3649,(134),5.15885,(65),none
149,78.3164,(80),186.709,5.86827,0.4099,(127),1.09503,(130),none
150,121.653,(131),149.806,5.70173,0.125,(155),31.698,(13),none
151,153.764,(160),133.249,5.40395,0.222,(147),3.3718,(82),none
152,108.196,(118),158.849,5.36484,0.173,(153),14.6708,(33),none
153,123.985,(133),148.391,4.4765,0.081,(160),176.51,(2),none
154,97.6482,(106),167.209,4.21402,1.0911,(53),0.426986,(154),none
155,144.378,(152),137.512,4.15623,0.106,(156),58.4136,(9),none
156,153.424,(159),133.396,3.37135,0.55,(107),0.593455,(148),none
157,48.9885,(48),236.072,2.98856,0.0963,(158),59.2759,(8),none
158,10.0,(11),522.505,1.93818,0.15016,(154),5.36849,(63),none
159,99.7981,(109),165.398,1.57644,0.1023,(157),18.3932,(28),none
160,58.4382,(59),216.144,0.235647,0.0899,(159),5.50524,(62),none
161,136.033,(144),141.667,0.0,0.045,(161),198.169,(1),none
