Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,0.7798,(0),1920.34,5798.77,1.99889,(13),14.7927,(50),none
1,12.69,(14),476.035,2749.52,1.5638,(24),14.0682,(57),none
2,36.2191,(36),281.774,1789.91,1.8146,(18),9.63227,(93),none
3,5.3212,(6),735.131,1700.93,0.97188,(64),25.7549,(27),none
4,140.684,(148),142.971,1377.31,2.017,(12),9.68503,(92),none
5,22.885,(23),354.482,1288.32,2.9353,(3),7.61184,(157),none
6,2.46377,(1),1080.36,1245.51,0.78624,(80),39.3005,(13),none
7,72.0783,(74),199.741,1235.06,2.0682,(11),8.65164,(128),none
8,25.8294,(26),333.666,1176.64,1.0782,(54),14.4078,(54),none
9,8.6898,(9),575.261,1115.96,1.96791,(14),11.5736,(80),none
10,117.536,(126),156.417,997.264,3.884,(1),7.85108,(151),none
11,6.91637,(8),644.808,665.769,1.01654,(61),32.1138,(19),none
12,63.8726,(65),212.184,654.231,1.0632,(57),11.9782,(76),none
13,32.8863,(33),295.707,627.278,0.763,(84),20.8507,(38),none
14,147.401,(154),139.675,617.599,2.179,(9),9.03675,(110),none
15,60.7865,(62),217.503,617.546,0.9703,(65),13.8457,(58),none
16,38.9205,(39),271.819,612.244,1.2128,(41),12.197,(73),none
17,61.8218,(63),215.675,600.902,1.0327,(58),13.1804,(62),none
18,88.3864,(91),180.375,596.499,0.6569,(93),27.7963,(24),none
19,52.7601,(53),233.462,570.819,0.643,(96),17.9743,(44),none
20,34.3645,(34),289.278,563.496,1.6944,(21),8.96406,(116),none
21,62.5855,(64),214.355,559.872,0.6921,(91),21.9239,(33),none
22,25.0268,(25),338.975,522.3,0.8899,(66),14.6743,(52),none
23,13.7532,(15),457.265,505.21,0.4282,(126),72.0779,(6),none
24,130.149,(139),148.645,493.71,3.052,(2),7.86884,(150),none
25,138.65,(147),144.016,468.654,1.097,(52),9.26014,(103),none
26,26.8296,(27),327.388,443.011,0.5026,(112),35.4851,(16),none
27,3.5315,(3),902.381,442.591,0.46964,(119),64.73,(9),none
28,17.9142,(20),400.655,440.436,2.7154,(4),7.95168,(147),none
29,135.289,(143),145.794,433.625,1.773,(19),8.2077,(141),none
30,49.6746,(49),240.604,413.706,1.4543,(28),8.02391,(145),none
31,19.9551,(22),379.614,405.356,1.0699,(56),8.18396,(143),none
32,144.976,(153),140.839,385.019,1.139,(50),10.3414,(89),none
33,105.995,(115),164.713,380.933,1.505,(26),8.77184,(124),none
34,101.204,(111),168.566,374.604,1.823,(17),8.13616,(144),none
35,123.014,(132),152.895,363.18,2.263,(7),8.19239,(142),none
36,65.3925,(66),209.704,352.573,2.2332,(8),8.58759,(133),none
37,4.14282,(4),833.147,334.116,0.39756,(131),78.8841,(5),none
38,103.998,(113),166.287,317.979,1.363,(33),8.61125,(130),none
39,89.0699,(92),179.682,313.471,0.4753,(117),37.45,(14),none
40,136.705,(145),145.037,310.649,1.191,(43),9.56682,(94),none
41,110.698,(122),161.176,303.404,0.717,(89),16.9946,(46),none
42,102.846,(112),167.215,287.841,1.282,(37),8.9666,(115),none
43,75.3393,(77),195.37,284.572,1.1807,(44),9.1464,(106),none
44,47.9804,(47),244.815,282.915,2.1403,(10),7.32236,(159),none
45,6.26373,(7),677.569,278.412,0.27458,(144),416.156,(0),none
46,55.4784,(56),227.671,276.222,1.5061,(25),9.11765,(107),none
47,93.3869,(100),175.48,267.129,0.7862,(81),14.5515,(53),none
48,14.6555,(16),442.965,265.482,0.7498,(85),12.6331,(66),none
49,24.0747,(24),345.612,257.899,0.6194,(99),13.8124,(59),none
50,109.552,(120),162.017,255.155,0.841,(72),13.3979,(60),none
51,37.723,(38),276.1,253.524,0.4907,(113),41.0922,(12),none
52,147.955,(155),139.414,250.53,0.799,(78),9.84763,(91),none
53,141.749,(149),142.433,236.892,0.62,(98),19.1386,(39),none
54,149.227,(156),138.818,232.955,0.769,(83),12.3767,(68),none
55,143.002,(150),141.807,229.976,1.279,(38),9.98415,(90),none
56,3.13807,(2),957.279,229.241,0.58996,(105),33.1268,(18),none
57,54.3638,(55),229.993,227.311,1.1805,(45),12.2804,(71),none
58,87.2639,(89),181.532,217.296,1.1566,(47),8.81668,(120),none
59,114.083,(125),158.767,215.696,1.25,(40),9.02142,(111),none
60,11.6657,(13),496.494,214.19,0.3556,(136),35.962,(15),none
61,120.086,(128),154.747,202.697,1.329,(34),8.84611,(119),none
62,92.6514,(99),176.175,201.822,0.4785,(116),26.5804,(26),none
63,32.1014,(32),299.301,200.208,0.3909,(132),18.9952,(40),none
64,66.9847,(67),207.196,193.673,1.0724,(55),9.2921,(100),none
65,58.1069,(58),222.462,190.352,1.6409,(23),7.9759,(146),none
66,108.588,(119),162.734,187.297,0.779,(82),10.4761,(88),none
