Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,21.0596,(1),360.052,4659.26,56.3281,(9),15396.9,(0),none
1,4.15,(0),811.085,1490.14,8.20313,(35),10940.8,(1),none
2,114.47,(2),154.435,1489.09,69.3129,(5),1873.68,(2),none
3,248.664,(3),104.781,766.928,107.299,(0),414.799,(5),none
4,376.557,(4),85.1482,375.566,40.227,(16),380.851,(7),none
5,484.728,(6),75.0484,360.254,37.734,(18),260.347,(12),none
6,428.889,(5),79.7844,349.33,44.602,(14),295.464,(11),none
7,578.591,(7),68.6918,265.06,59.605,(6),195.626,(17),none
8,919.183,(10),54.4991,234.372,38.644,(17),140.208,(35),none
9,655.576,(8),64.5326,202.872,43.256,(15),160.995,(26),none
10,1008.4,(11),52.0324,174.248,49.632,(12),233.873,(13),none
11,1162.5,(12),48.4612,148.252,83.35,(2),182.153,(20),none
12,759.849,(9),59.9414,143.499,57.329,(7),112.814,(46),none
13,1502.89,(17),42.6213,104.203,53.34,(11),143.718,(33),none
14,1514.83,(18),42.453,103.282,35.25,(21),183.803,(19),none
15,2329.49,(25),34.2342,84.1803,72.57,(3),105.027,(50),none
16,2413.17,(26),33.6354,68.8978,70.19,(4),190.427,(18),none
17,2531.39,(27),32.8406,66.3339,36.57,(19),157.285,(28),none
18,1794.19,(21),39.0083,62.5387,101.16,(1),179.595,(21),none
19,1582.29,(19),41.5382,59.9524,55.01,(10),374.664,(8),none
20,2608.32,(28),32.3527,57.8601,32.0,(24),169.341,(24),none
21,3204.44,(32),29.1887,51.3043,17.5,(33),114.807,(44),none
22,1647.55,(20),40.7072,48.7983,35.07,(22),389.394,(6),none
23,1327.69,(15),45.3464,32.7793,36.22,(20),313.239,(10),none
24,3121.52,(31),29.5738,27.1594,26.77,(29),210.859,(14),none
25,3788.59,(35),26.8443,27.1331,34.89,(23),170.574,(23),none
26,4369.19,(39),24.9971,23.5906,31.9,(25),108.028,(48),none
27,4130.68,(37),25.7087,18.524,49.63,(13),150.597,(29),none
28,1923.36,(22),37.6756,16.8246,27.76,(28),201.788,(15),none
29,5718.11,(44),21.8507,16.6227,56.42,(8),114.968,(43),none
30,4742.26,(42),23.9937,16.4625,30.74,(26),128.057,(38),none
31,5685.31,(43),21.9136,13.2299,27.79,(27),114.242,(45),none
32,2989.19,(30),30.2214,10.7305,22.39,(30),143.326,(34),none
33,8125.2,(51),18.3305,9.39225,15.32,(34),102.677,(53),none
34,6901.5,(49),19.8893,8.68455,18.31,(32),104.411,(51),none
35,8893.93,(52),17.5204,8.16847,19.49,(31),107.926,(49),none
36,1276.09,(13),46.2541,0.0,0.01,(50),487.068,(3),none
37,1287.58,(14),46.0472,0.0,0.01,(51),418.428,(4),none
38,1408.86,(16),44.0207,0.0,0.01,(52),335.525,(9),none
39,2104.43,(23),36.0183,0.0,0.01,(53),161.121,(25),none
40,2202.57,(24),35.2067,0.0,0.01,(36),149.698,(30),none
41,2723.34,(29),31.6621,0.0,0.01,(37),131.292,(37),none
42,3344.81,(33),28.5697,0.0,0.01,(54),196.771,(16),none
43,3718.38,(34),27.0965,0.0,0.01,(38),159.497,(27),none
44,3997.01,(36),26.135,0.0,0.01,(39),146.463,(32),none
45,4326.85,(38),25.1191,0.0,0.01,(40),146.897,(31),none
46,4494.8,(40),24.6454,0.0,0.01,(41),117.256,(42),none
47,4607.13,(41),24.3431,0.0,0.01,(42),131.914,(36),none
48,5883.38,(45),21.5416,0.0,0.01,(43),100.723,(54),none
49,6022.25,(46),21.2917,0.0,0.01,(44),109.148,(47),none
50,6325.46,(47),20.7752,0.0,0.01,(45),171.159,(22),none
51,6355.55,(48),20.7259,0.0,0.01,(46),103.237,(52),none
52,6954.06,(50),19.814,0.0,0.01,(47),127.065,(39),none
53,9072.73,(53),17.3469,0.0,0.01,(48),122.678,(40),none
54,9732.69,(54),16.7484,0.0,0.01,(49),118.883,(41),none
