Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,184.209,(1),124.944,6038.53,1.575,(68),12203.3,(0),none
1,1086.06,(8),51.4568,3205.02,4.55,(27),2204.89,(3),none
2,799.997,(5),59.955,2505.71,2.791,(55),2665.1,(1),none
3,1401.44,(11),45.2984,2414.21,4.57,(26),1676.96,(5),none
4,2093.31,(19),37.0641,2217.41,6.21,(11),1147.94,(9),none
5,957.764,(6),54.7949,1704.77,2.547,(58),2008.05,(4),none
6,681.727,(4),64.9478,1379.07,1.778,(67),2242.0,(2),none
7,6123.54,(48),21.6705,1267.79,12.24,(0),409.232,(23),none
8,1261.27,(10),47.7492,1243.28,2.61,(57),1445.18,(6),none
9,1515.04,(13),43.567,1138.63,2.86,(52),1218.22,(8),none
10,3809.65,(35),27.4743,1093.39,5.98,(13),583.623,(17),none
11,5886.86,(47),22.1018,937.371,7.86,(8),387.664,(24),none
12,1792.56,(16),40.0528,928.526,2.93,(51),949.283,(11),none
13,7475.06,(58),19.6138,862.388,9.12,(1),309.351,(34),none
14,3738.98,(34),27.7328,859.284,4.99,(21),548.12,(18),none
15,2924.55,(26),31.3574,853.056,4.06,(34),638.794,(14),none
16,2046.09,(18),37.4893,838.482,3.09,(48),782.004,(13),none
17,7051.27,(54),20.1946,838.071,8.36,(7),318.227,(33),none
18,3204.86,(30),29.9547,789.555,4.16,(31),588.43,(16),none
19,7553.58,(59),19.5116,770.611,8.38,(6),294.703,(36),none
20,8461.37,(63),18.4353,751.745,8.87,(2),256.992,(42),none
21,8554.15,(64),18.335,684.666,8.49,(5),252.977,(44),none
22,4187.84,(37),26.2044,669.728,4.69,(24),428.644,(22),none
23,2412.54,(22),34.5249,667.216,3.14,(47),633.067,(15),none
24,3458.76,(32),28.8343,666.377,4.03,(36),510.526,(21),none
25,1424.44,(12),44.9312,651.226,2.15,(62),954.069,(10),none
26,5092.28,(44),23.7637,631.698,5.25,(16),361.246,(27),none
27,9377.16,(71),17.5119,609.134,8.79,(3),235.505,(48),none
28,9051.06,(69),17.8246,605.906,8.71,(4),264.348,(40),none
29,8173.05,(61),18.7576,572.759,7.25,(9),247.463,(46),none
30,2622.56,(25),33.1136,552.725,3.08,(49),540.597,(19),none
31,1133.08,(9),50.3778,479.884,1.78,(66),802.652,(12),none
32,5191.15,(45),23.5363,435.641,4.51,(28),291.901,(37),none
33,310.775,(2),96.1937,425.455,0.901,(71),1314.8,(7),none
34,3541.25,(33),28.4965,421.415,3.44,(42),368.393,(26),none
35,3184.43,(29),30.0507,412.135,3.28,(45),354.762,(28),none
36,4930.85,(42),24.1495,383.877,4.13,(32),281.121,(38),none
37,2984.22,(27),31.0423,367.12,3.02,(50),354.519,(29),none
38,2541.45,(24),33.6379,364.838,2.76,(56),381.436,(25),none
39,4805.03,(41),24.4637,362.125,4.06,(33),260.754,(41),none
40,9848.61,(72),17.0876,337.573,6.42,(10),158.404,(56),none
41,4251.78,(38),26.0066,333.227,3.69,(40),265.446,(39),none
42,7307.28,(56),19.8377,332.38,5.16,(17),190.119,(50),none
43,9289.32,(70),17.5945,329.336,6.06,(12),166.674,(54),none
44,7782.04,(60),19.2231,278.986,5.09,(19),167.293,(53),none
45,7126.0,(55),20.0885,270.805,4.76,(23),174.182,(52),none
46,8895.39,(67),17.9799,262.963,5.61,(14),134.459,(61),none
47,6793.49,(52),20.5742,258.156,4.65,(25),162.377,(55),none
48,2460.21,(23),34.1888,246.923,2.46,(59),305.562,(35),none
49,2253.3,(21),35.724,246.362,2.32,(60),327.815,(32),none
50,8989.11,(68),17.8859,234.25,5.31,(15),130.162,(62),none
51,1655.33,(15),41.68,225.844,2.01,(64),333.486,(30),none
52,6479.33,(50),21.0671,208.456,4.45,(30),135.549,(59),none
53,3134.63,(28),30.2884,199.023,2.81,(54),206.837,(49),none
54,2211.86,(20),36.0571,193.573,2.31,(61),250.053,(45),none
55,8748.0,(66),18.1307,185.637,5.12,(18),107.29,(70),none
56,6233.74,(49),21.4781,184.383,4.02,(37),148.758,(57),none
57,8316.92,(62),18.5947,183.602,4.82,(22),118.345,(66),none
58,8605.97,(65),18.2797,179.024,5.01,(20),113.909,(68),none
59,1921.04,(17),38.6903,172.65,2.13,(63),235.811,(47),none
60,423.331,(3),82.4194,171.39,0.979,(70),513.759,(20),none
61,3234.5,(31),29.8172,168.735,2.85,(53),180.831,(51),none
62,7338.08,(57),19.796,164.834,4.49,(29),109.319,(69),none
63,5808.31,(46),22.2508,164.449,3.91,(39),121.337,(65),none
64,4549.33,(39),25.1418,148.056,3.31,(43),135.833,(58),none
65,5056.54,(43),23.8475,143.081,3.48,(41),122.402,(64),none
66,4010.05,(36),26.779,142.811,3.16,(46),134.681,(60),none
67,6965.85,(53),20.3181,134.74,4.04,(35),102.418,(72),none
68,4617.77,(40),24.9548,133.731,3.31,(44),122.9,(63),none
69,6551.74,(51),20.9504,131.453,3.95,(38),103.936,(71),none
70,999.043,(7),53.651,118.541,1.434,(69),253.037,(43),none
71,1553.55,(14),43.0236,61.9141,1.79,(65),116.451,(67),none
72,101.951,(0),167.948,50.2187,0.453,(72),332.887,(31),none
