Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,7.65625,(1),597.149,273.927,6.23844,(21),1.18462,(95),none
1,71.2124,(15),195.8,261.754,3.2819,(71),5.54622,(35),none
2,2.97033,(0),958.712,241.816,4.21686,(52),3.47233,(54),none
3,111.965,(27),156.153,237.107,4.568,(46),3.74428,(51),none
4,43.993,(9),249.114,204.83,7.2359,(10),0.617865,(138),none
5,13.9459,(2),442.453,164.062,4.3471,(50),1.18405,(96),none
6,26.1531,(6),323.094,155.647,6.4978,(18),0.516227,(144),none
7,158.259,(41),131.343,145.439,3.464,(67),4.21374,(45),none
8,36.0809,(8),275.076,140.099,4.6784,(42),1.21376,(94),none
9,230.779,(59),108.766,139.74,4.625,(43),70.9922,(2),none
10,125.672,(31),147.391,132.789,4.182,(53),2.22619,(68),none
11,133.686,(34),142.905,122.689,3.864,(56),2.36784,(64),none
12,65.4572,(14),204.226,122.277,5.107,(34),1.40426,(85),none
13,101.037,(24),164.381,118.925,6.2021,(22),1.34632,(88),none
14,139.273,(35),140.009,115.729,3.388,(68),2.73118,(59),none
15,466.39,(114),76.5096,113.038,6.036,(24),0.720078,(126),none
16,92.5079,(22),171.791,100.9,3.1315,(76),2.1822,(70),none
17,50.208,(10),233.187,93.0705,5.1704,(32),0.726455,(124),none
18,97.876,(23),167.014,89.4294,2.3731,(92),3.424,(55),none
19,33.3581,(7),286.082,83.5424,1.4632,(134),5.64859,(33),none
20,74.2651,(16),191.734,75.6607,0.6066,(175),52.201,(4),none
21,188.683,(49),120.289,72.9725,7.087,(11),0.485654,(147),none
22,62.5661,(13),208.892,70.0157,1.7702,(125),4.12599,(46),none
23,56.0608,(11),220.679,68.2783,4.5889,(45),0.977694,(108),none
24,59.5014,(12),214.204,63.8926,1.4461,(135),5.71641,(32),none
25,175.453,(46),124.741,61.7098,3.853,(57),1.37124,(86),none
26,120.032,(30),150.814,59.443,1.334,(145),10.0566,(18),none
27,426.225,(107),80.0334,57.9844,8.903,(7),0.631925,(136),none
28,269.0,(70),100.743,56.112,2.798,(88),2.0763,(71),none
29,162.706,(42),129.536,55.4548,2.017,(113),3.80412,(50),none
30,454.971,(112),77.4638,54.2946,9.785,(5),0.46751,(148),none
31,476.492,(115),75.6942,53.1208,10.79,(2),0.244591,(173),none
32,207.404,(53),114.731,52.7569,5.017,(37),0.663351,(131),none
33,247.464,(63),105.035,51.6527,5.211,(31),0.75064,(121),none
34,215.398,(55),112.582,50.089,5.019,(36),0.685265,(130),none
35,436.573,(109),79.0792,49.9737,4.089,(54),1.68959,(80),none
36,220.913,(56),111.168,49.9417,3.355,(69),1.59452,(82),none
37,16.6071,(3),405.456,48.9008,1.0704,(161),5.96884,(29),none
38,145.36,(37),137.047,47.5229,2.342,(93),2.32311,(66),none
39,81.842,(19),182.643,47.2744,5.1352,(33),0.864612,(114),none
40,227.957,(58),109.437,46.3091,4.565,(47),0.954881,(110),none
41,76.9472,(17),188.362,45.8551,2.2642,(95),3.21063,(57),none
42,327.016,(84),91.3705,45.4936,4.552,(48),1.03272,(102),none
43,107.356,(25),159.469,42.7532,1.08,(160),12.9176,(13),none
44,142.285,(36),138.52,42.1794,1.419,(136),5.22019,(37),none
45,442.292,(110),78.5663,41.7274,5.077,(35),1.00892,(104),none
46,263.07,(69),101.872,38.4148,5.266,(30),0.843845,(116),none
47,232.977,(60),108.252,37.6795,3.679,(63),1.11331,(97),none
48,503.359,(118),73.6464,35.1988,13.696,(1),0.113995,(189),none
49,320.283,(82),92.3259,35.1165,1.718,(126),3.96144,(48),none
50,313.162,(80),93.3697,34.6305,6.305,(19),0.717513,(127),none
51,18.0741,(4),388.653,34.5343,0.6461,(171),11.6993,(17),none
52,200.443,(52),116.707,33.7577,4.468,(49),0.516091,(145),none
53,277.3,(71),99.2238,33.2986,6.902,(12),0.283095,(162),none
54,181.873,(48),122.52,33.1161,2.166,(102),2.0356,(75),none
55,149.03,(38),135.349,32.4111,2.823,(86),1.33817,(90),none
56,115.713,(28),153.603,31.6627,0.555,(180),33.471,(6),none
57,22.9749,(5),344.718,30.7877,5.6765,(27),0.438101,(149),none
58,240.053,(61),106.644,30.6421,3.645,(64),1.0255,(103),none
59,594.325,(135),67.7764,30.619,2.993,(80),2.0403,(74),none
60,179.74,(47),123.245,30.4921,1.2,(152),4.75937,(42),none
61,154.448,(40),132.953,28.9689,1.139,(156),7.38268,(27),none
62,491.009,(117),74.5669,28.645,8.888,(8),0.190037,(181),none
63,347.495,(89),88.6373,28.5996,6.283,(20),0.253333,(168),none
64,395.854,(101),83.0469,28.3862,6.084,(23),0.388161,(154),none
65,169.677,(44),126.847,27.8771,2.397,(91),1.3177,(91),none
66,566.77,(130),69.4044,27.8034,6.81,(14),0.279752,(163),none
67,682.299,(156),63.2562,27.0751,10.487,(3),0.141498,(185),none
68,86.2946,(20),177.868,26.6281,1.6896,(128),2.04398,(73),none
69,533.077,(123),71.5642,25.7126,2.205,(99),2.25057,(67),none
70,305.816,(78),94.4845,25.3767,1.56,(132),4.03844,(47),none
71,416.302,(106),80.9816,25.3285,3.219,(72),1.09759,(99),none
72,285.673,(73),97.7589,24.642,5.637,(29),0.285954,(161),none
73,331.87,(85),90.6999,24.1594,1.145,(154),7.39906,(26),none
74,256.768,(67),103.115,24.0171,0.776,(165),18.0788,(10),none
75,323.26,(83),91.8998,23.7394,1.213,(151),5.00724,(41),none
76,540.374,(124),71.0794,23.5956,5.958,(25),0.300827,(158),none
77,631.778,(144),65.7368,23.5244,6.734,(15),0.224014,(177),none
78,130.376,(33),144.708,23.2386,1.115,(158),4.31171,(44),none
79,524.994,(122),72.113,22.9415,6.874,(13),0.302484,(157),none
80,404.518,(103),82.1527,22.4392,1.343,(144),5.01481,(40),none
81,701.778,(159),62.3722,22.3242,6.648,(16),0.234996,(176),none
82,293.14,(74),96.5057,22.265,1.975,(117),1.53498,(84),none
83,259.285,(68),102.613,21.4829,1.143,(155),5.83617,(30),none
84,108.446,(26),158.666,20.5347,0.48,(186),34.2687,(5),none
85,401.07,(102),82.5051,19.9086,1.702,(127),2.60841,(61),none
86,558.642,(129),69.9075,18.8096,2.2,(100),1.34849,(87),none
87,89.4642,(21),174.689,18.0863,3.1595,(73),0.988689,(106),none
88,691.551,(157),62.8317,17.3839,2.954,(82),0.707148,(128),none
89,722.5,(162),61.4712,17.2674,6.627,(17),0.139241,(186),none
