Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,0.875,(0),1812.87,440.513,1.99625,(260),26.9791,(43),['75-Re-185_n-tot']
1,446.854,(192),80.2208,419.077,6.78,(40),10.7954,(369),['75-Re-187_n-tot']
2,3.77272,(1),873.057,410.965,1.96543,(265),16.8244,(87),['75-Re-185_n-tot']
3,494.373,(203),76.268,355.437,6.93,(38),9.60823,(425),['75-Re-187_n-tot']
4,159.705,(80),134.187,288.163,3.524,(149),30.927,(34),['75-Re-187_n-tot']
5,229.7,(112),111.889,228.519,4.575,(97),117.337,(8),['75-Re-185_n-tot']
6,228.287,(111),112.235,227.456,4.658,(91),6.9824,(472),['75-Re-185_n-tot']
7,757.661,(266),61.6073,208.997,4.651,(92),12.4464,(165),['75-Re-187_n-tot']
8,158.684,(79),134.618,195.898,3.458,(155),12.6669,(153),['75-Re-187_n-tot']
9,230.94,(113),111.589,191.158,4.578,(96),94.7584,(12),['75-Re-185_n-tot']
10,650.512,(240),66.4878,188.235,5.924,(58),10.9256,(350),['75-Re-187_n-tot']
11,123.539,(60),152.569,166.658,1.598,(314),30.625,(35),['75-Re-187_n-tot']
12,726.304,(259),62.9232,164.93,6.774,(41),10.6365,(396),['75-Re-187_n-tot']
13,125.47,(61),151.391,145.761,3.097,(172),13.3489,(128),['75-Re-187_n-tot']
14,163.902,(82),132.458,136.977,2.728,(198),105.045,(11),['75-Re-187_n-tot']
15,102.982,(51),167.105,136.817,4.243,(115),5.65909,(488),['75-Re-187_n-tot']
16,379.465,(172),87.053,133.478,1.647,(308),17.6235,(80),['75-Re-185_n-tot']
17,1896.85,(478),38.9362,129.125,11.9,(7),11.1297,(304),['75-Re-187_n-tot']
18,71.5931,(36),200.417,128.049,2.2448,(241),10.3467,(413),['75-Re-187_n-tot']
19,515.81,(207),74.6663,125.807,4.368,(108),14.444,(105),['75-Re-187_n-tot']
20,9.39942,(4),553.12,118.158,3.48286,(152),8.50767,(443),['75-Re-187_n-tot']
21,1928.56,(481),38.6147,117.29,15.47,(1),10.7218,(381),['75-Re-187_n-tot']
22,256.936,(124),105.793,113.3,1.182,(377),49.2024,(22),['75-Re-187_n-tot']
23,112.625,(55),159.791,111.517,3.468,(154),10.9766,(338),['75-Re-187_n-tot']
24,781.989,(273),60.6414,110.089,6.683,(43),12.3725,(171),['75-Re-187_n-tot']
25,501.296,(205),75.7395,105.201,8.68,(19),18.1391,(75),['75-Re-185_n-tot']
26,198.091,(99),120.486,103.862,2.633,(203),66.6817,(15),['75-Re-185_n-tot']
27,269.879,(129),103.225,103.148,2.818,(190),11.0117,(328),['75-Re-187_n-tot']
28,1970.06,(489),38.2059,102.332,9.51,(16),20.1332,(65),['75-Re-187_n-tot']
29,308.886,(144),96.4874,101.722,2.625,(205),31.6988,(33),['75-Re-187_n-tot']
30,174.034,(87),128.544,101.711,3.923,(132),40.2426,(24),['75-Re-187_n-tot']
31,1429.77,(396),44.8473,99.9488,6.08,(53),10.6078,(404),['75-Re-187_n-tot']
32,106.975,(52),163.956,98.0868,1.072,(402),166.396,(5),['75-Re-187_n-tot']
33,1885.86,(477),39.0495,97.8368,11.49,(8),13.8543,(118),['75-Re-187_n-tot']
34,1114.05,(334),50.8063,97.5809,5.41,(68),10.546,(405),['75-Re-187_n-tot']
35,97.5958,(48),171.654,96.7694,1.9308,(267),11.4673,(249),['75-Re-187_n-tot']
36,243.481,(118),108.677,96.569,1.335,(352),339.972,(0),['75-Re-185_n-tot']
37,59.7486,(30),219.384,95.6506,1.5853,(316),13.4394,(123),['75-Re-187_n-tot']
38,316.107,(146),95.379,93.3691,4.006,(129),8.72397,(439),['75-Re-185_n-tot']
39,1386.93,(389),45.5347,91.3601,8.08,(22),10.8869,(356),['75-Re-187_n-tot']
40,176.863,(88),127.512,90.6573,3.887,(135),7.60544,(464),['75-Re-187_n-tot']
41,310.328,(145),96.263,85.3474,2.63,(204),19.6374,(70),['75-Re-185_n-tot']
42,33.6047,(19),292.53,80.2357,0.9591,(422),23.0997,(50),['75-Re-185_n-tot']
43,120.011,(59),154.796,79.6354,1.337,(350),11.7657,(213),['75-Re-187_n-tot']
44,663.46,(244),65.8358,77.66,3.037,(176),10.6659,(392),['75-Re-187_n-tot']
45,40.691,(22),265.84,75.1293,1.5876,(315),10.7447,(376),['75-Re-187_n-tot']
46,437.745,(191),81.0511,74.0308,2.534,(213),11.1908,(289),['75-Re-187_n-tot']
47,107.602,(53),163.478,73.5769,1.176,(379),30.4962,(36),['75-Re-187_n-tot']
48,1443.1,(399),44.6397,73.5615,5.22,(72),11.1492,(297),['75-Re-187_n-tot']
49,222.629,(109),113.652,72.4954,1.101,(398),12.1009,(191),['75-Re-187_n-tot']
50,74.1662,(37),196.91,71.4753,0.472,(471),112.502,(9),['75-Re-187_n-tot']
51,52.6319,(27),233.747,66.6927,1.35,(347),13.3175,(129),['75-Re-185_n-tot']
52,838.372,(282),58.5668,65.9166,2.875,(185),11.2042,(286),['75-Re-187_n-tot']
53,162.91,(81),132.86,65.6328,2.024,(259),14.5645,(104),['75-Re-187_n-tot']
