Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,44.6241,(17),253.855,1282.17,3.1608,(36),29.2974,(33),none
1,411.384,(168),83.6077,1091.13,2.185,(70),743.754,(0),none
2,4.29034,(1),818.698,770.648,1.28626,(117),60.7744,(18),none
3,5.91513,(2),697.249,766.399,1.19082,(125),78.2977,(15),none
4,73.8571,(26),197.321,709.841,2.9495,(41),505.449,(2),none
5,8.69581,(3),575.062,635.359,2.92275,(43),17.1064,(51),none
6,40.1534,(16),267.614,621.84,1.7642,(91),29.6087,(32),none
7,142.638,(51),141.988,620.261,3.279,(31),7.34834,(141),none
8,12.2438,(5),484.631,619.031,2.6892,(56),16.6058,(54),none
9,1.3125,(0),1480.2,592.642,3.30258,(30),15.06,(61),none
10,169.187,(63),130.373,561.305,2.022,(81),33.6117,(29),none
11,147.166,(52),139.787,499.646,3.006,(39),13.3465,(71),none
12,310.034,(127),96.3086,452.335,4.107,(11),6.88324,(152),none
13,206.372,(76),118.044,436.762,2.849,(50),7.20546,(144),none
14,178.206,(64),127.031,412.752,7.928,(0),7.47526,(135),none
15,60.5679,(22),217.896,412.187,3.5848,(22),14.4949,(63),none
16,24.3626,(9),343.564,378.244,5.78,(2),5.7417,(159),none
17,139.773,(50),143.436,375.563,2.642,(57),8.45724,(124),none
18,410.336,(167),83.7144,315.39,2.013,(82),14.4864,(64),none
19,210.253,(77),116.95,304.218,2.488,(63),16.574,(55),none
20,313.401,(128),95.7899,298.484,1.771,(90),23.4479,(39),none
21,17.7966,(7),401.977,291.581,4.9443,(4),7.58619,(132),none
22,234.796,(91),110.669,281.498,1.215,(122),46.9955,(21),none
23,229.332,(87),111.979,280.0,2.915,(45),5.70762,(160),none
24,66.8262,(23),207.442,279.637,4.0192,(13),11.6022,(82),none
25,414.15,(169),83.328,274.368,2.505,(61),28.3679,(36),none
26,193.405,(71),121.937,272.959,1.334,(114),18.4339,(48),none
27,49.9099,(19),240.036,265.045,3.7033,(17),15.8504,(59),none
28,195.943,(72),121.145,259.655,2.137,(76),14.5551,(62),none
29,381.558,(155),86.8139,247.431,2.526,(60),16.0368,(58),none
30,246.872,(99),107.928,243.355,1.205,(123),53.3962,(19),none
31,199.028,(73),120.202,235.405,3.263,(32),7.42589,(139),none
32,181.385,(66),125.913,201.004,1.497,(107),13.3477,(70),none
33,237.487,(93),110.04,199.098,1.498,(106),34.6344,(27),none
34,395.718,(159),85.2466,197.977,2.597,(58),12.1614,(77),none
35,363.591,(148),88.933,190.608,4.811,(6),6.22239,(155),none
36,106.935,(38),163.987,189.489,3.696,(18),7.53262,(133),none
37,219.087,(80),114.568,186.07,3.332,(28),8.81077,(114),none
38,135.868,(49),145.483,184.406,2.595,(59),4.9269,(169),none
39,81.0515,(29),188.36,182.339,3.7876,(14),11.2264,(86),none
40,387.828,(156),86.1093,180.78,6.229,(1),8.48175,(121),none
41,28.1694,(10),319.507,180.337,1.0059,(133),40.5783,(24),none
42,190.749,(70),122.783,179.249,2.973,(40),5.23111,(167),none
43,325.168,(133),94.0407,178.092,1.416,(111),37.8491,(25),none
44,243.274,(95),108.723,176.861,4.938,(5),7.24404,(143),none
45,293.787,(121),98.9358,176.399,3.371,(27),9.24248,(109),none
46,165.813,(61),131.692,174.308,3.63,(19),5.74442,(158),none
47,377.556,(154),87.2728,167.047,2.048,(79),7.01578,(148),none
48,392.32,(158),85.6149,165.849,2.858,(49),7.17993,(145),none
49,396.831,(160),85.1269,164.053,1.552,(102),72.4862,(16),none
50,305.749,(125),96.9811,163.642,2.308,(66),7.28832,(142),none
51,287.436,(118),100.023,153.043,1.947,(85),14.124,(68),none
52,333.874,(136),92.8065,152.177,4.191,(10),8.59638,(118),none
53,72.0709,(25),199.751,151.37,2.82,(52),9.89839,(100),none
54,366.472,(149),88.5828,150.828,2.058,(78),9.30485,(107),none
55,203.687,(75),118.82,148.96,2.501,(62),7.46313,(136),none
56,281.577,(115),101.058,148.754,2.892,(46),7.71243,(131),none
