Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,44.68,(1),247.192,3608.31,17.4955,(29),8054.22,(0),none
1,22.38,(0),349.269,2016.89,22.3013,(16),7012.02,(1),none
2,137.89,(4),140.71,1474.47,41.592,(2),1482.32,(3),none
3,66.28,(2),202.955,1207.42,18.2953,(27),2795.21,(2),none
4,342.4,(11),89.2943,645.236,35.664,(5),409.722,(9),none
5,201.87,(7),116.293,621.019,43.659,(1),862.652,(5),none
6,281.02,(9),98.5649,608.249,24.632,(12),676.565,(6),none
7,370.0,(12),85.8993,469.9,15.748,(30),468.061,(7),none
8,89.68,(3),174.479,442.393,21.23,(18),943.428,(4),none
9,380.0,(13),84.7615,439.617,20.908,(19),443.691,(8),none
10,423.1,(15),80.3284,374.323,22.68,(15),373.918,(11),none
11,567.8,(18),69.3415,346.765,41.412,(3),265.147,(14),none
12,521.0,(17),72.3889,337.025,40.726,(4),288.562,(13),none
13,313.37,(10),93.3387,319.553,18.777,(24),380.587,(10),none
14,643.5,(21),65.1353,316.841,10.987,(31),204.248,(18),none
15,655.3,(22),64.5462,313.264,18.399,(26),203.929,(19),none
16,679.7,(23),63.3771,300.205,53.521,(0),203.613,(20),none
17,634.7,(20),65.5853,277.793,20.056,(21),226.32,(16),none
18,868.5,(27),56.0668,253.527,29.997,(9),124.855,(25),none
19,837.1,(26),57.1087,239.463,27.798,(11),152.703,(23),none
20,416.81,(14),80.9323,232.7,17.788,(28),255.87,(15),none
21,249.48,(8),104.61,218.381,20.886,(20),295.978,(12),none
22,763.0,(24),59.8175,216.888,35.14,(6),162.086,(22),none
23,980.0,(29),52.781,212.217,34.396,(8),102.713,(31),none
24,1037.5,(31),51.2976,189.501,19.96,(22),115.265,(30),none
25,1023.8,(30),51.6396,188.043,23.1,(14),117.196,(28),none
26,604.6,(19),67.198,186.908,23.507,(13),164.627,(21),none
27,891.3,(28),55.345,173.323,21.481,(17),123.897,(27),none
28,796.8,(25),58.5351,150.671,28.265,(10),116.331,(29),none
29,169.67,(6),126.849,125.703,18.677,(25),206.692,(17),none
30,452.05,(16),77.7137,120.322,34.987,(7),124.834,(26),none
31,145.24,(5),137.103,53.8284,19.55,(23),140.3,(24),none
