Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,17.7221,(2),392.494,16141.8,7.2815,(34),2.31787,(70),none
1,55.2753,(11),222.241,6177.1,11.1375,(10),2.62782,(62),none
2,5.27679,(0),719.293,5744.62,9.07015,(19),2.91871,(59),none
3,45.433,(8),245.135,3982.03,3.9542,(85),9.46323,(37),none
4,142.328,(29),138.499,2481.48,6.245,(40),4.57397,(49),none
5,42.1044,(7),254.64,2419.06,2.5788,(116),16.5859,(26),none
6,95.2087,(18),169.337,1749.01,5.8231,(50),4.13201,(52),none
7,106.249,(20),160.298,1747.92,3.26,(100),14.7244,(28),none
8,102.62,(19),163.108,1634.52,5.1458,(61),6.17384,(44),none
9,133.54,(28),142.983,1570.3,5.375,(56),5.02727,(48),none
10,84.9104,(16),179.312,1534.64,6.0634,(42),1.41713,(89),none
11,241.836,(48),106.25,1466.31,7.964,(23),1.40374,(90),none
12,563.562,(96),69.6017,1388.44,16.868,(2),0.250054,(156),none
13,184.681,(37),121.585,1380.98,9.877,(13),0.748562,(120),none
14,24.1204,(3),336.433,1354.44,5.8739,(46),1.08389,(101),none
15,49.1393,(9),235.709,1305.88,1.889,(130),24.5428,(18),none
16,131.286,(27),144.205,1300.96,4.641,(70),6.52805,(43),none
17,151.956,(30),134.039,1300.03,9.641,(15),1.06017,(102),none
18,159.283,(31),130.92,1158.13,8.268,(22),0.852105,(115),none
19,10.663,(1),506.001,1108.56,1.95529,(128),14.5947,(29),none
20,492.328,(87),74.4669,960.096,12.975,(6),0.248729,(157),none
21,221.85,(44),110.933,948.502,7.609,(28),1.9079,(80),none
22,359.288,(67),87.1705,892.708,17.298,(1),0.196175,(166),none
23,91.5062,(17),172.729,891.677,2.4409,(119),8.7118,(39),none
24,305.75,(58),94.4947,887.028,12.102,(7),0.208778,(164),none
25,414.134,(76),81.1933,867.966,9.557,(16),1.7969,(82),none
26,519.104,(89),72.521,782.761,32.945,(0),0.0644859,(172),none
27,261.586,(51),102.161,771.906,13.616,(4),0.358348,(150),none
28,435.656,(80),79.1624,739.707,9.261,(17),0.62915,(130),none
29,476.308,(86),75.7089,737.042,10.034,(12),0.416534,(146),none
30,246.702,(49),105.197,676.447,4.755,(68),2.20886,(73),none
31,384.713,(71),84.2408,598.695,7.154,(35),0.861252,(112),none
32,110.487,(21),157.194,572.154,1.616,(136),24.7878,(17),none
33,203.859,(40),115.725,567.778,5.314,(57),1.71437,(83),none
34,616.648,(105),66.5383,522.506,11.331,(9),0.291357,(154),none
35,577.962,(97),68.7292,518.009,9.118,(18),0.413415,(147),none
36,216.56,(43),112.28,509.716,3.168,(103),10.0295,(36),none
37,166.335,(32),128.115,507.518,3.386,(96),2.72597,(61),none
38,394.495,(73),83.1898,502.309,5.908,(45),1.91481,(79),none
39,319.698,(60),92.4104,495.939,11.342,(8),0.172238,(169),none
40,70.0,(14),197.488,490.394,5.9898,(43),2.56092,(64),none
41,819.667,(142),57.7128,452.314,14.422,(3),0.184585,(168),none
42,31.2662,(5),295.497,431.055,7.7978,(26),1.02029,(105),none
43,62.8721,(12),208.383,408.133,1.0622,(146),125.944,(2),none
44,193.906,(38),118.657,396.827,7.441,(31),0.598111,(133),none
45,117.89,(24),152.178,372.541,5.238,(58),6.70558,(42),none
46,208.448,(41),114.444,365.408,3.72,(89),4.54568,(50),none
47,292.486,(56),96.6136,356.484,6.491,(38),0.707622,(122),none
48,230.575,(46),108.814,336.912,5.012,(63),2.23228,(72),none
49,858.469,(148),56.3934,325.053,13.221,(5),0.218185,(162),none
50,400.745,(74),82.5385,316.286,4.272,(79),4.10133,(53),none
51,39.9028,(6),261.571,306.375,0.6723,(163),79.908,(5),none
52,457.731,(83),77.2299,304.443,7.896,(25),0.583639,(136),none
53,446.062,(81),78.2336,288.198,5.051,(62),0.743097,(121),none
54,787.751,(137),58.8703,284.057,5.942,(44),1.01824,(106),none
55,342.512,(64),89.2797,278.539,5.824,(49),0.951391,(107),none
56,125.897,(26),147.259,276.43,1.404,(138),79.515,(6),none
57,707.046,(122),62.1394,260.131,6.877,(37),0.557096,(140),none
58,766.098,(133),59.6965,257.487,7.427,(32),0.940479,(108),none
59,405.68,(75),82.0349,255.348,3.287,(98),9.32354,(38),none
60,646.115,(111),65.0034,251.063,7.064,(36),0.354262,(151),none
61,252.076,(50),104.07,234.776,1.965,(127),6.98092,(41),none
62,172.574,(34),125.778,231.51,3.797,(88),1.98489,(78),none
63,924.217,(159),54.3505,229.207,8.446,(21),0.698928,(124),none
64,234.353,(47),107.933,214.206,1.683,(134),14.1377,(31),none
65,197.956,(39),117.437,207.518,3.261,(99),1.11546,(100),none
66,212.16,(42),113.438,204.888,1.346,(139),52.3431,(10),none
67,722.735,(125),61.4612,198.192,8.523,(20),0.270289,(155),none
68,348.854,(66),88.4645,196.347,3.102,(105),1.57114,(87),none
69,500.926,(88),73.8251,180.93,5.864,(47),0.334073,(153),none
70,780.074,(136),59.1593,170.736,5.602,(54),0.793595,(117),none
71,631.942,(108),65.7283,164.287,7.338,(33),0.560666,(139),none
72,802.029,(140),58.3439,161.697,3.882,(86),1.71417,(84),none
73,806.844,(141),58.1696,158.623,4.152,(82),1.28196,(94),none
74,336.007,(63),90.1398,158.468,3.53,(93),1.70838,(86),none
75,875.409,(150),55.8451,155.668,5.471,(55),0.603301,(132),none
76,378.088,(70),84.9756,150.901,6.181,(41),0.455637,(143),none
77,741.977,(128),60.659,150.846,7.49,(29),0.342323,(152),none
78,602.539,(103),67.3129,150.682,5.828,(48),0.597718,(134),none
79,332.254,(62),90.6474,139.5,3.202,(102),1.30818,(92),none
80,170.063,(33),126.703,134.225,2.259,(122),2.59804,(63),none
81,427.821,(79),79.884,131.417,4.554,(71),0.886773,(110),none
82,465.909,(84),76.5491,128.964,4.94,(65),0.593791,(135),none
83,27.231,(4),316.635,126.861,1.6769,(135),2.30114,(71),none
84,285.097,(55),97.8576,121.109,3.626,(90),0.646979,(128),none
85,795.778,(139),58.5726,120.533,3.963,(83),1.35425,(91),none
86,271.733,(53),100.235,113.843,2.755,(114),1.0301,(104),none
87,64.6316,(13),205.527,111.218,0.727,(159),97.8007,(4),none
88,912.298,(157),54.7044,109.518,4.319,(75),1.17547,(98),none
89,773.925,(135),59.3938,107.297,4.962,(64),0.69744,(125),none
90,931.81,(160),54.1286,107.054,4.454,(72),1.2972,(93),none
91,690.169,(119),62.8945,103.958,4.813,(67),0.460586,(142),none
92,279.212,(54),98.8835,102.876,10.096,(11),0.2147,(163),none
93,661.303,(113),64.2526,102.782,6.361,(39),0.226731,(158),none
94,595.688,(101),67.6988,94.8595,4.276,(78),1.22316,(96),none
95,651.678,(112),64.7253,94.0371,7.478,(30),0.197751,(165),none
96,226.844,(45),109.705,91.4093,1.01,(149),21.0075,(21),none
97,449.125,(82),77.9663,91.3472,4.374,(73),0.706469,(123),none
98,712.92,(123),61.8828,89.5542,4.742,(69),0.493323,(141),none
99,699.525,(121),62.4725,87.665,2.723,(115),3.03587,(57),none
100,314.183,(59),93.2179,87.2727,5.165,(60),0.220295,(160),none
101,835.035,(144),57.1792,84.266,5.734,(51),0.449863,(144),none
102,683.913,(118),63.1815,83.3296,3.959,(84),0.568564,(137),none
103,469.789,(85),76.2323,83.0338,3.117,(104),0.782871,(118),none
104,584.054,(98),68.3698,79.4633,3.41,(95),1.53863,(88),none
105,998.095,(172),52.3004,78.924,9.644,(14),0.0827777,(171),none
106,842.466,(146),56.9265,77.9149,5.708,(52),0.860502,(114),none
107,893.428,(154),55.2791,75.9744,5.664,(53),0.226046,(159),none
108,755.355,(131),60.1195,75.709,2.948,(110),2.12728,(74),none
109,969.965,(167),53.0533,74.7231,7.792,(27),0.219617,(161),none
110,608.357,(104),66.9902,74.3887,2.471,(118),2.35608,(68),none
111,730.231,(126),61.1449,70.4721,4.368,(74),0.631786,(129),none
112,869.4,(149),56.0378,70.1047,2.189,(124),4.30521,(51),none
113,268.459,(52),100.844,69.9963,1.289,(140),5.75949,(45),none
114,113.441,(22),155.134,68.0494,3.05,(107),5.45901,(46),none
115,949.576,(163),53.6199,65.0033,4.818,(66),1.1571,(99),none
116,422.562,(77),80.3795,63.1548,3.564,(91),1.80055,(81),none
117,937.279,(161),53.9705,61.6085,4.185,(81),2.09894,(75),none
118,370.365,(68),85.857,54.8132,1.776,(132),3.43371,(55),none
119,545.546,(92),70.7416,54.0983,2.983,(109),1.04325,(103),none
120,944.266,(162),53.7704,53.3783,3.55,(92),2.48238,(65),none
121,550.143,(94),70.4454,52.4875,1.984,(126),2.40388,(67),none
122,590.139,(100),68.0164,51.395,2.551,(117),3.15634,(56),none
123,886.615,(153),55.4911,50.7683,3.375,(97),0.677774,(126),none
124,373.532,(69),85.4923,50.4849,2.371,(120),1.23539,(95),none
125,827.849,(143),57.4269,48.7469,3.877,(87),0.652828,(127),none
126,177.608,(36),123.982,47.1356,0.623,(166),58.2974,(8),none
127,734.915,(127),60.9498,46.2379,2.184,(125),2.08694,(76),none
128,626.437,(107),66.0164,45.6912,1.794,(131),3.67822,(54),none
129,694.942,(120),62.6782,44.5393,3.233,(101),0.930323,(109),none
130,751.714,(130),60.2649,40.3784,2.217,(123),3.0221,(58),none
131,984.491,(170),52.6605,39.7777,4.29,(77),0.567718,(138),none
132,115.85,(23),153.512,38.9758,1.94,(129),5.09888,(47),none
133,977.684,(169),52.8435,38.5696,4.226,(80),0.426705,(145),none
134,880.434,(151),55.6855,36.3598,3.024,(108),0.62197,(131),none
135,671.748,(115),63.7511,35.6164,5.236,(59),0.192401,(167),none
136,851.285,(147),56.6309,34.364,4.306,(76),0.848723,(116),none
137,900.566,(155),55.0596,33.6541,7.961,(24),0.153102,(170),none
138,296.575,(57),95.9452,33.398,0.786,(155),20.4968,(22),none
139,176.235,(35),124.464,32.7156,0.579,(167),60.4309,(7),none
140,123.517,(25),148.671,32.3184,0.764,(157),134.427,(1),none
141,955.348,(164),53.4577,30.9979,2.859,(112),1.70858,(85),none
142,747.056,(129),60.4525,30.289,2.931,(111),1.17692,(97),none
143,50.3013,(10),232.971,29.0711,0.2091,(171),415.3,(0),none
144,666.581,(114),63.9977,28.1785,2.789,(113),0.381762,(148),none
145,553.016,(95),70.2622,27.3016,0.82,(152),40.4387,(12),none
146,623.787,(106),66.1565,26.142,1.08,(144),13.1556,(32),none
147,329.423,(61),91.0361,23.5352,0.718,(160),24.0864,(19),none
148,959.825,(165),53.3328,23.2423,3.081,(106),0.773236,(119),none
149,758.759,(132),59.9845,23.0357,1.064,(145),27.4545,(15),none
150,676.516,(116),63.526,22.234,2.316,(121),0.863647,(111),none
151,540.415,(90),71.0767,21.5186,1.509,(137),2.78695,(60),none
152,638.756,(110),65.3767,20.3063,0.924,(150),25.597,(16),none
153,680.201,(117),63.3537,18.9995,1.709,(133),2.05081,(77),none
154,390.992,(72),83.5616,18.0406,0.566,(168),114.112,(3),none
155,792.799,(138),58.6826,17.9445,1.116,(142),11.0588,(34),none
156,907.55,(156),54.8473,17.4328,3.493,(94),0.380004,(149),none
157,917.7,(158),54.5432,15.3228,1.127,(141),18.5572,(25),none
158,345.984,(65),88.8306,11.498,0.535,(169),53.6849,(9),none
