Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,721.559,(79),63.1297,322.915,1.413,(22),842.434,(13),['76-Os-192_n-tot']
1,78.57,(28),191.312,244.075,0.4206,(66),3544.1,(0),['76-Os-189_n-tot']
2,1107.21,(93),50.963,199.324,2.39,(11),319.18,(38),['76-Os-189_n-tot']
3,3184.68,(105),30.0495,198.421,5.72,(1),151.867,(67),['76-Os-189_n-tot']
4,844.065,(84),58.3689,197.58,2.087,(14),472.283,(28),['76-Os-189_n-tot']
5,3705.75,(107),27.8568,195.871,6.1,(0),138.479,(76),['76-Os-189_n-tot']
6,145.019,(38),140.818,177.606,0.446,(65),1835.9,(2),['76-Os-192_n-tot']
7,1412.52,(96),45.1203,163.392,2.59,(5),250.274,(45),['76-Os-189_n-tot']
8,478.668,(70),77.5091,148.613,1.175,(26),473.007,(27),['76-Os-189_n-tot']
9,536.529,(74),73.2105,145.667,1.224,(24),546.986,(23),['76-Os-189_n-tot']
10,213.555,(51),116.042,142.397,0.798,(43),713.583,(18),['76-Os-188_n-tot']
11,781.039,(82),60.6783,128.971,1.524,(20),404.014,(32),['76-Os-189_n-tot']
12,8.96,(3),566.521,118.787,0.14916,(97),3122.77,(1),['76-Os-190_n-tot']
13,388.218,(62),86.0661,112.472,0.921,(40),773.151,(16),['76-Os-189_n-tot']
14,1315.78,(94),46.7496,103.226,2.0,(16),233.798,(50),['76-Os-189_n-tot']
15,108.798,(34),162.577,102.534,0.468,(62),945.92,(10),['76-Os-188_n-tot']
16,75.2045,(27),195.546,97.2673,0.3752,(71),1029.62,(8),['76-Os-190_n-tot']
17,138.095,(37),144.305,97.1969,0.548,(52),835.279,(14),['76-Os-188_n-tot']
18,1597.55,(97),42.427,97.121,2.22,(12),242.356,(48),['76-Os-189_n-tot']
19,1876.13,(99),39.1506,95.2426,2.51,(7),167.183,(59),['76-Os-189_n-tot']
20,3693.76,(106),27.902,94.481,3.88,(2),108.215,(98),['76-Os-189_n-tot']
21,124.33,(35),152.083,94.1182,1.141,(28),709.854,(19),['76-Os-188_n-tot']
22,91.6062,(30),177.177,89.1998,0.3651,(74),1024.44,(9),['76-Os-192_n-tot']
23,63.7713,(23),212.352,85.7665,0.3905,(68),1033.82,(7),['76-Os-188_n-tot']
24,316.733,(58),95.2847,85.4365,0.764,(45),1042.89,(6),['76-Os-189_n-tot']
25,38.73,(12),272.487,84.7319,0.2634,(87),1450.65,(3),['76-Os-189_n-tot']
26,2974.4,(104),31.0935,83.1915,3.23,(3),125.56,(83),['76-Os-189_n-tot']
27,1041.55,(92),52.5448,78.3742,1.59,(19),229.256,(51),['76-Os-189_n-tot']
28,150.027,(39),138.447,77.634,0.461,(63),906.169,(12),['76-Os-189_n-tot']
29,1673.13,(98),41.4577,76.2643,2.2,(13),157.643,(64),['76-Os-189_n-tot']
30,510.031,(72),75.0882,75.2163,0.98,(37),279.994,(43),['76-Os-192_n-tot']
31,12.7,(6),475.848,74.5511,0.196,(95),1311.96,(5),['76-Os-188_n-tot']
32,2298.07,(101),35.3743,68.5722,2.45,(10),152.599,(66),['76-Os-189_n-tot']
33,54.9069,(20),228.853,65.6925,0.3671,(72),584.814,(21),['76-Os-190_n-tot']
