Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1128680.0,(50),1.59619,3972940.0,2209070.0,(0),5.34239,(50),none
1,0.059375,(0),6959.34,5183.24,0.207506,(44),1347.48,(1),none
2,6.87372,(6),646.806,3347.17,3.27083,(2),13.3773,(39),none
3,1.09648,(2),1619.46,2918.31,0.910357,(16),171.756,(6),none
4,3.69176,(5),882.578,1736.53,1.11313,(10),76.6314,(11),none
5,10.335,(7),527.49,1712.98,4.62622,(1),9.14047,(49),none
6,2.61826,(4),1048.01,1103.74,0.90906,(17),96.9682,(10),none
7,0.382889,(1),2740.52,728.339,0.229147,(43),1663.89,(0),none
8,1.83519,(3),1251.78,518.133,0.36959,(37),408.996,(2),none
9,13.8664,(8),455.395,376.393,1.4668,(5),13.3157,(40),none
10,36.7281,(31),279.815,285.709,1.3038,(9),19.1838,(29),none
11,27.4721,(21),323.537,180.662,0.5597,(28),59.2253,(13),none
12,20.1001,(15),378.243,179.47,1.4996,(4),11.6173,(44),none
13,40.4836,(36),266.52,154.77,0.9544,(13),18.9523,(30),none
14,42.0999,(37),261.354,130.82,0.7684,(21),40.0661,(18),none
15,17.2314,(12),408.516,86.2639,0.9732,(11),15.2543,(35),none
16,33.0441,(28),295.001,84.5864,1.6403,(3),12.1848,(43),none
17,34.9049,(30),287.03,80.1817,0.4675,(32),56.9227,(14),none
18,43.6349,(39),256.716,66.1401,0.818,(19),20.9502,(28),none
19,25.5077,(20),335.764,63.8801,1.3201,(8),14.8082,(36),none
20,28.1186,(22),319.796,55.2299,0.673,(24),30.9767,(22),none
21,22.4132,(17),358.194,53.9864,1.3643,(7),10.5709,(48),none
22,47.0746,(43),247.159,48.9454,0.6714,(25),24.8549,(26),none
23,45.2558,(41),252.077,48.3247,0.6362,(27),32.0507,(21),none
24,29.565,(24),311.875,46.5008,0.4406,(33),53.625,(15),none
25,53.5273,(49),231.783,42.9925,1.4508,(6),11.5635,(45),none
26,24.3636,(19),343.557,42.5149,0.7319,(23),16.6845,(32),none
27,39.3666,(34),270.275,32.9698,0.5096,(31),28.9423,(23),none
28,37.6199,(32),276.478,31.2208,0.9345,(15),16.0446,(34),none
29,31.3861,(27),302.692,26.1942,0.5156,(30),27.7688,(24),none
30,18.1567,(13),397.971,25.3733,0.3928,(36),39.1266,(19),none
31,21.0549,(16),369.567,23.9808,0.8299,(18),11.3731,(46),none
32,30.6341,(26),306.385,23.5519,0.3986,(35),42.9094,(17),none
33,46.0185,(42),249.979,21.3725,0.2967,(41),97.608,(9),none
34,28.8874,(23),315.512,15.6621,0.1898,(46),240.166,(3),none
35,15.0505,(9),437.114,15.0992,0.9347,(14),10.5909,(47),none
36,49.0132,(45),242.222,14.93,0.6369,(26),16.0919,(33),none
37,43.0617,(38),258.419,12.5611,0.4269,(34),45.214,(16),none
38,34.1722,(29),290.09,10.5861,0.5507,(29),17.6262,(31),none
39,16.2882,(11),420.178,9.446,0.3003,(40),24.6763,(27),none
40,51.7092,(48),235.823,8.46799,0.7325,(22),14.5377,(37),none
41,38.562,(33),273.08,7.40366,0.2029,(45),153.142,(7),none
42,18.6154,(14),393.037,5.75358,0.1374,(50),186.852,(5),none
43,48.1082,(44),244.489,5.20491,0.9645,(12),13.9637,(38),none
44,44.6386,(40),253.813,5.09496,0.1793,(49),213.808,(4),none
45,30.0132,(25),309.538,4.95072,0.1827,(48),130.948,(8),none
46,50.0539,(46),239.69,4.78988,0.2887,(42),36.3739,(20),none
47,23.5057,(18),349.77,4.63552,0.1873,(47),63.6317,(12),none
48,50.9725,(47),237.521,4.57847,0.7878,(20),12.6153,(42),none
49,15.818,(10),426.377,2.31054,0.3502,(38),13.2001,(41),none
50,40.0198,(35),268.06,1.89757,0.3224,(39),25.3886,(25),none
