Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,365.061,(12),88.7538,1326.97,1.142,(15),3535.51,(1),none
1,347.332,(11),90.9908,1050.5,1.07,(19),2821.56,(3),none
2,299.681,(9),97.9581,1049.28,1.012,(21),2854.66,(2),none
3,104.045,(3),166.249,810.22,0.549,(29),4209.0,(0),none
4,890.113,(30),56.8391,460.139,1.56,(1),856.975,(11),none
5,735.643,(24),62.5225,446.403,1.395,(4),927.484,(9),none
6,503.444,(17),75.5778,442.029,1.144,(14),1113.65,(7),none
7,882.52,(29),57.0831,377.514,1.538,(3),690.768,(14),none
8,491.351,(16),76.5022,351.425,1.1,(17),924.127,(10),none
9,325.063,(10),94.0559,325.895,0.936,(23),946.999,(8),none
10,483.054,(15),77.1564,317.704,1.088,(18),837.996,(12),none
11,27.6,(0),322.786,259.219,0.3012,(33),2639.2,(4),none
12,591.797,(19),69.7081,250.076,1.2,(10),593.669,(15),none
13,126.969,(4),150.495,218.812,0.548,(30),1172.77,(6),none
14,73.6531,(2),197.594,209.638,0.43,(31),1427.47,(5),none
15,690.743,(23),64.5225,185.77,1.273,(9),419.013,(18),none
16,851.393,(27),58.1172,176.799,1.311,(8),439.334,(17),none
17,765.123,(25),61.3062,157.894,1.33,(6),342.941,(20),none
18,566.124,(18),71.2712,144.14,1.12,(16),377.057,(19),none
19,800.525,(26),59.9352,142.43,1.33,(7),315.382,(22),none
20,611.684,(20),68.5656,139.477,1.186,(13),339.551,(21),none
21,170.36,(5),129.923,136.876,0.671,(28),557.364,(16),none
22,644.472,(21),66.7987,96.2498,1.2,(11),234.416,(25),none
23,50.0138,(1),239.787,85.5868,0.3462,(32),759.895,(13),none
24,225.743,(7),112.866,77.6329,0.725,(25),307.913,(23),none
25,940.788,(31),55.2871,66.4186,1.386,(5),150.08,(29),none
26,1045.71,(32),52.4402,64.7208,1.54,(2),125.459,(32),none
27,435.969,(14),81.2161,59.2807,0.968,(22),184.314,(27),none
28,678.12,(22),65.1203,58.6696,1.194,(12),148.268,(30),none
29,426.359,(13),82.1263,44.4817,0.928,(24),150.521,(28),none
30,853.142,(28),58.0576,43.6333,1.015,(20),236.06,(24),none
31,207.849,(6),117.624,36.0779,0.708,(27),146.262,(31),none
32,241.813,(8),109.051,25.9379,0.713,(26),112.188,(33),none
33,1075.94,(33),51.6982,0.0,725.04,(0),220.109,(26),none
