Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,28.1252,(1),311.561,82266.7,24.8917,(256),0.33652,(22),none
1,218.829,(8),111.696,50283.8,60.579,(156),0.0510139,(74),none
2,109.217,(5),158.105,48949.7,31.48,(231),0.283779,(26),none
3,163.02,(7),129.411,46269.7,32.182,(230),0.370252,(17),none
4,78.241,(4),186.799,34189.3,39.6936,(199),0.146694,(38),none
5,50.9166,(2),231.559,28823.3,7.1926,(312),3.44415,(3),none
6,136.927,(6),141.204,25998.4,15.283,(287),1.80124,(5),none
7,309.165,(11),93.9714,22812.0,57.794,(161),0.0382048,(80),none
8,436.316,(15),79.1025,18641.1,53.267,(172),0.0601865,(64),none
9,14.375,(0),435.8,13750.4,21.5957,(269),0.356151,(19),none
10,472.93,(16),75.9788,9358.56,31.173,(233),0.105569,(47),none
11,370.159,(13),85.8809,9157.69,28.576,(245),0.169824,(34),none
12,253.204,(9),103.838,8297.88,29.197,(243),0.0525821,(70),none
13,531.491,(18),71.6709,7722.86,55.487,(169),0.0607518,(63),none
14,603.626,(20),67.2522,7275.58,36.069,(215),0.221652,(29),none
15,56.7021,(3),219.428,6527.54,4.6928,(317),2.22375,(4),none
16,398.363,(14),82.7849,6239.72,16.377,(285),0.664161,(12),none
17,676.354,(23),63.5336,6077.06,28.473,(248),0.328806,(23),none
18,636.373,(21),65.499,5799.84,43.3,(192),0.115946,(41),none
19,501.921,(17),73.7519,5220.61,20.178,(273),0.182441,(32),none
20,800.642,(28),58.3944,5135.46,34.468,(219),0.0810353,(50),none
21,354.922,(12),87.705,5120.52,14.285,(292),0.34537,(21),none
22,836.533,(29),57.128,5085.61,34.263,(220),0.130385,(40),none
23,277.321,(10),99.22,5030.88,21.492,(270),0.0701794,(58),none
24,705.04,(24),62.2277,4661.26,25.962,(254),0.320174,(24),none
25,751.897,(25),60.2576,4629.09,44.888,(187),0.0482213,(76),none
26,932.598,(32),54.1058,4489.63,38.263,(203),0.112888,(42),none
27,867.432,(30),56.1013,3732.58,31.047,(235),0.27821,(27),none
28,1299.52,(46),45.8352,2977.31,85.3,(136),0.012543,(135),none
29,6737.56,(164),20.1298,2843.01,502.11,(0),8.06822e-05,(255),none
30,899.484,(31),55.0927,2646.88,23.771,(262),0.492883,(16),none
31,987.227,(34),52.5875,2514.87,36.198,(214),0.0390125,(79),none
32,5218.12,(153),22.8736,2392.26,352.64,(9),0.00051407,(187),none
33,1473.74,(51),43.0408,2379.53,57.08,(165),0.0229416,(101),none
34,2336.62,(74),34.1819,2302.93,57.38,(163),0.0206836,(110),none
35,1727.85,(58),39.75,2269.05,87.85,(133),0.0112374,(140),none
36,1089.0,(37),50.0699,2074.16,38.39,(202),0.0163525,(120),none
37,1365.49,(47),44.7143,1891.81,33.18,(226),0.0716845,(56),none
38,1852.49,(60),38.3895,1855.96,64.7,(149),0.0243533,(100),none
39,1643.07,(56),40.7627,1850.31,58.16,(159),0.013455,(131),none
40,8881.35,(176),17.5328,1818.18,392.2,(5),5.69015e-05,(278),none
41,1798.07,(59),38.9661,1796.72,38.55,(201),0.053132,(69),none
42,2027.46,(66),36.6956,1777.18,52.08,(174),0.0168324,(116),none
43,2468.24,(76),33.2581,1766.49,82.89,(139),0.00631798,(155),none
44,568.419,(19),69.3037,1670.43,14.868,(290),0.602197,(14),none
45,1529.02,(52),42.2556,1638.74,33.58,(223),0.0265717,(98),none
46,2181.26,(70),35.3783,1603.35,43.36,(191),0.0266509,(97),none
