Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,34.559,(1),281.067,257950.0,41.4751,(3),0.303717,(72),none
1,1.0625,(0),1602.97,37242.9,4.80383,(95),23.6398,(8),none
2,72.5553,(4),193.98,16088.9,17.7523,(42),0.62507,(47),none
3,315.891,(18),92.9656,6999.55,34.951,(8),0.263194,(78),none
4,95.6685,(5),168.93,5211.97,28.0292,(13),0.15163,(108),none
5,214.789,(13),112.742,3770.51,30.803,(11),0.112054,(121),none
6,461.378,(28),76.9241,3067.91,25.213,(19),0.343481,(64),none
7,177.933,(11),123.869,2956.5,24.271,(20),0.188434,(96),none
8,414.539,(26),81.1536,2685.08,37.746,(6),0.145412,(112),none
9,278.14,(17),99.0738,2668.46,18.637,(38),0.463453,(53),none
10,896.354,(57),55.1888,2193.74,51.434,(1),0.114417,(119),none
11,344.334,(20),89.0432,2181.96,23.828,(21),0.217604,(92),none
12,156.666,(9),132.009,2164.6,11.018,(71),0.648433,(45),none
13,250.906,(14),104.312,1845.02,14.205,(56),0.375834,(61),none
14,516.794,(31),72.6829,1755.84,39.038,(5),0.132887,(115),none
15,362.368,(21),86.7992,1741.43,14.661,(55),0.389794,(59),none
16,1021.71,(63),51.6924,1490.19,42.604,(2),0.172217,(100),none
17,205.058,(12),115.386,1434.69,18.289,(39),0.124112,(116),none
18,854.465,(55),56.5254,1337.52,32.571,(9),0.154463,(105),none
19,393.169,(24),83.3299,1238.25,17.385,(44),0.226534,(88),none
20,58.6643,(3),215.727,1196.63,1.7842,(112),29.1742,(6),none
21,485.788,(29),74.9665,1124.55,11.233,(69),0.932583,(35),none
22,117.353,(6),152.526,1103.79,14.719,(54),0.134396,(114),none
23,710.128,(46),62.0044,1062.81,15.18,(52),0.924272,(36),none
24,1160.11,(71),48.5111,1062.26,40.41,(4),0.148919,(110),none
25,564.4,(34),69.55,1050.04,16.252,(48),0.363989,(62),none
26,655.592,(42),64.5318,1048.41,18.73,(37),0.322616,(69),none
27,611.227,(38),66.8328,967.843,13.125,(60),0.652583,(44),none
28,270.593,(16),100.446,962.311,10.732,(73),0.531532,(52),none
29,593.573,(37),67.8193,930.222,14.887,(53),0.607115,(48),none
30,1194.89,(73),47.7999,919.169,22.16,(25),0.305723,(70),none
31,1791.91,(110),39.0331,912.724,53.51,(0),0.119751,(117),none
32,446.796,(27),78.1693,888.12,9.574,(75),1.11139,(30),none
33,970.311,(60),53.0439,860.419,21.461,(29),0.305466,(71),none
34,147.116,(8),136.226,807.755,6.376,(87),0.783178,(40),none
35,732.854,(47),61.0354,804.322,21.486,(28),0.224583,(89),none
36,48.2902,(2),237.772,742.842,11.0409,(70),0.641524,(46),none
37,949.432,(58),53.6239,728.466,22.349,(24),0.239998,(85),none
38,129.493,(7),145.2,727.959,21.519,(27),0.11433,(120),none
39,1111.63,(68),49.5576,679.83,25.78,(18),0.184854,(98),none
40,805.959,(52),58.2015,643.601,15.927,(50),0.440424,(54),none
41,790.091,(51),58.7831,640.082,10.389,(74),0.789974,(39),none
42,1440.93,(89),43.5281,616.602,19.68,(35),0.325054,(68),none
43,766.77,(49),59.6703,548.004,12.272,(65),0.876348,(37),none
