Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,18.125,(0),388.107,1343340.0,33.2534,(9),2.20592,(0),none
1,82.8125,(1),181.569,141348.0,95.5472,(3),0.272364,(5),none
2,239.837,(3),106.692,45275.2,87.611,(4),0.324327,(4),none
3,419.215,(5),80.6998,43897.2,174.438,(1),0.10065,(6),none
4,142.448,(2),138.44,27279.1,44.254,(8),1.20039,(1),none
5,276.255,(4),99.4113,14368.5,49.238,(7),0.594845,(2),none
6,737.704,(7),60.8345,11918.9,120.005,(2),0.0901977,(8),none
7,602.408,(6),67.3202,8685.18,191.81,(0),0.0460302,(9),none
8,833.212,(8),57.2418,8380.75,69.048,(6),0.481892,(3),none
9,966.145,(9),53.1581,4254.24,85.628,(5),0.0929424,(7),none
