Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,453.125,(1),77.6214,952760.0,673.068,(0),0.0555047,(34),none
1,27.5,(0),315.083,227092.0,122.84,(33),0.988727,(7),none
2,975.012,(3),52.9158,57845.5,288.039,(12),0.153261,(22),none
3,1432.71,(4),43.6527,49528.1,475.84,(3),0.0361526,(46),none
4,1703.05,(6),40.0384,35966.7,204.93,(18),0.092495,(27),none
5,2731.79,(10),31.6131,35756.7,523.89,(2),0.0123292,(57),none
6,3163.0,(12),29.3793,18423.9,394.27,(8),0.0149912,(54),none
7,6928.51,(34),19.8505,15839.8,539.49,(1),0.00966669,(59),none
8,4169.9,(19),25.5875,15072.2,402.84,(7),0.008005,(60),none
9,1961.84,(7),37.3043,14708.5,163.41,(25),0.0538128,(35),none
10,2044.82,(8),36.5395,12810.9,304.8,(10),0.0358533,(47),none
11,2398.49,(9),33.7382,11355.6,155.34,(27),0.121068,(24),none
12,7435.25,(36),19.1621,7073.92,237.75,(13),0.0444808,(38),none
13,6462.97,(32),20.553,6520.82,470.36,(5),0.00671773,(61),none
14,825.947,(2),57.493,6346.52,43.0,(51),3.62043,(1),none
15,9631.39,(55),16.8363,5101.13,421.63,(6),0.018284,(51),none
16,3776.57,(17),26.887,5061.94,197.71,(21),0.015718,(53),none
17,8318.95,(44),18.1158,5039.2,299.45,(11),0.0431569,(40),none
18,9055.93,(50),17.363,4404.44,186.15,(22),0.0635776,(32),none
19,4457.52,(21),24.7482,4307.78,218.12,(15),0.0171749,(52),none
20,10899.1,(62),15.8269,4154.19,204.8,(19),0.0367659,(45),none
21,3415.12,(13),28.274,3609.1,56.56,(47),0.529298,(14),none
22,10620.0,(60),16.0335,3553.51,475.8,(4),0.013376,(56),none
23,6028.9,(30),21.28,3403.54,200.09,(20),0.0112399,(58),none
24,4801.24,(24),23.8459,3385.23,122.51,(34),0.187301,(21),none
25,5087.75,(25),23.1648,3382.55,217.83,(16),0.0430023,(41),none
26,3621.09,(16),27.4581,2430.2,148.88,(29),0.0234576,(50),none
27,4690.97,(23),24.1246,2374.01,136.82,(31),0.0565327,(33),none
28,3919.86,(18),26.391,2358.63,67.94,(44),0.097478,(25),none
29,5117.66,(26),23.097,2218.25,87.07,(40),0.0500268,(36),none
30,8556.95,(45),17.862,2083.29,131.85,(32),0.0410448,(42),none
31,9196.96,(51),17.2293,1971.96,111.19,(36),0.21468,(18),none
32,11235.8,(64),15.5879,1892.75,355.4,(9),0.0149301,(55),none
33,8635.27,(46),17.7809,1485.79,208.03,(17),0.028377,(49),none
34,10149.6,(59),16.4008,1375.78,230.6,(14),0.0386708,(44),none
35,8899.2,(48),17.5152,1308.5,101.39,(39),0.121801,(23),none
36,11103.1,(63),15.6808,1110.94,110.3,(37),0.04791,(37),none
37,9412.36,(53),17.031,1024.75,117.59,(35),0.0684128,(31),none
38,7303.84,(35),19.3337,997.786,50.1,(50),0.606235,(13),none
39,7658.08,(39),18.8812,978.903,57.53,(45),0.213872,(19),none
40,1607.47,(5),41.2116,952.277,13.32,(62),4.19251,(0),none
41,2987.83,(11),30.2282,894.861,26.48,(58),0.716263,(10),none
42,10003.6,(57),16.5201,889.664,73.5,(42),0.210523,(20),none
43,6712.73,(33),20.167,848.307,35.43,(56),0.336094,(15),none
44,7833.17,(41),18.669,826.052,152.19,(28),0.0323775,(48),none
45,7739.94,(40),18.7811,788.569,104.22,(38),0.0442051,(39),none
46,7948.69,(42),18.5329,768.798,169.64,(24),0.0691803,(30),none
47,3520.61,(15),27.8472,726.838,71.65,(43),0.0895851,(28),none
48,5894.87,(29),21.5206,683.888,172.85,(23),0.00620322,(63),none
49,9290.98,(52),17.1419,681.786,50.9,(49),1.12614,(6),none
50,6216.33,(31),20.9567,681.236,40.81,(52),0.256322,(17),none
51,7586.99,(38),18.9695,636.58,39.44,(53),0.696091,(11),none
52,5735.41,(28),21.8177,620.255,143.38,(30),0.00621305,(62),none
53,3463.89,(14),28.0743,607.102,22.08,(60),1.46601,(5),none
54,10075.1,(58),16.4614,598.652,56.9,(46),0.0854712,(29),none
55,8937.28,(49),17.4778,521.547,38.45,(54),0.296771,(16),none
56,4382.97,(20),24.9578,489.313,35.58,(55),0.0946762,(26),none
57,9473.44,(54),16.9761,488.659,81.32,(41),0.0387543,(43),none
58,8801.15,(47),17.6125,429.607,34.27,(57),0.82513,(9),none
59,4624.87,(22),24.2963,301.593,18.35,(61),0.940883,(8),none
60,5570.65,(27),22.138,269.427,159.56,(26),0.00568766,(64),none
61,8144.01,(43),18.3093,206.496,52.95,(48),0.634926,(12),none
62,7570.31,(37),18.9904,136.967,12.72,(64),3.14095,(2),none
63,10801.3,(61),15.8984,92.3593,13.2,(63),1.97387,(4),none
64,9953.38,(56),16.5617,88.0835,22.65,(59),2.22632,(3),none
