Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1119340.0,(113),1.60283,4388980.0,2000000.0,(0),4.79162,(113),['81-Tl-205_n-tot']
1,196.192,(2),121.068,167416.0,111.194,(34),11.7484,(38),['81-Tl-205_n-tot']
2,536.319,(3),73.2248,136608.0,298.342,(4),8.77482,(75),['81-Tl-203_n-tot']
3,70.3125,(1),202.234,48199.9,77.5669,(48),5.79925,(110),['81-Tl-205_n-tot']
4,716.682,(4),63.3441,31179.1,166.841,(17),5.8556,(109),['81-Tl-205_n-tot']
5,1268.0,(9),47.6223,22452.8,143.63,(21),17.2294,(7),['81-Tl-205_n-tot']
6,999.663,(8),53.6343,13974.1,128.276,(29),13.6115,(23),['81-Tl-205_n-tot']
7,1596.03,(12),42.4472,10197.9,166.13,(18),10.7561,(53),['81-Tl-203_n-tot']
8,834.925,(5),58.6876,9695.12,37.803,(81),32.5871,(1),['81-Tl-205_n-tot']
9,2436.53,(19),34.3545,7646.14,149.7,(20),9.92285,(59),['81-Tl-205_n-tot']
10,2955.35,(21),31.1936,7211.04,174.0,(15),8.94305,(71),['81-Tl-203_n-tot']
11,1913.8,(15),38.7634,6913.76,92.66,(42),11.8962,(36),['81-Tl-205_n-tot']
12,6489.15,(49),21.0512,5349.75,236.91,(10),9.17451,(67),['81-Tl-203_n-tot']
13,2250.57,(18),35.7457,3734.68,131.37,(26),8.54301,(78),['81-Tl-205_n-tot']
14,10583.3,(83),16.4839,3419.46,257.4,(9),10.2087,(55),['81-Tl-205_n-tot']
15,4221.12,(32),26.1009,3134.98,281.1,(5),7.59352,(93),['81-Tl-205_n-tot']
16,9137.41,(71),17.7402,3088.48,179.28,(14),6.85947,(104),['81-Tl-205_n-tot']
17,1800.73,(14),39.9618,3084.67,66.53,(54),8.60879,(77),['81-Tl-205_n-tot']
18,5981.05,(45),21.9271,2624.25,167.43,(16),9.19635,(66),['81-Tl-203_n-tot']
19,5326.43,(40),23.2355,2598.57,130.61,(28),9.32346,(65),['81-Tl-205_n-tot']
20,18474.2,(111),12.4763,2505.04,467.2,(1),13.8252,(20),['81-Tl-203_n-tot']
