Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2314600.0,(246),1.11463,1184490.0,836100.0,(0),6.4703,(83),none
1,2587000.0,(247),1.05432,1184490.0,836100.0,(1),6.4019,(85),none
2,1917600.0,(243),1.22459,665534.0,411200.0,(2),5.4802,(120),none
3,2009700.0,(244),1.1962,665534.0,411200.0,(3),5.8002,(109),none
4,2127800.0,(245),1.16253,665534.0,411200.0,(4),5.871,(105),none
5,1719400.0,(231),1.29325,396575.0,179500.0,(8),4.8595,(152),none
6,1726900.0,(232),1.29044,396575.0,179500.0,(9),5.1156,(138),none
7,1735200.0,(233),1.28735,396575.0,179500.0,(10),4.7184,(161),none
8,1743500.0,(234),1.28428,396575.0,179500.0,(11),4.4059,(186),none
9,1772700.0,(235),1.27366,396575.0,179500.0,(12),4.4005,(188),none
10,1783700.0,(236),1.26972,396575.0,179500.0,(13),4.364,(191),none
11,1789000.0,(237),1.26784,396575.0,179500.0,(14),4.6109,(167),none
12,1708700.0,(230),1.29729,334887.0,190100.0,(7),5.1023,(139),none
13,1083300.0,(189),1.62928,287622.0,112840.0,(31),3.9017,(222),none
14,1093100.0,(190),1.62196,287622.0,112840.0,(32),3.8394,(225),none
15,1107700.0,(192),1.61123,287622.0,112840.0,(33),4.2406,(204),none
16,700090.0,(147),2.02672,282410.0,52960.0,(64),6.766,(78),none
17,1697300.0,(229),1.30164,276300.0,201500.0,(6),4.2224,(206),none
18,563110.0,(126),2.25982,266448.0,53930.0,(60),6.0821,(96),none
19,590240.0,(127),2.20727,266448.0,53930.0,(61),5.2674,(129),none
20,594620.0,(128),2.19913,266448.0,53930.0,(62),4.1686,(208),none
21,601580.0,(129),2.18637,266448.0,53930.0,(63),5.6069,(115),none
22,614520.0,(132),2.16323,234559.0,36580.0,(93),6.24149,(90),none
23,620870.0,(133),2.15213,234559.0,36580.0,(94),5.50709,(118),none
24,631780.0,(134),2.13347,234559.0,36580.0,(95),5.33749,(122),none
25,634800.0,(135),2.12839,234559.0,36580.0,(96),5.3141,(123),none
26,641900.0,(136),2.11659,234559.0,36580.0,(97),5.2115,(134),none
27,645640.0,(137),2.11045,234559.0,36580.0,(98),5.2372,(132),none
28,647740.0,(138),2.10702,234559.0,36580.0,(99),5.9598,(99),none
29,610450.0,(131),2.17042,231632.0,81480.0,(47),6.0796,(97),none
30,693850.0,(145),2.03581,226035.0,49610.0,(67),4.8707,(151),none
31,696830.0,(146),2.03145,226035.0,49610.0,(68),5.8404,(107),none
32,1819700.0,(238),1.2571,211923.0,102300.0,(36),4.6373,(166),none
33,1852700.0,(239),1.24585,211923.0,102300.0,(37),5.2923,(124),none
34,1865400.0,(240),1.24161,211923.0,102300.0,(38),5.032,(141),none
35,1872500.0,(241),1.23925,211923.0,102300.0,(39),5.2833,(128),none
36,608860.0,(130),2.17326,208747.0,60960.0,(50),5.8785,(104),none
37,763020.0,(152),1.94134,205334.0,47870.0,(71),3.2385,(235),none
38,769470.0,(153),1.93319,205334.0,47870.0,(72),5.0116,(143),none
39,771540.0,(154),1.93059,205334.0,47870.0,(73),5.0309,(142),none
40,776660.0,(155),1.92422,205334.0,47870.0,(74),3.0615,(238),none
41,784150.0,(156),1.91501,205334.0,47870.0,(75),5.2114,(135),none
42,792830.0,(157),1.90449,205334.0,47870.0,(76),4.4912,(178),none
43,1364300.0,(215),1.45183,190631.0,110400.0,(34),4.6819,(162),none
44,1418500.0,(218),1.42382,190631.0,110400.0,(35),4.4173,(185),none
45,1377200.0,(216),1.44501,166029.0,100000.0,(41),4.423,(183),none
46,1388300.0,(217),1.43922,166029.0,100000.0,(42),4.4763,(179),none
47,1515500.0,(222),1.3775,165884.0,85400.0,(44),4.4636,(180),none
48,1548000.0,(223),1.36296,165884.0,85400.0,(45),4.2672,(200),none
49,691520.0,(144),2.03924,160356.0,43780.0,(82),3.1481,(237),none
50,1578700.0,(225),1.34965,155635.0,83400.0,(46),4.7698,(157),none
51,899350.0,(167),1.78816,153322.0,57240.0,(51),5.1817,(136),none
52,857840.0,(164),1.83091,151001.0,54620.0,(57),3.6176,(230),none
53,883980.0,(165),1.80363,151001.0,54620.0,(58),4.1273,(212),none
54,896150.0,(166),1.79135,151001.0,54620.0,(59),4.2914,(197),none
55,1065400.0,(187),1.64291,139059.0,177540.0,(15),4.3579,(192),none
56,1069400.0,(188),1.63983,139059.0,177540.0,(16),3.9409,(221),none
57,1103500.0,(191),1.6143,139059.0,177540.0,(17),4.8593,(153),none
58,1147900.0,(196),1.58277,139059.0,177540.0,(18),4.8121,(154),none
59,1155900.0,(197),1.57728,139059.0,177540.0,(19),4.5904,(170),none
60,924830.0,(169),1.76335,121772.0,67090.0,(49),4.7587,(158),none
61,1004900.0,(181),1.69164,117873.0,170640.0,(21),4.5079,(177),none
62,1028000.0,(183),1.67253,117873.0,170640.0,(22),4.5123,(176),none
63,1034600.0,(184),1.66718,117873.0,170640.0,(23),4.5767,(171),none
64,1051600.0,(185),1.65365,117873.0,170640.0,(24),4.1776,(207),none
65,1059000.0,(186),1.64787,117873.0,170640.0,(25),4.2834,(198),none
66,931680.0,(170),1.75686,117850.0,55560.0,(52),4.6587,(165),none
67,942800.0,(171),1.74647,117850.0,55560.0,(53),3.8455,(224),none
68,956070.0,(173),1.7343,117850.0,55560.0,(54),4.3544,(193),none
69,983070.0,(177),1.71032,117850.0,55560.0,(55),4.2576,(202),none
70,985520.0,(178),1.70819,117850.0,55560.0,(56),5.2188,(133),none
71,714840.0,(148),2.0057,110845.0,23790.0,(110),4.8935,(150),none
72,720260.0,(149),1.99814,110845.0,23790.0,(111),4.9873,(145),none
73,1176000.0,(200),1.56375,106431.0,49200.0,(69),4.3176,(195),none
74,1452700.0,(220),1.40696,105186.0,257400.0,(5),5.2428,(130),none
75,537310.0,(122),2.31343,103238.0,19650.0,(120),5.85169,(106),none
76,542340.0,(123),2.30268,103238.0,19650.0,(121),2.13479,(243),none
77,546990.0,(124),2.29287,103238.0,19650.0,(122),5.9497,(100),none
78,1601900.0,(226),1.33984,101663.0,50600.0,(65),4.3944,(189),none
79,1632300.0,(227),1.3273,101663.0,50600.0,(66),4.1561,(211),none
80,738120.0,(150),1.97381,100030.0,24830.0,(108),4.6688,(163),none
81,748830.0,(151),1.95965,100030.0,24830.0,(109),4.7714,(156),none
82,1280400.0,(208),1.49864,95500.6,130400.0,(27),4.3916,(190),none
83,1294900.0,(209),1.49022,95500.6,130400.0,(28),4.4048,(187),none
84,1337400.0,(212),1.46635,95500.6,130400.0,(29),4.4184,(184),none
85,947020.0,(172),1.74257,93376.8,41250.0,(86),3.56,(233),none
86,964070.0,(174),1.72709,93376.8,41250.0,(87),3.8304,(226),none
87,968830.0,(175),1.72284,93376.8,41250.0,(88),3.9778,(219),none
88,974570.0,(176),1.71776,93376.8,41250.0,(89),3.8622,(223),none
89,1460100.0,(221),1.40339,93019.3,174000.0,(20),4.9499,(147),none
90,804260.0,(158),1.89091,87888.7,22540.0,(113),3.3654,(234),none
91,817280.0,(159),1.87579,87888.7,22540.0,(114),4.5461,(173),none
92,1209100.0,(202),1.54219,84242.6,39800.0,(91),4.049,(216),none
93,918540.0,(168),1.76938,81256.0,71010.0,(48),4.2793,(199),none
94,1245400.0,(205),1.51955,78399.5,28400.0,(103),4.0179,(218),none
95,1257100.0,(206),1.51246,78399.5,28400.0,(104),4.4233,(182),none
96,1259500.0,(207),1.51102,78399.5,28400.0,(105),4.043,(217),none
97,661160.0,(141),2.08553,77068.1,42100.0,(83),6.34029,(87),none
