Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,12.3874,(5),469.462,29.4775,0.178,(17),517.543,(5),none
1,19.2888,(7),376.217,29.113,0.2209,(12),445.131,(8),none
2,21.0623,(8),360.029,23.2874,0.2278,(11),306.71,(21),none
3,11.663,(4),483.822,22.0688,0.1519,(19),463.618,(7),none
4,33.5162,(11),285.406,21.3275,0.2636,(8),239.695,(36),none
5,6.392,(1),653.54,20.5873,0.13812,(21),425.605,(10),none
6,34.3531,(12),281.908,18.7031,0.2554,(9),232.224,(39),none
7,35.164,(13),278.639,18.2346,0.3095,(3),207.364,(51),none
8,8.7699,(3),557.948,18.2205,0.19549,(15),299.448,(23),none
9,23.4049,(9),341.537,17.0618,0.2336,(10),218.827,(45),none
10,90.3664,(21),173.815,17.0596,0.0569,(81),996.255,(0),none
11,55.0927,(17),222.609,16.9042,0.3525,(1),146.431,(79),none
12,39.4035,(14),263.223,16.5054,0.3049,(4),164.211,(65),none
13,41.863,(15),255.373,15.9213,0.2972,(5),157.983,(68),none
14,107.622,(26),159.272,14.4301,0.064,(69),746.582,(3),none
15,32.0763,(10),291.742,13.8979,0.2718,(7),157.823,(69),none
16,56.4807,(18),219.857,12.9458,0.3723,(0),113.715,(116),none
17,733.405,(102),61.0125,12.3737,0.272,(6),150.735,(77),none
18,94.0725,(23),170.357,11.8915,0.0545,(84),751.509,(2),none
19,272.632,(69),100.07,11.7505,0.197,(13),210.113,(50),none
20,49.4352,(16),235.003,11.7427,0.3257,(2),100.635,(126),none
21,209.612,(59),114.125,11.5872,0.05,(94),793.372,(1),none
22,160.937,(47),130.246,11.3534,0.064,(71),596.607,(4),none
23,230.933,(65),108.73,8.7633,0.091,(40),322.113,(20),none
24,261.666,(67),102.145,8.73058,0.187,(16),155.047,(74),none
25,16.0853,(6),411.98,8.71293,0.1957,(14),133.264,(90),none
26,644.992,(100),65.0599,8.70844,0.073,(63),394.08,(12),none
27,133.609,(35),142.946,8.42726,0.08,(53),380.324,(13),none
28,200.278,(57),116.755,7.70221,0.109,(32),248.36,(35),none
29,136.273,(36),141.542,7.44143,0.084,(46),303.194,(22),none
30,142.104,(38),138.608,6.83112,0.118,(26),198.481,(55),none
31,4.8506,(0),750.227,6.79783,0.11365,(28),179.163,(59),none
32,192.343,(56),119.139,6.62367,0.109,(31),216.177,(47),none
33,125.569,(33),147.452,6.59852,0.048,(97),468.249,(6),none
34,226.395,(64),109.814,6.57149,0.053,(89),429.085,(9),none
35,333.101,(76),90.5321,6.53166,0.064,(68),352.634,(16),none
36,247.834,(66),104.957,6.48898,0.078,(57),286.823,(27),none
37,121.922,(31),149.641,6.37713,0.159,(18),138.26,(86),none
38,542.213,(92),70.9587,6.16016,0.113,(29),182.435,(57),none
39,298.51,(70),95.6338,6.12158,0.094,(38),217.844,(46),none
40,635.373,(97),65.5505,6.09017,0.118,(25),169.313,(62),none
41,189.501,(55),120.029,5.74534,0.085,(44),228.722,(41),none
42,92.5804,(22),171.724,5.7304,0.084,(47),229.767,(40),none
43,7.08463,(2),620.772,5.70868,0.14915,(20),117.317,(110),none
44,461.853,(87),76.8845,5.42588,0.079,(54),252.355,(34),none
45,109.814,(28),157.675,5.42002,0.049,(95),398.301,(11),none
46,178.589,(50),123.641,5.26394,0.057,(79),323.461,(19),none
47,224.687,(62),110.23,5.25005,0.076,(58),279.714,(29),none
48,137.511,(37),140.904,5.23207,0.053,(88),374.689,(14),none
49,177.534,(49),124.008,5.05272,0.131,(23),155.091,(73),none
50,225.129,(63),110.122,4.99245,0.054,(85),336.447,(18),none
51,343.997,(78),89.0868,4.80612,0.074,(61),227.648,(42),none
52,165.638,(48),128.384,4.80517,0.081,(50),204.109,(52),none
53,82.6329,(19),181.767,4.79886,0.0552,(83),297.689,(24),none
54,572.417,(94),69.0612,4.73402,0.111,(30),143.579,(81),none
55,103.512,(25),162.403,4.51572,0.095,(36),157.085,(70),none
56,153.401,(42),133.406,4.49048,0.095,(37),172.58,(60),none
57,118.619,(30),151.71,4.37632,0.045,(100),344.105,(17),none
58,961.111,(109),53.2971,4.35823,0.079,(56),188.387,(56),none
59,156.798,(45),131.953,4.35156,0.071,(65),215.777,(48),none
60,803.395,(104),58.2943,4.32609,0.138,(22),107.287,(119),none
61,224.56,(61),110.262,4.18262,0.06,(74),293.449,(25),none
62,147.327,(40),136.129,4.17847,0.103,(33),132.04,(92),none
63,524.437,(90),72.1513,4.06141,0.06,(75),238.796,(37),none
64,741.673,(103),60.6715,3.98528,0.075,(59),180.165,(58),none
65,327.212,(75),91.3432,3.92978,0.051,(92),285.535,(28),none
66,356.063,(79),87.5643,3.79908,0.052,(91),255.492,(32),none
67,313.224,(72),93.3605,3.78554,0.059,(76),221.059,(44),none
68,180.307,(52),123.051,3.77757,0.101,(34),139.7,(85),none
69,418.315,(85),80.7865,3.74704,0.123,(24),101.016,(125),none
70,496.628,(89),74.1438,3.69805,0.079,(55),160.105,(66),none
71,546.231,(93),70.6972,3.55664,0.115,(27),107.13,(120),none
