Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,33436.9,(6),341.115,13999.5,(14),0.000102507,(51),none
1,9429.5,(3),273.252,3849.99,(65),0.00042613,(19),none
2,17215.3,(4),241.894,8445.0,(29),0.000236259,(30),none
3,38787.5,(7),139.708,7482.1,(35),8.70714e-05,(61),none
4,19546.4,(5),138.893,1049.0,(89),0.00053209,(12),none
5,257406.0,(39),116.336,16598.0,(7),0.000409411,(21),none
6,235616.0,(38),80.1445,7222.0,(38),0.000472187,(15),none
7,45718.1,(8),74.1843,4074.2,(63),7.349e-05,(67),none
8,183229.0,(31),61.3224,6920.0,(42),0.000166207,(37),none
9,214662.0,(34),61.2999,7195.0,(39),0.0013498,(2),none
10,2770.53,(0),60.462,2871.32,(75),0.00106175,(5),none
11,96554.0,(15),53.6304,10975.5,(20),7.87102e-05,(65),none
12,177581.0,(30),47.0322,6216.0,(49),0.000364156,(22),none
13,579683.0,(67),44.27,16634.0,(6),9.29907e-05,(55),none
14,613236.0,(70),40.4196,6394.0,(46),9.33851e-05,(54),none
15,138428.0,(22),40.3102,5945.0,(51),0.0010899,(4),none
16,276387.0,(41),38.9616,10894.0,(21),0.000108056,(50),none
17,266815.0,(40),37.9982,10652.0,(22),0.000168978,(36),none
18,298781.0,(45),36.7763,4688.0,(58),0.000250627,(27),none
19,518368.0,(63),35.3697,16133.0,(9),0.000124237,(43),none
20,808460.0,(79),35.3106,21971.0,(2),3.95532e-05,(84),none
21,191205.0,(32),33.4208,6652.0,(43),0.000110555,(48),none
22,916363.0,(84),32.5291,15016.0,(10),4.03934e-05,(83),none
23,162531.0,(28),32.3406,3719.0,(66),0.000516882,(13),none
24,601092.0,(68),31.0385,8159.0,(31),0.000146003,(41),none
25,232653.0,(37),28.9121,4000.0,(64),0.000433973,(18),none
26,606974.0,(69),28.8653,7060.0,(40),0.000114195,(45),none
27,122197.0,(20),28.827,7822.0,(33),0.000345382,(23),none
28,85644.9,(14),28.3207,3472.4,(68),0.000159553,(38),none
29,111333.0,(19),27.2439,11250.0,(19),0.000113207,(46),none
30,834715.0,(81),26.9521,9684.0,(24),8.97437e-05,(58),none
31,129676.0,(21),26.5826,2860.0,(77),0.00295434,(0),none
32,626823.0,(72),25.5433,6095.0,(50),8.70906e-05,(60),none
33,165139.0,(29),25.2382,3145.0,(70),0.00104217,(6),none
34,656734.0,(76),24.8753,5755.0,(52),3.54469e-05,(85),none
35,393299.0,(54),24.7407,11347.0,(18),3.11821e-05,(90),none
36,193955.0,(33),24.7297,17971.0,(4),0.000109067,(49),none
37,462986.0,(58),22.9079,30483.0,(0),4.89607e-05,(79),none
38,348570.0,(50),22.3263,7533.0,(34),0.000173559,(35),none
39,933009.0,(85),22.071,13615.0,(15),3.50348e-05,(86),none
40,618401.0,(71),21.5131,3109.0,(72),0.000123054,(44),none
41,975988.0,(87),21.3076,8632.0,(28),0.000154183,(39),none
42,523349.0,(65),20.6241,3093.0,(73),0.000149482,(40),none
43,660901.0,(77),19.6452,8885.0,(26),3.24145e-05,(88),none
44,378467.0,(53),19.1205,2883.0,(74),8.63198e-05,(62),none
