Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,19500000.0,(42),3168800.0,22500000.0,(0),2.064,(17),none
1,299929.0,(39),1407760.0,29570.0,(2),2.35217,(15),none
2,300000.0,(40),1407760.0,29570.0,(3),2.34966,(16),none
3,650000.0,(41),101284.0,1500000.0,(1),2.8937,(14),none
4,22503.4,(2),47046.0,13245.3,(9),0.0181463,(40),none
5,48182.8,(6),34584.2,8955.2,(16),0.0670693,(33),none
6,98010.4,(14),32507.8,17712.5,(5),0.0216397,(39),none
7,171410.0,(25),27541.8,14890.0,(7),0.154138,(27),none
8,32090.2,(4),18958.0,9631.7,(14),0.0108542,(42),none
9,250556.0,(34),18866.8,22643.0,(4),1.82875,(18),none
10,277188.0,(37),16248.7,3265.0,(27),0.435649,(22),none
11,82544.8,(11),13610.1,17029.5,(6),0.0520599,(35),none
12,220607.0,(31),13191.6,7028.0,(19),3.63695,(12),none
13,210001.0,(29),13105.5,9857.0,(13),0.140654,(29),none
14,186479.0,(27),12322.1,8242.0,(18),0.367926,(24),none
15,156424.0,(24),12297.6,11359.0,(12),0.338168,(25),none
16,199640.0,(28),10556.7,11613.0,(11),0.0913751,(32),none
17,64944.9,(10),10047.3,4695.6,(23),0.0242705,(38),none
18,273470.0,(36),9698.84,12327.0,(10),0.0136518,(41),none
19,9060.81,(0),8276.3,9127.08,(15),0.505624,(21),none
20,58305.2,(8),6992.15,8357.8,(17),0.146796,(28),none
21,26247.7,(3),6404.18,3452.8,(26),0.0561353,(34),none
22,258644.0,(35),4902.24,4127.0,(24),0.107989,(31),none
23,119143.0,(16),4104.91,2300.0,(30),18.2975,(5),none
24,177102.0,(26),3025.45,1681.0,(34),3.7749,(11),none
25,60166.8,(9),2982.0,1820.9,(33),0.042929,(36),none
26,125204.0,(17),2853.84,2073.0,(31),28.6208,(1),none
27,117051.0,(15),2771.2,2015.0,(32),4.97288,(10),none
28,49605.9,(7),2020.27,1507.8,(35),1.10945,(20),none
29,136248.0,(21),1816.96,3545.0,(25),13.2001,(6),none
30,132371.0,(20),1771.03,1148.0,(36),20.0906,(4),none
31,95379.7,(13),1491.84,14506.7,(8),0.0271502,(37),none
32,36842.0,(5),1301.68,498.8,(40),23.5684,(3),none
33,224452.0,(32),1300.71,3146.0,(28),3.08368,(13),none
34,145007.0,(23),917.065,580.0,(38),7.46762,(9),none
35,144208.0,(22),830.062,726.0,(37),1.77125,(19),none
36,9304.09,(1),747.269,179.15,(42),0.119948,(30),none
37,213592.0,(30),372.151,399.0,(41),9.66941,(8),none
38,83133.6,(12),283.449,541.5,(39),0.208399,(26),none
39,126065.0,(18),0.0,5114.0,(21),29.2227,(0),none
40,131147.0,(19),0.0,5121.0,(20),24.2147,(2),none
41,229533.0,(33),0.0,4887.0,(22),0.373083,(23),none
42,279780.0,(38),0.0,2805.0,(29),10.8043,(7),none
