Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,781.25,(1),1494.82,677.712,(54),0.123542,(3),none
1,81.25,(0),1090.72,299.568,(85),0.366259,(0),none
2,1433.84,(2),427.726,519.53,(69),0.120213,(4),none
3,43438.1,(44),150.057,2875.5,(2),0.00450775,(81),none
4,5208.04,(6),129.802,1367.28,(22),0.0224399,(14),none
5,6385.82,(7),75.811,604.64,(58),0.0444628,(8),none
6,1684.47,(3),60.1468,412.39,(75),0.152426,(2),none
7,39204.5,(43),56.891,2445.8,(4),0.00565281,(66),none
8,4782.72,(5),54.0638,620.75,(56),0.0233166,(13),none
9,8031.5,(9),47.9266,1558.48,(13),0.0502553,(7),none
10,16420.2,(18),46.0533,1522.0,(15),0.00778751,(43),none
11,33537.8,(39),40.9776,1495.3,(18),0.0138202,(19),none
12,12477.3,(14),33.0229,1034.3,(33),0.00856215,(36),none
13,36472.9,(41),31.9075,1275.2,(24),0.0153685,(16),none
14,14499.8,(15),26.974,1985.3,(6),0.0076242,(44),none
15,29641.5,(32),26.7881,1520.2,(16),0.00567091,(65),none
16,20282.3,(23),24.5088,570.1,(64),0.0270711,(10),none
17,18681.8,(21),21.8009,699.9,(51),0.0102016,(31),none
18,15518.2,(17),21.6938,1187.8,(29),0.00752815,(45),none
19,55193.7,(56),21.3289,1877.0,(9),0.00506574,(69),none
20,17895.6,(20),20.7191,110.8,(101),0.0772146,(5),none
21,62377.1,(65),19.5527,2570.3,(3),0.0048204,(75),none
22,79807.8,(80),18.0396,1901.7,(7),0.00418933,(92),none
23,6974.98,(8),17.2561,1306.02,(23),0.22889,(1),none
24,11519.3,(13),16.7919,708.8,(49),0.00972942,(32),none
25,26082.6,(29),16.0142,394.6,(79),0.015016,(17),none
26,38347.6,(42),15.4826,1804.4,(10),0.00629749,(58),none
27,58836.4,(59),15.3726,1424.5,(20),0.0113906,(25),none
28,9771.21,(10),14.5453,580.66,(62),0.0255059,(12),none
29,73242.9,(76),14.4108,1080.7,(32),0.00729341,(47),none
30,30841.1,(33),14.2203,863.0,(40),0.00586713,(63),none
31,68963.1,(71),13.7427,777.6,(44),0.00485875,(74),none
32,51585.5,(52),13.4941,1250.8,(28),0.00432655,(86),none
33,45882.7,(47),12.6873,1509.5,(17),0.00419618,(90),none
34,101900.0,(100),12.182,3426.0,(0),0.00348139,(105),none
35,32528.8,(38),12.0184,870.0,(39),0.00826955,(39),none
36,56715.5,(57),11.2821,706.3,(50),0.00828137,(38),none
37,53956.1,(54),10.9426,600.5,(60),0.0059626,(61),none
38,45048.8,(46),10.7804,1254.6,(27),0.00426005,(89),none
39,71575.1,(74),10.7158,592.1,(61),0.00468623,(79),none
40,24356.4,(26),10.5229,417.5,(74),0.011337,(26),none
41,60206.4,(60),10.1479,573.4,(63),0.0114078,(24),none
42,10561.5,(11),9.71967,804.65,(43),0.0131066,(20),none
43,65535.5,(66),9.61097,1033.2,(34),0.00692075,(51),none
44,25175.4,(27),9.60056,1259.3,(26),0.00794278,(41),none
45,91978.4,(94),9.60004,553.3,(65),0.00429595,(88),none
46,106769.0,(101),9.52014,1593.0,(11),0.00448353,(83),none
47,114229.0,(106),9.50925,2892.0,(1),0.00331171,(106),none
48,54442.2,(55),9.31178,340.0,(81),0.00628512,(59),none
49,17751.7,(19),8.9903,50.0,(107),0.0687358,(6),none
50,10759.6,(12),8.90488,258.5,(92),0.0121631,(22),none
51,92983.5,(95),8.69703,1574.2,(12),0.00359904,(103),none
52,108718.0,(103),8.33601,933.0,(36),0.00402606,(97),none
53,77064.1,(77),8.12819,1894.6,(8),0.00414034,(93),none
54,28195.9,(30),8.09032,860.4,(41),0.00749202,(46),none
55,88301.7,(91),7.86766,1478.2,(19),0.00392246,(98),none
56,52739.7,(53),7.69475,728.0,(46),0.00496916,(72),none
57,78976.0,(79),7.47144,953.8,(35),0.00411503,(95),none
58,43986.5,(45),7.35415,152.8,(100),0.00639122,(57),none
59,22482.1,(25),7.24758,292.2,(87),0.0116293,(23),none
60,68269.3,(70),7.22788,1095.6,(31),0.00409268,(96),none
61,14834.4,(16),7.00802,219.4,(93),0.00779361,(42),none
62,94643.9,(96),6.68089,1414.2,(21),0.00355654,(104),none
63,72254.4,(75),6.54052,684.1,(53),0.00479349,(76),none
64,61546.3,(62),6.41176,1273.0,(25),0.004757,(77),none
65,77860.0,(78),6.33465,723.4,(47),0.0041953,(91),none
66,89453.2,(92),6.06535,889.1,(38),0.00377864,(99),none
67,90225.8,(93),6.01229,1527.7,(14),0.00371761,(100),none
68,48169.0,(49),5.99283,628.8,(55),0.00430982,(87),none
69,25765.9,(28),5.89539,158.7,(99),0.0113223,(27),none
70,95770.5,(97),5.88256,1124.6,(30),0.00369439,(101),none
71,34925.3,(40),5.86816,332.5,(82),0.0403539,(9),none
72,107316.0,(102),5.70603,845.0,(42),0.00591345,(62),none
73,49243.8,(50),5.54967,2389.9,(5),0.00413546,(94),none
74,31821.0,(36),5.51216,546.4,(66),0.00671163,(54),none
75,47304.5,(48),5.42782,433.0,(72),0.00460988,(80),none
76,58094.9,(58),5.42413,777.3,(45),0.0178027,(15),none
77,19001.1,(22),5.33411,284.3,(89),0.0102705,(29),none
78,82937.7,(82),5.00361,919.5,(37),0.00501011,(71),none
79,28621.3,(31),4.88367,456.9,(71),0.00642854,(56),none
80,70823.0,(72),4.54369,541.2,(68),0.00531073,(67),none
81,84411.0,(85),4.50393,516.9,(70),0.00898142,(34),none
82,83776.5,(83),4.40246,294.2,(86),0.00726897,(48),none
83,86345.7,(89),4.33976,281.7,(90),0.00663931,(55),none
84,82554.5,(81),4.23055,710.2,(48),0.00528793,(68),none
85,67319.8,(68),4.06826,602.8,(59),0.00473298,(78),none
86,109359.0,(104),4.01465,606.0,(57),0.00442327,(84),none
87,71017.0,(73),4.00818,305.4,(83),0.00503722,(70),none
88,84966.4,(86),3.79102,108.7,(102),0.014924,(18),none
89,85297.7,(87),3.76054,189.8,(96),0.0105035,(28),none
90,50892.8,(51),3.44306,301.3,(84),0.00435144,(85),none
91,67556.0,(69),3.16249,171.8,(97),0.0057921,(64),none
92,85858.1,(88),3.05768,690.5,(52),0.0067155,(53),none
93,98612.8,(98),2.81353,192.3,(95),0.00894718,(35),none
94,32398.3,(37),2.79822,66.6,(104),0.0102288,(30),none
95,121128.0,(107),2.73109,543.0,(67),0.00314258,(107),none
96,22285.9,(24),2.57985,409.6,(76),0.0124019,(21),none
97,4281.97,(4),2.52333,291.34,(88),0.0269056,(11),none
98,111488.0,(105),2.41617,391.0,(80),0.00705964,(50),none
99,65967.7,(67),2.09958,163.3,(98),0.0067715,(52),none
100,84242.9,(84),1.86001,272.7,(91),0.00833555,(37),none
101,61804.3,(63),1.78528,203.3,(94),0.00490261,(73),none
102,31294.0,(34),1.76847,397.4,(77),0.0061228,(60),none
103,87181.2,(90),1.6187,431.7,(73),0.00448564,(82),none
104,60348.6,(61),1.40747,91.0,(103),0.0091851,(33),none
105,61986.5,(64),1.26392,59.9,(105),0.00803713,(40),none
106,31718.9,(35),1.08561,50.9,(106),0.00711745,(49),none
107,100431.0,(99),0.872174,396.0,(78),0.00366363,(102),none
