Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,781.25,(1),1293.64,677.712,(54),0.123542,(3),['25-Mn-55_n-g']
1,81.25,(0),1006.65,299.568,(85),0.366259,(0),['25-Mn-55_n-g']
2,1433.84,(2),412.119,519.53,(69),0.120213,(4),['25-Mn-55_n-g']
3,43438.1,(44),125.01,2875.5,(2),0.00450775,(81),['25-Mn-55_n-g']
4,5208.04,(6),110.865,1367.28,(22),0.0224399,(14),['25-Mn-55_n-g']
5,6385.82,(7),74.0625,604.64,(58),0.0444628,(8),['25-Mn-55_n-g']
6,1684.47,(3),58.7985,412.39,(75),0.152426,(2),['25-Mn-55_n-g']
7,39204.5,(43),43.7642,2445.8,(4),0.00565281,(66),['25-Mn-55_n-g']
8,8031.5,(9),42.0673,1558.48,(13),0.0502553,(7),['25-Mn-55_n-g']
9,16420.2,(18),41.4745,1522.0,(15),0.00778751,(43),['25-Mn-55_n-g']
10,33537.8,(39),40.0679,1495.3,(18),0.0138202,(19),['25-Mn-55_n-g']
11,20282.3,(23),22.5953,570.1,(64),0.0270711,(10),['25-Mn-55_n-g']
12,17895.6,(20),20.3428,110.8,(101),0.0772146,(5),['25-Mn-55_n-g']
13,62377.1,(65),19.9842,2570.3,(3),0.0048204,(75),['25-Mn-55_n-g']
14,55193.7,(56),17.7686,1877.0,(9),0.00506574,(69),['25-Mn-55_n-g']
15,14499.8,(15),16.7137,1985.3,(6),0.0076242,(44),['25-Mn-55_n-g']
16,79807.8,(80),16.336,1901.7,(7),0.00418933,(92),['25-Mn-55_n-g']
17,26082.6,(29),15.6505,394.6,(79),0.015016,(17),['25-Mn-55_n-g']
18,6974.98,(8),14.9701,1306.02,(23),0.22889,(1),['25-Mn-55_n-g']
19,58836.4,(59),14.5538,1424.5,(20),0.0113906,(25),['25-Mn-55_n-g']
20,30841.1,(33),13.7396,863.0,(40),0.00586713,(63),['25-Mn-55_n-g']
21,29641.5,(32),13.6489,1520.2,(16),0.00567091,(65),['25-Mn-55_n-g']
22,4782.72,(5),13.2933,620.75,(56),0.0233166,(13),['25-Mn-55_n-g']
23,15518.2,(17),12.9628,1187.8,(29),0.00752815,(45),['25-Mn-55_n-g']
24,68963.1,(71),12.8677,777.6,(44),0.00485875,(74),['25-Mn-55_n-g']
25,73242.9,(76),12.5539,1080.7,(32),0.00729341,(47),['25-Mn-55_n-g']
26,36472.9,(41),12.2302,1275.2,(24),0.0153685,(16),['25-Mn-55_n-g']
