Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2200000.0,(48),7427110.0,2586320.0,(0),3.38077,(28),none
1,4013.37,(35),20453.6,1077.95,(2),1.5221,(46),none
2,194.343,(1),16442.3,94.767,(25),2.82672,(36),none
3,40.625,(0),15438.9,97.9029,(24),4.04276,(20),none
4,7806.2,(46),14292.8,1171.58,(1),2.13541,(41),none
5,8451.84,(47),7621.02,636.92,(3),3.87935,(22),none
6,2246.5,(28),7606.97,228.01,(10),1.65687,(44),none
7,5742.34,(42),6012.37,358.38,(5),2.98103,(33),none
8,2927.98,(34),5426.14,246.03,(9),3.55957,(26),none
9,6206.17,(43),5314.79,430.52,(4),3.1511,(31),none
10,4831.75,(38),5298.64,356.99,(6),3.32531,(29),none
11,462.084,(7),5177.99,74.901,(29),4.17665,(19),none
12,5196.05,(39),5156.5,356.27,(7),1.8037,(43),none
13,1789.98,(24),5144.72,140.16,(14),3.29836,(30),none
14,1631.37,(23),4724.07,116.57,(18),2.66254,(38),none
15,1516.29,(22),4650.3,165.51,(12),2.4199,(40),none
16,1304.35,(20),4394.62,90.33,(27),2.98404,(32),none
17,2437.41,(31),4387.06,137.2,(16),2.8373,(35),none
18,357.277,(5),4318.78,29.702,(39),13.6803,(5),none
19,307.903,(3),4060.05,90.665,(26),1.1061,(48),none
20,4208.13,(36),3819.61,164.65,(13),4.95735,(14),none
21,1205.62,(19),3799.8,63.96,(31),4.88693,(15),none
22,4429.17,(37),3742.97,187.77,(11),3.72763,(23),none
23,1941.23,(25),3670.09,134.1,(17),1.60456,(45),none
24,1122.8,(18),3262.39,83.23,(28),2.05101,(42),none
25,6570.77,(45),3180.65,252.9,(8),3.46163,(27),none
26,2678.38,(33),2935.71,110.3,(21),4.21034,(18),none
27,2545.45,(32),2856.65,115.52,(19),4.58913,(16),none
28,1993.61,(27),2353.43,56.55,(33),4.47573,(17),none
29,5327.83,(40),2256.15,137.82,(15),3.62335,(25),none
30,402.728,(6),2060.45,36.554,(37),6.62775,(7),none
31,215.225,(2),1973.23,17.484,(43),7.07604,(6),none
32,6334.64,(44),1665.89,111.11,(20),2.67419,(37),none
33,1027.37,(16),1651.57,106.092,(22),2.95076,(34),none
34,1354.58,(21),1577.15,37.75,(36),5.69099,(11),none
35,324.475,(4),1433.17,8.641,(45),26.1303,(2),none
36,515.786,(8),1394.52,20.717,(42),16.5089,(3),none
37,2281.31,(29),1161.54,21.59,(41),1.423,(47),none
38,664.635,(10),1076.69,103.727,(23),6.46361,(8),none
39,552.577,(9),978.551,35.774,(38),5.48818,(12),none
40,1054.15,(17),759.183,26.39,(40),2.48213,(39),none
41,915.562,(15),518.748,63.704,(32),3.62644,(24),none
42,846.644,(14),260.315,39.768,(35),3.94511,(21),none
43,2294.26,(30),251.043,3.88,(47),97.1953,(0),none
44,5375.17,(41),229.963,8.02,(46),13.7144,(4),none
45,1952.39,(26),112.726,1.72,(48),28.2427,(1),none
46,732.439,(11),79.2645,66.53,(30),5.8796,(9),none
47,799.593,(13),41.8255,45.296,(34),5.16228,(13),none
48,750.237,(12),16.2442,13.551,(44),5.70162,(10),none
