Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,3433800.0,(86),12622200.0,6900000.0,(0),3.6656,(81),['34-Se-80_n-tot']
1,29984.9,(85),3140880.0,2046790.0,(1),9.67806,(29),['34-Se-80_n-tot']
2,14104.8,(82),6130.19,3016.4,(4),10.6563,(23),['34-Se-78_n-tot']
3,1862.07,(41),3865.06,110.23,(30),20.595,(9),['34-Se-80_n-tot']
4,6004.8,(69),3503.0,405.02,(11),12.9831,(18),['34-Se-78_n-tot']
5,4022.99,(59),3097.72,265.18,(14),4.16516,(74),['34-Se-80_n-tot']
6,1800.36,(40),3073.35,122.09,(27),7.78653,(40),['34-Se-80_n-tot']
7,4909.02,(63),1995.44,253.51,(15),3.52571,(83),['34-Se-80_n-tot']
8,9151.65,(78),1661.45,710.09,(6),7.82414,(39),['34-Se-78_n-tot']
9,22539.5,(83),1466.73,7605.3,(2),9.63948,(30),['34-Se-82_n-tot']
10,4620.04,(61),1453.98,249.72,(17),6.67295,(52),['34-Se-80_n-tot']
11,10868.6,(81),1260.18,448.5,(10),8.9736,(34),['34-Se-78_n-tot']
12,3322.24,(55),1231.29,101.82,(32),9.87083,(28),['34-Se-78_n-tot']
13,6396.58,(71),1176.45,177.19,(23),16.8783,(14),['34-Se-78_n-tot']
14,5643.75,(67),1037.71,216.81,(19),4.12601,(76),['34-Se-80_n-tot']
15,8121.8,(75),835.082,912.33,(5),10.1285,(27),['34-Se-76_n-tot']
16,8994.18,(77),797.137,703.49,(7),8.25622,(37),['34-Se-78_n-tot']
17,7087.94,(74),772.779,251.98,(16),11.6993,(19),['34-Se-76_n-tot']
18,5339.61,(66),746.985,119.25,(28),28.7405,(7),['34-Se-76_n-tot']
19,5233.29,(65),654.988,70.96,(38),50.3515,(4),['34-Se-80_n-tot']
20,4696.49,(62),638.41,80.14,(36),3.90991,(77),['34-Se-80_n-tot']
21,2697.73,(52),629.581,487.25,(8),10.4841,(25),['34-Se-77_n-tot']
22,26415.6,(84),535.212,3500.3,(3),9.34013,(32),['34-Se-82_n-tot']
23,3618.89,(56),507.841,230.08,(18),6.77591,(48),['34-Se-76_n-tot']
24,9499.93,(79),470.261,195.83,(22),11.1597,(20),['34-Se-78_n-tot']
25,243.139,(5),389.274,49.645,(45),7.3921,(42),['34-Se-77_n-tot']
26,6508.82,(72),376.821,88.3,(34),17.8872,(12),['34-Se-82_n-tot']
27,438.726,(11),354.927,54.557,(42),7.11928,(45),['34-Se-78_n-tot']
28,916.16,(18),351.873,48.149,(47),6.75962,(49),['34-Se-76_n-tot']
29,2024.33,(42),345.191,23.53,(67),159.455,(0),['34-Se-80_n-tot']
30,6845.63,(73),296.8,208.13,(21),10.677,(22),['34-Se-82_n-tot']
31,2657.2,(51),274.32,65.48,(39),11.0679,(21),['34-Se-76_n-tot']
32,3175.07,(54),265.695,40.4,(51),5.89833,(57),['34-Se-78_n-tot']
33,18.457,(0),251.205,26.062,(64),8.48593,(36),['34-Se-74_n-tot']
34,5024.42,(64),248.684,35.11,(55),25.388,(8),['34-Se-80_n-tot']
35,2256.52,(45),222.794,109.28,(31),18.3203,(11),['34-Se-80_n-tot']
36,3162.85,(53),212.293,483.63,(9),5.80459,(59),['34-Se-76_n-tot']
37,829.133,(16),209.581,148.426,(24),4.86545,(64),['34-Se-77_n-tot']
38,2516.68,(49),197.73,132.53,(25),10.2834,(26),['34-Se-77_n-tot']
39,107.645,(1),158.603,81.6489,(35),7.56231,(41),['34-Se-74_n-tot']
40,663.528,(15),153.779,130.134,(26),5.84208,(58),['34-Se-77_n-tot']
41,2116.69,(44),135.256,49.92,(44),39.737,(5),['34-Se-80_n-tot']
42,2550.82,(50),134.891,19.07,(70),17.6142,(13),['34-Se-76_n-tot']
43,2390.96,(48),126.284,62.12,(40),13.3681,(17),['34-Se-77_n-tot']
44,182.991,(4),113.172,30.34,(60),7.10246,(46),['34-Se-77_n-tot']
45,6126.29,(70),85.0464,17.09,(72),33.8999,(6),['34-Se-80_n-tot']
46,380.344,(10),76.1094,2.5,(84),20.0823,(10),['34-Se-78_n-tot']
47,852.079,(17),74.9837,6.849,(80),10.5329,(24),['34-Se-76_n-tot']
48,1251.51,(24),66.7863,48.58,(46),4.45385,(70),['34-Se-77_n-tot']
49,1706.81,(38),65.7106,43.89,(50),3.86984,(78),['34-Se-77_n-tot']
50,1021.83,(21),62.9802,20.22,(69),7.88125,(38),['34-Se-77_n-tot']
51,4308.18,(60),58.2784,10.05,(77),133.182,(1),['34-Se-76_n-tot']
52,8469.34,(76),51.9606,314.94,(13),8.80258,(35),['34-Se-80_n-tot']
53,1460.92,(31),50.2671,60.81,(41),3.81133,(79),['34-Se-77_n-tot']
54,334.341,(7),49.7355,45.749,(48),6.6751,(51),['34-Se-77_n-tot']
