Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,4000000.0,(184),2988240.0,5576190.0,(0),3.67777,(126),none
1,287.97,(7),2721.25,50.935,(23),3.1415,(149),none
2,387.776,(9),2714.09,70.689,(12),3.95452,(116),none
3,4267.16,(140),2452.35,80.07,(8),3.25091,(144),none
4,739.755,(20),2158.52,97.244,(3),2.64944,(165),none
5,17.5,(0),1954.13,34.5662,(41),3.52935,(133),none
6,1857.36,(68),1763.66,35.28,(37),3.10226,(150),none
7,47.2578,(1),1694.74,15.9766,(96),5.96736,(66),none
8,216.243,(6),1423.99,23.837,(64),2.58732,(167),none
9,304.526,(8),1302.42,20.593,(79),3.64503,(127),none
10,593.483,(17),1221.36,33.864,(43),4.20161,(109),none
11,1944.72,(69),1095.46,63.18,(15),7.13349,(30),none
12,3208.27,(106),1064.83,42.11,(32),2.80372,(159),none
13,777.741,(21),1021.18,33.29,(46),3.31912,(141),none
14,1507.72,(53),950.129,39.7,(34),2.49879,(168),none
15,2571.73,(89),883.02,50.21,(24),5.81831,(71),none
16,1567.81,(54),840.603,33.0,(47),4.46034,(99),none
17,3143.47,(105),717.604,56.34,(19),2.33758,(171),none
18,1224.97,(38),657.92,20.42,(80),10.1895,(14),none
19,154.412,(2),653.836,100.909,(2),2.71251,(163),none
20,2068.47,(72),572.104,70.84,(11),3.24329,(145),none
21,633.146,(18),493.351,29.144,(54),3.45589,(137),none
22,2458.08,(84),479.936,60.45,(17),2.19563,(176),none
23,4630.69,(150),445.208,60.52,(16),2.14597,(178),none
24,2227.63,(77),437.726,42.55,(31),9.64834,(17),none
25,1630.48,(56),428.114,36.8,(36),6.5877,(46),none
26,3614.0,(121),415.667,87.21,(5),4.27588,(105),none
27,1439.26,(49),407.595,33.56,(45),1.19504,(184),none
28,2329.05,(80),385.857,47.04,(27),3.08825,(151),none
29,2685.54,(91),366.293,86.24,(6),4.97773,(91),none
30,180.622,(3),355.616,28.753,(55),2.20616,(175),none
31,2255.65,(78),339.166,42.92,(30),5.77908,(72),none
32,1808.81,(67),327.249,18.88,(84),3.5091,(134),none
33,1008.68,(30),323.5,75.201,(9),3.7574,(123),none
34,4705.1,(152),322.505,50.94,(22),3.60315,(129),none
35,3258.21,(107),320.097,31.43,(51),9.19016,(20),none
36,1189.89,(37),318.449,8.61,(137),10.1774,(15),none
37,552.156,(16),310.802,12.879,(112),2.23636,(174),none
38,460.258,(10),299.904,65.315,(14),3.45893,(136),none
39,4766.5,(153),264.57,49.68,(25),4.02867,(115),none
40,1581.26,(55),255.408,12.19,(117),3.15383,(148),none
41,2193.37,(75),249.966,55.78,(20),2.78672,(160),none
42,2885.21,(97),242.501,37.83,(35),2.95542,(154),none
43,3355.3,(111),238.802,21.25,(76),20.5092,(5),none
44,4336.6,(141),231.282,51.91,(21),6.12939,(61),none
45,2363.24,(81),228.529,21.36,(75),4.46483,(97),none
46,2132.43,(74),214.648,32.84,(48),6.52788,(50),none
47,2921.22,(98),205.832,22.72,(67),5.15599,(87),none
48,1762.82,(64),202.346,21.63,(73),2.0095,(181),none
49,4125.3,(137),191.38,35.23,(38),2.87884,(157),none
50,2090.31,(73),191.204,8.62,(136),9.32258,(19),none
51,3320.92,(109),190.525,32.15,(49),2.67654,(164),none
52,2950.54,(99),178.696,22.52,(68),3.92009,(118),none
53,5133.87,(168),173.887,21.7,(72),5.56444,(77),none
54,4951.34,(161),171.233,22.47,(69),2.10143,(179),none
55,1706.59,(60),166.351,27.17,(58),2.92909,(155),none
56,799.07,(22),165.674,8.65,(135),10.727,(12),none
57,3380.71,(112),156.558,30.15,(52),8.26792,(23),none
58,641.565,(19),152.382,4.92,(161),9.66268,(16),none
59,2589.69,(90),149.883,9.6,(130),7.05381,(33),none
60,3335.16,(110),140.83,9.98,(129),11.0086,(11),none
61,5185.82,(169),134.695,22.81,(66),10.616,(13),none
62,4162.69,(138),132.198,24.26,(62),2.88505,(156),none
63,1963.85,(70),130.081,15.14,(102),4.26239,(106),none
64,477.818,(12),120.553,11.125,(124),3.92717,(117),none
65,5114.39,(167),119.714,45.73,(28),2.85393,(158),none
66,4988.53,(162),117.536,21.06,(77),7.41298,(28),none
67,3845.3,(127),110.062,18.23,(88),2.02866,(180),none
68,4087.74,(136),102.592,34.86,(40),4.06738,(113),none
69,4398.34,(143),98.2163,19.39,(82),3.82449,(121),none
70,2845.94,(96),97.646,70.29,(13),4.67021,(94),none
71,1998.54,(71),96.2518,26.59,(60),6.78302,(42),none
72,920.899,(29),95.9471,11.222,(123),3.31838,(142),none
73,4448.16,(145),92.5694,13.04,(111),2.47276,(169),none
74,2703.86,(92),92.2952,12.35,(115),4.03579,(114),none
75,1732.6,(62),90.6728,14.83,(105),7.60731,(26),none
76,3996.51,(132),89.7257,56.7,(18),3.80405,(122),none
77,4042.56,(135),83.9072,15.74,(98),3.02847,(153),none
78,5420.83,(181),80.0131,23.2,(65),4.95678,(92),none
79,1461.96,(50),76.6096,4.67,(165),12.8398,(10),none
80,1740.51,(63),76.1457,15.23,(101),4.55491,(95),none
81,4514.03,(147),75.3085,41.18,(33),6.37517,(53),none
82,3700.11,(122),74.3484,71.81,(10),3.60459,(128),none
83,4370.83,(142),73.9613,26.38,(61),4.17316,(111),none
84,1480.15,(52),72.6507,8.1,(139),7.34033,(29),none
85,3095.11,(104),70.9349,83.22,(7),3.43204,(138),none
86,3929.72,(131),70.2629,20.93,(78),4.40944,(101),none
87,2509.77,(88),68.0051,3.57,(169),54.5192,(1),none
88,1134.16,(34),64.903,88.99,(4),2.43974,(170),none
89,3876.13,(128),64.6779,13.18,(109),8.62847,(21),none
90,3736.31,(124),62.4212,15.85,(97),6.26581,(56),none
91,1782.63,(65),59.452,7.85,(140),7.73469,(25),none
92,2375.26,(82),56.5552,5.41,(156),6.50444,(51),none
93,4034.33,(134),56.145,15.46,(99),5.07985,(88),none
94,2724.89,(93),54.5912,12.49,(114),7.13053,(31),none
95,888.709,(27),53.3035,18.259,(87),3.69274,(125),none
96,4018.1,(133),53.1309,14.92,(103),3.22145,(146),none
97,866.652,(26),52.6261,33.812,(44),4.30859,(104),none
98,2754.78,(94),50.9449,24.04,(63),4.81531,(93),none
99,3429.85,(114),48.4147,27.91,(56),6.71543,(45),none
100,2487.32,(86),47.4578,16.7,(93),2.78659,(161),none
101,4176.14,(139),47.3243,4.16,(167),17.949,(8),none
102,2495.99,(87),46.2302,8.86,(134),2.30621,(172),none
103,2965.51,(100),44.3391,6.68,(150),8.41934,(22),none
104,2395.23,(83),42.2761,12.19,(118),6.88213,(37),none
105,2202.11,(76),42.2592,2.85,(174),30.1798,(4),none
106,4431.39,(144),41.9062,22.36,(71),4.46333,(98),none
107,191.541,(4),37.7508,1.444,(183),20.3954,(6),none
108,4564.39,(149),32.3568,32.01,(50),5.51457,(79),none
109,5282.58,(174),31.7692,18.66,(86),6.74043,(44),none
110,1292.45,(40),31.2875,47.45,(26),4.17549,(110),none
111,5388.09,(180),30.8703,11.62,(122),4.2043,(108),none
112,488.995,(13),29.3236,5.286,(159),5.33503,(82),none
113,208.585,(5),27.6383,16.365,(94),2.74952,(162),none
114,2765.91,(95),27.1076,5.09,(160),6.33399,(54),none
115,4464.62,(146),26.6391,3.41,(171),30.253,(3),none
116,827.515,(25),25.5523,9.377,(132),5.03797,(90),none
117,1374.63,(46),25.2538,13.05,(110),2.60441,(166),none
118,3709.61,(123),24.9145,5.29,(158),4.3515,(102),none
119,1465.86,(51),24.0929,2.38,(178),14.35,(9),none
120,2986.65,(101),23.8335,14.11,(107),6.25623,(57),none
121,2280.68,(79),22.3111,18.83,(85),5.04125,(89),none
122,5006.93,(163),22.0264,11.69,(121),5.23615,(85),none
123,912.005,(28),20.5352,17.96,(89),3.60112,(130),none
124,5444.08,(182),19.9715,12.32,(116),7.12647,(32),none
125,1173.04,(36),19.7958,17.08,(92),1.81878,(182),none
126,3501.61,(118),19.1266,12.0,(119),5.25994,(83),none
127,3788.43,(125),17.2095,43.15,(29),4.5179,(96),none
128,5253.62,(173),17.1702,6.63,(151),5.19963,(86),none
129,4780.8,(154),16.0691,4.89,(163),9.63779,(18),none
130,4646.86,(151),16.0503,2.66,(175),35.3163,(2),none
131,3393.68,(113),15.3219,7.23,(145),6.92268,(36),none
132,5022.66,(164),14.6098,7.31,(144),6.85514,(38),none
133,3887.42,(129),14.2119,6.09,(154),6.11269,(62),none
134,1037.56,(33),13.7179,7.77,(141),3.47106,(135),none
135,1161.74,(35),13.6386,22.37,(70),1.76186,(183),none
136,5041.51,(165),12.1408,10.99,(126),5.66158,(76),none
137,1307.8,(42),11.8429,6.57,(153),3.72914,(124),none
138,465.497,(11),11.5218,1.736,(181),6.17261,(59),none
139,545.394,(15),11.3017,34.258,(42),2.28931,(173),none
140,4913.4,(159),10.4671,34.92,(39),4.25114,(107),none
141,1799.38,(66),10.373,12.74,(113),3.40439,(139),none
142,4803.15,(155),10.3194,14.87,(104),6.85272,(39),none
143,3282.67,(108),10.046,17.86,(90),6.5473,(48),none
144,3903.35,(130),9.99364,7.34,(143),6.798,(41),none
145,1388.19,(47),9.97889,6.6,(152),3.18449,(147),none
146,1236.57,(39),8.5946,6.87,(148),8.18785,(24),none
147,5222.26,(170),8.44293,27.39,(57),6.8424,(40),none
148,5292.39,(175),8.40876,4.91,(162),7.59797,(27),none
149,3521.76,(120),7.34192,4.69,(164),5.74817,(73),none
150,2464.68,(85),7.28768,7.12,(147),18.3253,(7),none
151,5314.38,(176),6.79411,13.69,(108),6.54749,(47),none
152,3825.42,(126),6.56523,29.22,(53),3.29181,(143),none
153,3447.56,(115),6.27357,10.14,(128),6.77524,(43),none
154,3476.36,(116),6.24203,21.56,(74),5.97021,(65),none
155,5370.15,(179),5.84099,11.08,(125),5.55299,(78),none
156,5060.75,(166),5.83236,10.9,(127),5.67329,(75),none
157,1411.26,(48),5.77112,18.93,(83),2.15463,(177),none
158,1021.24,(31),5.63699,8.89,(133),3.57097,(131),none
