Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1335.13,(4),3925.65,16.19,(8),768.502,(2),none
1,6172.7,(19),2110.83,45.3,(0),180.29,(6),none
2,6077.73,(18),1781.64,23.99,(1),205.775,(5),none
3,648.325,(1),1559.97,5.256,(17),823.408,(1),none
4,4049.39,(9),1384.99,17.58,(5),244.627,(4),none
5,4993.76,(13),954.008,22.31,(2),179.141,(7),none
6,4781.4,(11),923.543,16.26,(7),161.494,(8),none
7,5796.48,(17),823.773,21.19,(4),140.194,(11),none
8,7188.52,(20),819.545,21.28,(3),116.517,(17),none
9,737.568,(3),771.293,3.931,(19),467.26,(3),none
10,5211.38,(14),738.135,16.61,(6),141.566,(9),none
11,5519.41,(16),665.092,13.19,(9),134.119,(12),none
12,4441.24,(10),519.174,10.85,(10),129.644,(13),none
13,5367.31,(15),501.077,10.4,(14),117.398,(16),none
14,4980.88,(12),474.326,9.63,(16),125.408,(14),none
15,3671.18,(8),446.397,10.77,(12),121.467,(15),none
16,2112.15,(6),390.132,10.49,(13),141.499,(10),none
17,2756.15,(7),319.502,10.81,(11),104.816,(19),none
18,3.53,(0),295.354,1.30682,(20),1086.88,(0),none
19,1402.14,(5),212.071,9.84,(15),107.465,(18),none
20,675.943,(2),138.341,3.985,(18),101.881,(20),none
